time,CZ042
2021-08-09,16.458204
2021-08-10,16.32077
2021-08-11,15.426154
2021-08-12,15.605127
2021-08-13,16.533077
2021-08-14,15.08564
2021-08-15,13.37282
2021-08-16,13.898206
2021-08-17,15.18718
2021-08-18,14.498716
2021-08-19,13.514102
2021-08-20,13.57282
2021-08-21,12.505897
2021-08-22,11.288462
2021-08-23,8.763845
2021-08-24,8.796923
2021-08-25,10.951026
2021-08-26,11.586666
2021-08-27,11.904358
2021-08-28,13.085129
2021-08-29,12.942564
2021-08-30,12.341025
2021-08-31,11.731539
2021-09-01,9.681795
2021-09-02,7.9197426
2021-09-03,7.714872
2021-09-04,6.0179486
2021-09-05,7.283333
2021-09-06,8.077691
2021-09-07,11.398718
2021-09-08,13.939487
2021-09-09,10.283846
2021-09-10,9.213333
2021-09-11,11.405128
2021-09-12,12.943589
2021-09-13,9.391794
2021-09-14,6.497948
2021-09-15,6.84
2021-09-16,6.1325645
2021-09-17,6.0843587
2021-09-18,6.7087173
2021-09-19,6.9169226
2021-09-20,4.4458976
2021-09-21,2.3
2021-09-22,4.2115383
2021-09-23,7.3917947
2021-09-24,7.738718
2021-09-25,7.8692307
2021-09-26,7.054359
2021-09-27,8.421795
2021-09-28,7.345128
2021-09-29,7.0184617
2021-09-30,7.940769
2021-10-01,8.889231
2021-10-02,9.486923
2021-10-03,9.743076
2021-10-04,10.826667
2021-10-05,10.303077
2021-10-06,9.885128
2021-10-07,10.586667
2021-10-08,9.8161545
2021-10-09,11.038205
2021-10-10,10.647693
2021-10-11,8.533846
2021-10-12,5.5982046
2021-10-13,2.743846
2021-10-14,3.7697437
2021-10-15,7.3733335
2021-10-16,2.90641
2021-10-17,3.1971796
2021-10-18,2.6466668
2021-10-19,-0.6076923
2021-10-20,4.4774356
2021-10-21,6.302051
2021-10-22,2.2715383
2021-10-23,-1.0569232
2021-10-24,-0.6253846
2021-10-25,6.4135895
2021-10-26,7.4705124
2021-10-27,5.324359
2021-10-28,6.156923
2021-10-29,9.217692
2021-10-30,8.079743
2021-10-31,7.45923
2021-11-01,8.114359
2021-11-02,6.5617948
2021-11-03,5.383333
2021-11-04,5.7176924
2021-11-05,4.225384
2021-11-06,2.0733333
2021-11-07,-0.03589743
2021-11-08,-3.2297435
2021-11-09,-0.9617949
2021-11-10,3.9289742
2021-11-11,3.7041023
2021-11-12,1.9258975
2021-11-13,-1.6474359
2021-11-14,-3.0935898
2021-11-15,0.62333333
2021-11-16,3.9589741
2021-11-17,4.193077
2021-11-18,1.8838462
2021-11-19,0.17692307
2021-11-20,0.7066666
2021-11-21,-2.4297435
2021-11-22,-5.267692
2021-11-23,-2.298718
2021-11-24,-0.99435896
2021-11-25,-3.464872
2021-11-26,-9.538975
2021-11-27,-14.746409
2021-11-28,-14.919744
2021-11-29,-14.911025
2021-11-30,-13.267436
2021-12-01,-9.098205
2021-12-02,-11.783589
2021-12-03,-10.890512
2021-12-04,-13.986923
2021-12-05,-21.313334
2021-12-06,-16.350769
2021-12-07,-19.574615
2021-12-08,-19.219744
2021-12-09,-13.078462
2021-12-10,-6.4217944
2021-12-11,-4.1843586
2021-12-12,-1.7779489
2021-12-13,-0.20564103
2021-12-14,0.43564102
2021-12-15,0.52692306
2021-12-16,0.59179485
2021-12-17,-0.3889743
2021-12-18,1.3238462
2021-12-19,-2.62
2021-12-20,-12.296409
2021-12-21,-17.029488
2021-12-22,-11.91282
2021-12-23,-6.238461
2021-12-24,-11.681795
2021-12-25,-11.509743
2021-12-26,-14.755127
2021-12-27,-10.932307
2021-12-28,-5.513846
2021-12-29,-3.2487178
2021-12-30,-1.3020513
2021-12-31,-3.2976918
