time,DED2D
2021-08-16,22.216667
2021-08-17,15.336667
2021-08-18,15.518333
2021-08-19,16.418333
2021-08-20,18.03
2021-08-21,18.966665
2021-08-22,20.591665
2021-08-23,14.481667
2021-08-24,16.221666
2021-08-25,13.745
2021-08-26,14.075
2021-08-27,13.468333
2021-08-28,12.551666
2021-08-29,11.169999
2021-08-30,12.360001
2021-08-31,14.901666
2021-09-01,13.653333
2021-09-02,13.938333
2021-09-03,14.778332
2021-09-04,15.198334
2021-09-05,14.743333
2021-09-06,14.815
2021-09-07,14.671666
2021-09-08,14.0
2021-09-09,13.956666
2021-09-10,15.293334
2021-09-11,15.919999
2021-09-12,16.086666
2021-09-13,17.166666
2021-09-14,18.281668
2021-09-15,19.488333
2021-09-16,18.400002
2021-09-17,14.081668
2021-09-18,13.403333
2021-09-19,13.543332
2021-09-20,10.004999
2021-09-21,9.846666
2021-09-22,9.453333
2021-09-23,10.883334
2021-09-24,14.143333
2021-09-25,14.178333
2021-09-26,16.339998
2021-09-27,16.016665
2021-09-28,15.514999
2021-09-29,14.513332
2021-09-30,11.283333
2021-10-01,11.048333
2021-10-02,10.924999
2021-10-03,14.178333
2021-10-04,15.261666
2021-10-05,14.785
2021-10-06,10.298333
2021-10-07,8.429999
2021-10-08,8.829999
2021-10-09,6.6216674
2021-10-10,4.67
2021-10-11,7.1999993
2021-10-12,5.6199994
2021-10-13,4.6483335
2021-10-14,4.4916663
2021-10-15,5.905
2021-10-16,7.4116664
2021-10-17,6.691667
2021-10-18,6.6633334
2021-10-19,8.703334
2021-10-20,11.066667
2021-10-21,12.896667
2021-10-22,10.326667
2021-10-23,6.5916667
2021-10-24,4.1349998
2021-10-25,4.0566664
2021-10-26,4.4616666
2021-10-27,5.11
2021-10-28,5.1016665
2021-10-29,4.636667
2021-10-30,4.371667
2021-10-31,6.918333
2021-11-01,8.556666
2021-11-02,6.9616666
2021-11-03,7.6633325
2021-11-04,8.493333
2021-11-05,5.1316667
2021-11-06,5.633333
2021-11-07,6.733333
2021-11-08,4.9566665
2021-11-09,4.058333
2021-11-10,4.3566666
2021-11-11,5.615
2021-11-12,4.7916665
2021-11-13,6.018333
2021-11-14,5.0916667
2021-11-15,5.653333
2021-11-16,5.1916666
2021-11-17,4.9199996
2021-11-18,4.0316663
2021-11-19,5.0733333
2021-11-20,4.625
2021-11-21,3.4783332
2021-11-22,3.4266665
2021-11-23,1.4249998
2021-11-24,-0.6783333
2021-11-25,0.8433333
2021-11-26,1.0616666
2021-11-27,1.4133333
2021-11-28,1.305
2021-11-29,-1.9483333
2021-11-30,-1.1616665
2021-12-01,3.1000001
2021-12-02,2.0449998
2021-12-03,-0.18333334
2021-12-04,-0.78833336
2021-12-05,0.13166668
2021-12-06,-0.22166668
2021-12-07,-2.958333
2021-12-08,-2.9683332
2021-12-09,-2.0449998
2021-12-10,-2.6850002
2021-12-11,-1.9699999
2021-12-12,-2.1966667
2021-12-13,0.39166665
2021-12-14,1.8499999
2021-12-15,1.3649999
2021-12-16,1.9833332
2021-12-17,1.1666666
