time,DE21G
2021-01-01,1.49
2021-01-02,2.8799999
2021-01-03,2.85
2021-01-04,2.83
2021-01-05,2.8999999
2021-01-06,1.25
2021-01-07,0.53999996
2021-01-08,0.59
2021-01-09,1.29
2021-01-10,0.76
2021-01-11,2.59
2021-01-12,2.72
2021-01-13,1.5
2021-01-14,1.2099999
2021-01-15,-0.71
2021-01-16,-1.8299999
2021-01-17,-3.24
2021-01-18,0.52
2021-01-19,3.1499999
2021-01-20,6.8799996
2021-01-21,7.22
2021-01-22,4.92
2021-01-23,1.3199999
2021-01-24,0.9
2021-01-25,0.81
2021-01-26,0.19
2021-01-27,1.1999999
2021-01-28,0.39
2021-01-29,-1.2099999
2021-01-30,-1.5
2021-01-31,-4.3199997
2021-02-01,-3.01
2021-02-02,-1.0799999
2021-02-03,0.29999998
2021-02-04,0.7
2021-02-05,-0.11
2021-02-06,-1.8
2021-02-07,-4.69
2021-02-08,-4.5
2021-02-09,-6.22
2021-02-10,-3.9499998
2021-02-11,-4.69
2021-02-12,-6.89
2021-02-13,-6.74
2021-02-14,-7.72
2021-02-15,-3.1899998
2021-02-16,1.66
2021-02-17,4.29
2021-02-18,6.58
2021-02-19,5.6099997
2021-02-20,7.41
2021-02-21,9.22
2021-02-22,9.24
2021-02-23,10.76
2021-02-24,12.259999
2021-02-25,11.21
2021-02-26,6.89
2021-02-27,4.88
2021-02-28,4.92
2021-03-01,4.42
2021-03-02,2.09
2021-03-03,4.7
2021-03-04,2.8
2021-03-05,1.26
2021-03-06,1.65
2021-03-07,3.3799999
2021-03-08,0.94
2021-03-09,1.8199999
2021-03-10,2.95
2021-03-11,6.48
2021-03-12,6.21
2021-03-13,4.88
2021-03-14,5.27
2021-03-15,4.45
2021-03-16,3.78
2021-03-17,2.6799998
2021-03-18,2.78
2021-03-19,0.65999997
2021-03-20,1.42
2021-03-21,5.64
2021-03-22,4.83
2021-03-23,5.52
2021-03-24,8.04
2021-03-25,8.15
2021-03-26,10.179999
2021-03-27,6.04
2021-03-28,6.5299997
2021-03-29,12.05
2021-03-30,12.759999
2021-03-31,13.65
2021-04-01,7.46
2021-04-02,4.63
2021-04-03,4.92
2021-04-04,4.5
2021-04-05,3.22
2021-04-06,1.18
2021-04-07,2.35
2021-04-08,4.0299997
2021-04-09,5.87
2021-04-10,5.43
2021-04-11,6.6299996
2021-04-12,4.47
2021-04-13,3.9399998
2021-04-14,4.22
2021-04-15,5.0899997
2021-04-16,6.5099998
2021-04-17,8.13
2021-04-18,6.99
2021-04-19,8.26
2021-04-20,9.13
2021-04-21,7.93
2021-04-22,7.2
2021-04-23,8.059999
2021-04-24,6.52
2021-04-25,5.7
2021-04-26,5.16
2021-04-27,6.3599997
2021-04-28,10.16
2021-04-29,7.75
2021-04-30,8.13
2021-05-01,8.01
2021-05-02,7.79
2021-05-03,7.2599998
2021-05-04,8.67
2021-05-05,7.1099997
2021-05-06,6.77
2021-05-07,6.27
2021-05-08,8.86
2021-05-09,18.66
2021-05-10,20.029999
2021-05-11,12.9
2021-05-12,12.259999
2021-05-13,10.559999
2021-05-14,8.929999
2021-05-15,10.599999
2021-05-16,11.429999
2021-05-17,11.86
2021-05-18,11.41
2021-05-19,10.61
2021-05-20,10.7699995
2021-05-21,11.91
2021-05-22,11.16
2021-05-23,11.389999
2021-05-24,15.08
2021-05-25,11.0199995
2021-05-26,10.7699995
2021-05-27,10.91
2021-05-28,11.32
2021-05-29,11.44
2021-05-30,13.23
2021-05-31,14.62
2021-06-01,15.799999
2021-06-02,16.779999
2021-06-03,20.4
2021-06-04,20.029999
2021-06-05,20.58
2021-06-06,18.83
