time,DEB1C
2021-01-01,5.94625
2021-01-02,7.28625
2021-01-03,6.5262504
2021-01-04,4.8725004
2021-01-05,3.9624999
2021-01-06,3.81
2021-01-07,3.7937498
2021-01-08,3.2925
2021-01-09,2.3112497
2021-01-10,2.93
2021-01-11,1.4074999
2021-01-12,2.39625
2021-01-13,4.8625
2021-01-14,5.4024997
2021-01-15,4.6237497
2021-01-16,2.3062499
2021-01-17,1.6825001
2021-01-18,2.4875
2021-01-19,3.56
2021-01-20,5.7225
2021-01-21,8.21
2021-01-22,9.41375
2021-01-23,7.95125
2021-01-24,5.9212503
2021-01-25,5.1
2021-01-26,4.27125
2021-01-27,3.0425
2021-01-28,4.1375
2021-01-29,7.3762493
2021-01-30,7.7025
2021-01-31,6.6987495
2021-02-01,6.9950004
2021-02-02,7.3799996
2021-02-03,8.91
2021-02-04,10.067499
2021-02-05,10.38625
2021-02-06,10.258749
2021-02-07,9.9574995
2021-02-08,7.8749995
2021-02-09,8.7675
2021-02-10,9.69875
2021-02-11,8.443749
2021-02-12,5.38
2021-02-13,-0.68125
2021-02-14,-1.1625
2021-02-15,0.70250005
2021-02-16,4.0125
2021-02-17,6.9449997
2021-02-18,8.08625
2021-02-19,8.88625
2021-02-20,9.3825
2021-02-21,9.146251
2021-02-22,9.65
2021-02-23,10.187501
2021-02-24,11.985001
2021-02-25,12.74875
2021-02-26,11.331249
2021-02-27,10.18
2021-02-28,7.5199995
2021-03-01,5.0475
2021-03-02,6.44875
2021-03-03,8.475
2021-03-04,7.5449996
2021-03-05,8.875
2021-03-06,5.4474998
2021-03-07,5.13625
2021-03-08,6.4674997
2021-03-09,5.9425
2021-03-10,5.88625
2021-03-11,7.4275
2021-03-12,9.7575
2021-03-13,9.25875
2021-03-14,7.1375
2021-03-15,7.1087503
2021-03-16,7.88
2021-03-17,6.1325
2021-03-18,4.31
2021-03-19,3.44
2021-03-20,3.6412501
2021-03-21,3.9662497
2021-03-22,6.0112495
2021-03-23,5.7225
2021-03-24,7.3099995
2021-03-25,9.3075
2021-03-26,10.245
2021-03-27,10.3975
2021-03-28,11.325
2021-03-29,12.1675
2021-03-30,13.599999
2021-03-31,14.66
2021-04-01,17.086248
2021-04-02,15.827499
2021-04-03,12.084999
2021-04-04,8.608749
2021-04-05,8.812499
2021-04-06,6.49375
2021-04-07,3.75
2021-04-08,6.5437503
2021-04-09,8.365
2021-04-10,8.2525
2021-04-11,9.79375
2021-04-12,10.773749
2021-04-13,6.8925
2021-04-14,6.8112497
2021-04-15,6.2974997
2021-04-16,7.0849996
2021-04-17,7.2599998
2021-04-18,7.5087495
2021-04-19,7.9249997
2021-04-20,9.57625
2021-04-21,11.148749
2021-04-22,10.467501
2021-04-23,11.28
2021-04-24,12.60625
2021-04-25,14.403749
2021-04-26,12.442499
2021-04-27,10.76375
2021-04-28,11.86375
2021-04-29,13.66625
2021-04-30,15.6175
2021-05-01,15.554999
2021-05-02,13.45875
2021-05-03,12.32
2021-05-04,12.123751
2021-05-05,12.918749
2021-05-06,14.3675
2021-05-07,14.9575
2021-05-08,13.759999
2021-05-09,16.18
2021-05-10,17.4
2021-05-11,14.3925
2021-05-12,11.9975
2021-05-13,12.174999
2021-05-14,11.6425
2021-05-15,12.15125
2021-05-16,13.59125
2021-05-17,14.64625
2021-05-18,14.65
2021-05-19,13.13875
2021-05-20,13.6975
2021-05-21,15.093749
2021-05-22,15.07
2021-05-23,17.42625
2021-05-24,15.60625
2021-05-25,14.67125
2021-05-26,14.98875
2021-05-27,16.113749
2021-05-28,16.69
2021-05-29,17.115002
2021-05-30,15.356249
2021-05-31,15.1175
2021-06-01,16.115
2021-06-02,17.30625
2021-06-03,17.80625
2021-06-04,19.65375
2021-06-05,18.90375
2021-06-06,18.603748
2021-06-07,16.7375
2021-06-08,16.03875
2021-06-09,18.196249
2021-06-10,18.43375
2021-06-11,18.50125
2021-06-12,20.414999
2021-06-13,21.77
2021-06-14,21.4925
2021-06-15,20.466248
2021-06-16,20.992498
2021-06-17,21.785
2021-06-18,21.1425
2021-06-19,22.141249
2021-06-20,23.68375
2021-06-21,23.48
2021-06-22,23.146248
2021-06-23,23.4525
2021-06-24,22.4425
2021-06-25,21.173748
2021-06-26,21.199999
2021-06-27,22.238749
2021-06-28,24.22625
2021-06-29,23.43875
2021-06-30,21.275
2021-07-01,20.78125
2021-07-02,20.832499
2021-07-03,22.248749
2021-07-04,20.063751
2021-07-05,21.1225
2021-07-06,23.6125
2021-07-07,25.3925
2021-07-08,24.52125
2021-07-09,21.913752
2021-07-10,21.5925
2021-07-11,21.873753
2021-07-12,23.408749
2021-07-13,21.90375
2021-07-14,18.5975
2021-07-15,20.141249
