time,DEB1B
2021-01-01,5.0439997
2021-01-02,6.126
2021-01-03,5.164
2021-01-04,3.6759999
2021-01-05,3.1239998
2021-01-06,2.6019998
2021-01-07,2.834
2021-01-08,1.5540001
2021-01-09,0.728
2021-01-10,0.9499999
2021-01-11,-0.58599997
2021-01-12,0.8459999
2021-01-13,4.1
2021-01-14,4.5959997
2021-01-15,2.872
2021-01-16,0.62200004
2021-01-17,0.752
2021-01-18,1.18
2021-01-19,2.592
2021-01-20,4.73
2021-01-21,7.3599997
2021-01-22,8.236
2021-01-23,5.9779997
2021-01-24,4.3599997
2021-01-25,2.8200002
2021-01-26,2.4520001
2021-01-27,1.89
2021-01-28,3.796
2021-01-29,6.954
2021-01-30,7.1659994
2021-01-31,6.0099998
2021-02-01,5.63
2021-02-02,6.382
2021-02-03,7.7259994
2021-02-04,9.218
2021-02-05,9.698
2021-02-06,10.988001
2021-02-07,9.196
2021-02-08,6.224
2021-02-09,7.3039994
2021-02-10,8.038
2021-02-11,6.5679994
2021-02-12,2.0
2021-02-13,-2.6699998
2021-02-14,-3.026
2021-02-15,-0.646
2021-02-16,2.6959999
2021-02-17,5.212
2021-02-18,6.5059996
2021-02-19,7.4779997
2021-02-20,8.023999
2021-02-21,8.086
2021-02-22,8.54
2021-02-23,9.152
2021-02-24,11.594
2021-02-25,11.834
2021-02-26,11.414
2021-02-27,9.318
2021-02-28,5.516
2021-03-01,4.312
2021-03-02,5.932
2021-03-03,7.588
2021-03-04,7.496
2021-03-05,8.0199995
2021-03-06,3.53
2021-03-07,3.9379997
2021-03-08,5.281999
2021-03-09,4.616
2021-03-10,4.2
2021-03-11,6.9300003
2021-03-12,8.962
2021-03-13,8.476
2021-03-14,5.16
2021-03-15,5.648
2021-03-16,6.24
2021-03-17,5.46
2021-03-18,2.784
2021-03-19,1.9319998
2021-03-20,2.228
2021-03-21,1.8359998
2021-03-22,4.362
2021-03-23,4.04
2021-03-24,6.808
2021-03-25,9.325999
2021-03-26,9.797999
2021-03-27,9.834
2021-03-28,11.202001
2021-03-29,11.926
2021-03-30,13.402
2021-03-31,14.736
2021-04-01,16.49
2021-04-02,15.603999
2021-04-03,10.836
2021-04-04,6.558
2021-04-05,8.124
2021-04-06,4.3120003
2021-04-07,1.6839998
2021-04-08,5.818
2021-04-09,7.9519997
2021-04-10,7.176
2021-04-11,8.848
2021-04-12,9.802
2021-04-13,5.21
2021-04-14,5.046
2021-04-15,4.7419996
2021-04-16,5.6579995
2021-04-17,5.93
2021-04-18,6.25
2021-04-19,6.7260003
2021-04-20,8.761999
2021-04-21,10.561999
2021-04-22,9.528
2021-04-23,10.116
2021-04-24,11.537999
2021-04-25,14.685999
2021-04-26,12.198
2021-04-27,9.325999
2021-04-28,11.018
2021-04-29,12.392
2021-04-30,15.210001
2021-05-01,15.259999
2021-05-02,12.931999
2021-05-03,12.03
2021-05-04,11.838
2021-05-05,12.364
2021-05-06,13.9019985
2021-05-07,14.296
2021-05-08,13.016001
2021-05-09,16.565998
2021-05-10,17.560001
2021-05-11,14.144
2021-05-12,11.062
2021-05-13,11.526
2021-05-14,11.476
2021-05-15,11.788
2021-05-16,12.586
2021-05-17,13.879999
2021-05-18,14.4019985
2021-05-19,12.167999
2021-05-20,13.128
2021-05-21,14.960001
2021-05-22,14.558001
2021-05-23,17.118
2021-05-24,15.394
2021-05-25,14.144
2021-05-26,14.9019985
2021-05-27,16.204
2021-05-28,16.694
2021-05-29,17.599998
2021-05-30,14.462
2021-05-31,14.609999
2021-06-01,15.806
2021-06-02,17.512
2021-06-03,18.273998
2021-06-04,20.098001
2021-06-05,18.49
2021-06-06,18.678
2021-06-07,16.822
2021-06-08,15.698
2021-06-09,18.296
2021-06-10,18.572
2021-06-11,18.282
2021-06-12,20.274
2021-06-13,22.146
2021-06-14,21.067999
2021-06-15,20.042
2021-06-16,20.882
2021-06-17,21.744
2021-06-18,21.552
2021-06-19,22.603998
2021-06-20,24.022
2021-06-21,23.718
2021-06-22,23.61
2021-06-23,24.196
2021-06-24,22.702
2021-06-25,20.966
2021-06-26,21.476
2021-06-27,22.838001
2021-06-28,24.66
2021-06-29,23.706
2021-06-30,20.815998
2021-07-01,20.354
2021-07-02,20.287998
2021-07-03,22.442
2021-07-04,20.495998
2021-07-05,20.98
2021-07-06,23.696
2021-07-07,26.008
2021-07-08,24.882
2021-07-09,21.819998
2021-07-10,21.698002
2021-07-11,22.016
2021-07-12,23.66
2021-07-13,21.769999
2021-07-14,18.213999
2021-07-15,20.004
2021-07-16,17.557999
2021-07-17,17.981998
2021-07-18,20.658
2021-07-19,21.462
2021-07-20,22.871998
2021-07-21,23.816
2021-07-22,23.294
2021-07-23,23.189999
2021-07-24,24.191998
2021-07-25,24.397999
2021-07-26,23.268
2021-07-27,22.866
2021-07-28,24.394001
2021-07-29,24.768
2021-07-30,26.273998
2021-07-31,26.095999
2021-08-01,22.163998
2021-08-02,20.095999
2021-08-03,21.210001
2021-08-04,22.557999
2021-08-05,19.976
2021-08-06,21.45
2021-08-07,23.708
2021-08-08,25.064
