time,RO211
2021-01-01,8.036249
2021-01-02,8.97375
2021-01-03,6.8949995
2021-01-04,6.2225003
2021-01-05,5.3312497
2021-01-06,2.39625
2021-01-07,2.9824998
2021-01-08,2.5324998
2021-01-09,5.51
2021-01-10,5.9987497
2021-01-11,4.828571
2021-01-12,6.468571
2021-01-13,8.542857
2021-01-14,8.05375
2021-01-15,5.6662498
2021-01-16,1.1225
2021-01-17,6.1387496
2021-01-18,5.02375
2021-01-19,1.31625
2021-01-20,0.86749995
2021-01-21,3.53
2021-01-22,2.5124998
2021-01-23,-0.13428572
2021-01-24,3.1675
2021-01-25,4.18
2021-01-26,4.23625
2021-01-27,6.3574996
2021-01-28,7.8449993
2021-01-29,5.93875
2021-01-30,7.1024995
2021-01-31,6.8875
2021-02-01,9.436251
2021-02-02,9.1
2021-02-03,11.106249
2021-02-04,9.525
2021-02-05,8.065001
2021-02-06,8.79375
2021-02-07,8.95
2021-02-08,9.16625
2021-02-09,10.35625
2021-02-10,9.595
2021-02-11,6.9087496
2021-02-12,5.8187494
2021-02-13,-0.39374992
2021-02-14,2.1924999
2021-02-15,3.3387501
2021-02-16,5.77625
2021-02-17,4.04
2021-02-18,0.041250005
2021-02-19,1.9200001
2021-02-20,0.6475
2021-02-21,4.0150003
2021-02-22,4.1
2021-02-23,11.241249
2021-02-24,9.67375
2021-02-25,4.84
2021-02-26,7.1524997
2021-02-27,4.4625
2021-02-28,4.0412498
2021-03-01,2.9449997
2021-03-02,4.31
2021-03-03,2.735
2021-03-04,6.735
2021-03-05,5.4087505
2021-03-06,5.6237497
2021-03-07,7.6637497
2021-03-08,5.6287503
2021-03-09,4.5375
2021-03-10,6.04625
2021-03-11,6.8624997
2021-03-12,1.872857
2021-03-13,1.2712499
2021-03-14,3.8437498
2021-03-15,5.27625
2021-03-16,6.90375
2021-03-17,9.74
2021-03-18,7.6349998
2021-03-19,4.85625
2021-03-20,2.37625
2021-03-21,4.4762497
2021-03-22,6.8412504
2021-03-23,4.776667
2021-03-24,5.1012497
2021-03-25,3.5462499
2021-03-26,4.23875
2021-03-27,2.8525
2021-03-28,1.71375
2021-03-29,4.16125
2021-03-30,5.6312504
2021-03-31,6.312857
2021-04-01,7.723749
2021-04-02,6.285714
2021-04-03,7.2842855
2021-04-04,8.3975
2021-04-05,11.8637495
2021-04-06,9.6975
2021-04-07,13.50875
2021-04-08,13.035714
2021-04-09,9.956249
2021-04-10,6.8512497
2021-04-11,6.6875
2021-04-12,9.04625
2021-04-13,4.88625
2021-04-14,7.0775
2021-04-15,9.76
2021-04-16,13.15
2021-04-17,16.1025
2021-04-18,18.085
2021-04-19,19.33375
2021-04-20,17.8125
2021-04-21,14.124999
2021-04-22,10.6325
2021-04-23,10.844999
2021-04-24,13.188749
