time,DEA18
2021-01-01,1.3333334
2021-01-02,1.1533333
2021-01-03,0.14666666
2021-01-04,0.34333333
2021-01-05,1.2566667
2021-01-06,1.2066666
2021-01-07,0.83666664
2021-01-08,0.76666665
2021-01-09,0.84666663
2021-01-10,0.27666667
2021-01-11,0.30666667
2021-01-12,1.1033334
2021-01-13,1.34
2021-01-14,0.65000004
2021-01-15,-0.9766667
2021-01-16,-2.1899998
2021-01-17,-2.9533331
2021-01-18,-2.7366667
2021-01-19,2.2133331
2021-01-20,5.653333
2021-01-21,8.066667
2021-01-22,6.3266664
2021-01-23,0.8833334
2021-01-24,0.54333335
2021-01-25,0.69666666
2021-01-26,0.34666666
2021-01-27,1.1433333
2021-01-28,0.6533333
2021-01-29,-1.85
2021-01-30,-2.34
2021-01-31,-4.9966664
2021-02-01,-3.9866664
2021-02-02,0.01666666
2021-02-03,1.8266667
2021-02-04,0.21333332
2021-02-05,-0.3133333
2021-02-06,-2.6333332
2021-02-07,-6.226667
2021-02-08,-9.19
2021-02-09,-8.8533325
2021-02-10,-9.176666
2021-02-11,-5.33
2021-02-12,-6.9166665
2021-02-13,-6.396666
2021-02-14,-7.336666
2021-02-15,-6.03
2021-02-16,0.5
2021-02-17,4.0466666
2021-02-18,5.5099998
2021-02-19,4.67
2021-02-20,5.2233334
2021-02-21,8.01
2021-02-22,5.773333
2021-02-23,9.836667
2021-02-24,12.099999
2021-02-25,11.593333
2021-02-26,7.056667
2021-02-27,5.2099996
2021-02-28,2.7233334
2021-03-01,4.2433333
2021-03-02,3.34
2021-03-03,6.343333
2021-03-04,3.3866665
2021-03-05,0.94
2021-03-06,1.0
2021-03-07,2.5866668
2021-03-08,0.97333336
2021-03-09,0.28
2021-03-10,1.41
2021-03-11,5.593333
2021-03-12,7.033333
2021-03-13,5.7033334
2021-03-14,4.883333
2021-03-15,4.6433334
2021-03-16,3.8
2021-03-17,2.22
2021-03-18,1.8466667
2021-03-19,0.11333332
2021-03-20,0.83666664
2021-03-21,4.653333
2021-03-22,4.48
2021-03-23,5.53
2021-03-24,6.963333
2021-03-25,7.686666
2021-03-26,8.726666
2021-03-27,6.273333
2021-03-28,7.0466666
2021-03-29,13.34
2021-03-30,13.373333
2021-03-31,13.79
2021-04-01,9.873333
2021-04-02,5.47
2021-04-03,4.28
2021-04-04,4.403333
2021-04-05,3.2699997
2021-04-06,1.5099999
2021-04-07,2.6833332
2021-04-08,4.14
2021-04-09,7.5766664
2021-04-10,6.36
2021-04-11,11.25
2021-04-12,4.783333
2021-04-13,4.2799997
2021-04-14,3.93
2021-04-15,3.6533334
2021-04-16,6.1533337
2021-04-17,8.21
2021-04-18,6.9933333
2021-04-19,10.066667
2021-04-20,10.113334
2021-04-21,9.496667
2021-04-22,6.7766666
2021-04-23,7.6
2021-04-24,6.8699994
2021-04-25,4.7433333
2021-04-26,3.84
2021-04-27,5.603334
2021-04-28,9.826667
2021-04-29,9.849999
2021-04-30,7.346667
2021-05-01,7.533333
2021-05-02,7.403333
2021-05-03,6.8333335
2021-05-04,9.646667
2021-05-05,8.516666
2021-05-06,7.506666
2021-05-07,4.9933333
2021-05-08,9.043332
2021-05-09,18.119999
2021-05-10,21.13
2021-05-11,20.216665
2021-05-12,13.900001
2021-05-13,11.663333
2021-05-14,9.746666
2021-05-15,12.713333
2021-05-16,12.773334
2021-05-17,13.23
2021-05-18,11.2699995
2021-05-19,11.62
2021-05-20,12.536667
2021-05-21,14.183333
2021-05-22,12.163333
2021-05-23,11.706666
2021-05-24,14.98
2021-05-25,12.083333
2021-05-26,11.873333
2021-05-27,11.23
2021-05-28,11.2699995
2021-05-29,12.099998
2021-05-30,12.623333
2021-05-31,13.56
2021-06-01,15.843333
2021-06-02,16.85
2021-06-03,19.49
2021-06-04,18.186666
2021-06-05,20.39
2021-06-06,20.546665
2021-06-07,19.56
2021-06-08,19.556665
2021-06-09,19.186666
2021-06-10,20.83
2021-06-11,21.296667
2021-06-12,17.173334
2021-06-13,14.106667
2021-06-14,18.476665
2021-06-15,18.263332
2021-06-16,19.183332
2021-06-17,25.346664
2021-06-18,27.086664
2021-06-19,27.053331
2021-06-20,27.096664
2021-06-21,24.843332
2021-06-22,17.906666
2021-06-23,16.056667
2021-06-24,16.296667
2021-06-25,19.173334
2021-06-26,19.593332
2021-06-27,20.123333
2021-06-28,23.233332
2021-06-29,22.843332
2021-06-30,17.660002
2021-07-01,15.606667
2021-07-02,19.536665
2021-07-03,19.053333
2021-07-04,20.929998
2021-07-05,19.713333
2021-07-06,22.529999
2021-07-07,18.763332
2021-07-08,18.236666
2021-07-09,17.906668
2021-07-10,18.466667
2021-07-11,21.743332
2021-07-12,20.85
2021-07-13,23.44333
2021-07-14,21.816666
2021-07-15,20.973333
2021-07-16,22.783333
2021-07-17,23.213333
2021-07-18,21.023333
2021-07-19,16.789999
2021-07-20,16.83
2021-07-21,17.76
2021-07-22,19.233332
2021-07-23,19.123335
2021-07-24,22.56
2021-07-25,23.17
2021-07-26,22.943335
2021-07-27,22.606667
2021-07-28,20.136667
2021-07-29,19.893333
2021-07-30,19.24
2021-07-31,19.779999
2021-08-01,17.443335
2021-08-02,16.869999
2021-08-03,17.24
2021-08-04,18.083334
2021-08-05,17.83
2021-08-06,19.033333
2021-08-07,19.426666
2021-08-08,18.803331
2021-08-09,17.483332
2021-08-10,17.683334
2021-08-11,16.78
2021-08-12,19.446665
2021-08-13,22.68
2021-08-14,20.523333
2021-08-15,19.656666
2021-08-16,17.89
2021-08-17,14.793332
2021-08-18,16.37
2021-08-19,17.94
2021-08-20,16.436666
2021-08-21,17.176666
2021-08-22,17.563334
2021-08-23,16.42
2021-08-24,15.396667
2021-08-25,14.266666
2021-08-26,14.03
2021-08-27,13.666667
2021-08-28,15.063333
2021-08-29,15.416665
2021-08-30,15.546666
2021-08-31,15.506665
2021-09-01,15.846665
2021-09-02,15.16
2021-09-03,15.55
2021-09-04,14.919999
2021-09-05,15.993332
2021-09-06,16.206667
2021-09-07,16.386665
2021-09-08,17.109999
2021-09-09,19.14
2021-09-10,19.603333
2021-09-11,19.026667
2021-09-12,17.823334
2021-09-13,14.95
2021-09-14,14.756665
2021-09-15,17.546667
2021-09-16,17.373331
2021-09-17,14.243333
2021-09-18,13.543334
2021-09-19,12.41
2021-09-20,12.343333
2021-09-21,12.276666
2021-09-22,13.150001
2021-09-23,14.186666
2021-09-24,14.743333
2021-09-25,16.856667
2021-09-26,18.436666
2021-09-27,17.326666
2021-09-28,14.943333
2021-09-29,13.196667
2021-09-30,10.79
2021-10-01,11.856667
2021-10-02,13.75
2021-10-03,17.75
2021-10-04,14.053333
2021-10-05,13.183333
2021-10-06,12.839999
2021-10-07,11.303333
2021-10-08,11.403333
2021-10-09,7.9699993
2021-10-10,6.8099995
2021-10-11,8.166667
2021-10-12,7.883333
2021-10-13,7.5
2021-10-14,10.533333
2021-10-15,10.613334
2021-10-16,8.58
2021-10-17,9.246666
2021-10-18,11.226666
2021-10-19,12.236667
2021-10-20,15.583333
2021-10-21,12.420001
2021-10-22,6.746666
2021-10-23,6.683333
2021-10-24,6.723333
2021-10-25,6.0166664
2021-10-26,9.0199995
2021-10-27,12.29
2021-10-28,11.106667
2021-10-29,8.54
2021-10-30,9.543334
2021-10-31,12.576667
2021-11-01,10.093333
2021-11-02,8.283333
2021-11-03,5.48
2021-11-04,6.3233333
2021-11-05,7.853333
2021-11-06,8.759999
2021-11-07,8.116666
2021-11-08,8.17
2021-11-09,7.7066665
2021-11-10,4.366667
2021-11-11,4.943333
2021-11-12,7.433333
2021-11-13,4.6199994
2021-11-14,4.4266667
2021-11-15,5.263334
2021-11-16,5.2833333
2021-11-17,5.3266664
2021-11-18,7.5966663
2021-11-19,11.45
2021-11-20,10.740001
2021-11-21,7.293333
2021-11-22,2.8966665
2021-11-23,4.9566665
2021-11-24,6.5499997
2021-11-25,4.2666664
2021-11-26,3.9866664
2021-11-27,1.6966667
2021-11-28,0.99
2021-11-29,1.3
2021-11-30,2.86
2021-12-01,4.8899994
2021-12-02,1.8366666
2021-12-03,0.53
2021-12-04,1.1233333
2021-12-05,0.17333335
2021-12-06,-0.16333331
2021-12-07,-0.7133333
2021-12-08,-0.74666667
2021-12-09,-1.6833334
2021-12-10,-0.8033333
2021-12-11,-0.90333337
2021-12-12,0.5933333
2021-12-13,5.9133334
2021-12-14,7.0733333
2021-12-15,8.15
2021-12-16,7.2233334
2021-12-17,4.6666665
2021-12-18,5.5
2021-12-19,5.373333
2021-12-20,0.69
2021-12-21,-0.08666667
2021-12-22,-0.9533333
2021-12-23,-1.4499999
2021-12-24,0.5133333
2021-12-25,-7.283333
2021-12-26,-8.743333
2021-12-27,-5.3933334
2021-12-28,-2.3
2021-12-29,2.53
2021-12-30,8.06
2021-12-31,12.223332
