time,DE21H
2021-01-01,1.245
2021-01-02,2.1133335
2021-01-03,1.8516666
2021-01-04,1.7166666
2021-01-05,2.5974998
2021-01-06,1.23
2021-01-07,0.65166664
2021-01-08,0.2825
2021-01-09,0.8908334
2021-01-10,0.135
2021-01-11,1.6516666
2021-01-12,1.5975
2021-01-13,1.1258333
2021-01-14,0.93499994
2021-01-15,-1.4666666
2021-01-16,-2.4866664
2021-01-17,-3.1766665
2021-01-18,-1.525
2021-01-19,2.1033332
2021-01-20,5.9091663
2021-01-21,6.7816663
2021-01-22,5.485
2021-01-23,0.4608333
2021-01-24,0.38750002
2021-01-25,0.6691666
2021-01-26,-0.20583333
2021-01-27,0.4991667
2021-01-28,-0.13166666
2021-01-29,-1.9883333
2021-01-30,-2.0649998
2021-01-31,-3.698333
2021-02-01,-3.3525
2021-02-02,-1.0491667
2021-02-03,-0.07416666
2021-02-04,0.23166664
2021-02-05,-0.885
2021-02-06,-2.9408333
2021-02-07,-6.023333
2021-02-08,-7.1699996
2021-02-09,-7.8441663
2021-02-10,-6.765
2021-02-11,-5.1725
2021-02-12,-7.209166
2021-02-13,-6.4225
2021-02-14,-5.9758334
2021-02-15,-4.6908336
2021-02-16,0.33833334
2021-02-17,3.5583332
2021-02-18,4.9591665
2021-02-19,4.4516664
2021-02-20,5.1008334
2021-02-21,7.59
2021-02-22,6.838333
2021-02-23,9.653333
2021-02-24,11.514999
2021-02-25,10.670834
2021-02-26,6.9725
2021-02-27,5.0825
2021-02-28,4.2716665
2021-03-01,4.3574996
2021-03-02,2.618333
2021-03-03,4.8741665
2021-03-04,2.6991665
2021-03-05,0.84999996
2021-03-06,1.1374999
2021-03-07,2.6274998
2021-03-08,-0.1
2021-03-09,-0.20416665
2021-03-10,1.305
2021-03-11,5.485
2021-03-12,6.3591666
2021-03-13,5.3325
2021-03-14,4.6699996
2021-03-15,4.14
2021-03-16,3.2399998
2021-03-17,2.1508331
2021-03-18,2.04
2021-03-19,-0.38749996
2021-03-20,0.7466666
2021-03-21,4.9733334
2021-03-22,4.679167
2021-03-23,5.4466667
2021-03-24,6.648333
2021-03-25,7.2000003
2021-03-26,9.11
2021-03-27,6.1158333
2021-03-28,6.403333
2021-03-29,11.7283325
2021-03-30,13.016666
2021-03-31,12.960834
2021-04-01,7.721667
2021-04-02,4.473333
2021-04-03,4.1008334
2021-04-04,4.1408334
2021-04-05,2.985
2021-04-06,1.5041666
2021-04-07,2.0466666
2021-04-08,3.989167
2021-04-09,6.5541663
2021-04-10,5.6825004
2021-04-11,8.535833
2021-04-12,4.4291663
2021-04-13,3.493333
2021-04-14,3.6833332
2021-04-15,4.4149995
2021-04-16,6.0774994
2021-04-17,7.8991666
2021-04-18,6.7066665
2021-04-19,8.726666
2021-04-20,9.109167
2021-04-21,7.975
2021-04-22,6.5616665
2021-04-23,7.408333
2021-04-24,6.2900004
2021-04-25,4.903333
2021-04-26,3.4691665
2021-04-27,5.235
2021-04-28,9.141666
2021-04-29,8.139167
2021-04-30,6.533333
2021-05-01,6.498333
2021-05-02,6.838333
2021-05-03,6.9233336
2021-05-04,8.856667
2021-05-05,7.875833
2021-05-06,7.2000003
2021-05-07,5.599167
2021-05-08,8.772499
2021-05-09,17.263334
2021-05-10,20.209167
2021-05-11,16.028334
2021-05-12,12.844998
2021-05-13,11.264999
2021-05-14,9.885833
2021-05-15,10.924167
2021-05-16,11.797501
2021-05-17,11.897499
2021-05-18,11.085834
2021-05-19,10.794167
2021-05-20,10.955001
2021-05-21,11.993333
2021-05-22,11.59
2021-05-23,11.5325
2021-05-24,14.648334
2021-05-25,11.499166
2021-05-26,10.829165
2021-05-27,11.008332
2021-05-28,11.859166
2021-05-29,11.825833
2021-05-30,12.970833
2021-05-31,14.215
2021-06-01,14.766666
2021-06-02,15.698333
2021-06-03,18.923332
2021-06-04,18.904999
2021-06-05,19.292498
2021-06-06,18.637499
2021-06-07,18.653334
2021-06-08,18.443333
2021-06-09,18.918333
2021-06-10,19.454168
2021-06-11,20.152498
2021-06-12,16.731667
2021-06-13,14.38
2021-06-14,18.589167
2021-06-15,16.939165
2021-06-16,18.115833
2021-06-17,24.674997
2021-06-18,26.895834
2021-06-19,26.544998
2021-06-20,25.173334
2021-06-21,22.193335
2021-06-22,16.746666
2021-06-23,15.5675
2021-06-24,16.520832
2021-06-25,17.444166
2021-06-26,17.815834
2021-06-27,18.960833
2021-06-28,21.954168
2021-06-29,21.199999
2021-06-30,18.7775
2021-07-01,17.405834
2021-07-02,18.97
2021-07-03,17.268333
2021-07-04,20.020834
2021-07-05,19.319166
2021-07-06,21.200832
2021-07-07,19.059166
2021-07-08,18.526667
2021-07-09,16.856665
2021-07-10,17.913332
2021-07-11,21.195
2021-07-12,20.681665
2021-07-13,22.865835
2021-07-14,22.695
2021-07-15,21.974998
2021-07-16,23.903334
2021-07-17,22.480833
2021-07-18,20.088333
2021-07-19,16.19
2021-07-20,16.7575
2021-07-21,17.630833
2021-07-22,17.3125
2021-07-23,17.718332
2021-07-24,21.515
2021-07-25,23.487501
2021-07-26,21.554163
2021-07-27,21.5625
2021-07-28,19.814167
2021-07-29,18.463333
2021-07-30,18.818335
2021-07-31,18.296667
2021-08-01,16.794167
2021-08-02,15.808334
2021-08-03,16.395834
2021-08-04,17.205
2021-08-05,17.891665
2021-08-06,18.631666
2021-08-07,19.146666
2021-08-08,18.178331
2021-08-09,16.989998
2021-08-10,16.346666
2021-08-11,17.118332
2021-08-12,19.457499
2021-08-13,22.061666
2021-08-14,18.869165
2021-08-15,18.519167
2021-08-16,16.305832
2021-08-17,14.741666
2021-08-18,15.760833
2021-08-19,16.751665
2021-08-20,15.616666
2021-08-21,15.644166
2021-08-22,16.006666
2021-08-23,16.673334
2021-08-24,14.7525
2021-08-25,14.3
2021-08-26,13.534167
2021-08-27,14.066666
2021-08-28,15.165833
2021-08-29,15.48
2021-08-30,15.419999
2021-08-31,15.57
2021-09-01,16.373335
2021-09-02,15.448334
2021-09-03,14.899167
2021-09-04,14.820834
2021-09-05,14.831666
2021-09-06,16.155832
2021-09-07,16.291666
2021-09-08,16.9025
2021-09-09,18.620832
2021-09-10,19.9
2021-09-11,18.795832
2021-09-12,17.845835
2021-09-13,14.804166
2021-09-14,14.680833
2021-09-15,16.424166
2021-09-16,16.858334
2021-09-17,13.732501
2021-09-18,13.784167
2021-09-19,12.204999
2021-09-20,11.941667
2021-09-21,11.671666
2021-09-22,13.315
2021-09-23,13.555833
2021-09-24,14.309166
2021-09-25,16.590834
2021-09-26,18.091665
2021-09-27,17.186666
2021-09-28,14.57
2021-09-29,11.82
2021-09-30,11.100834
2021-10-01,12.139999
2021-10-02,13.283333
2021-10-03,17.2525
2021-10-04,13.336666
2021-10-05,11.3975
2021-10-06,12.230832
2021-10-07,10.759999
2021-10-08,11.191666
