time,DEB3B
2021-08-11,15.826619
2021-08-12,16.86873
2021-08-13,16.90366
2021-08-14,15.119014
2021-08-15,15.746479
2021-08-16,13.6739435
2021-08-17,13.622112
2021-08-18,14.812817
2021-08-19,14.981126
2021-08-20,14.006619
2021-08-21,13.908591
2021-08-22,14.327465
2021-08-23,14.575634
2021-08-24,15.139858
2021-08-25,16.522676
2021-08-26,12.48338
2021-08-27,13.5840845
2021-08-28,13.311127
2021-08-29,15.535353
2021-08-30,14.592956
2021-08-31,14.578027
2021-09-01,14.802253
2021-09-02,14.855775
2021-09-03,13.642675
2021-09-04,11.118873
2021-09-05,12.062394
2021-09-06,13.393099
2021-09-07,14.450986
2021-09-08,17.150562
2021-09-09,17.28831
2021-09-10,16.478592
2021-09-11,15.840985
2021-09-12,16.179577
2021-09-13,12.389578
2021-09-14,12.194366
2021-09-15,13.60831
2021-09-16,10.578732
2021-09-17,9.354085
2021-09-18,10.064084
2021-09-19,9.231408
2021-09-20,8.539577
2021-09-21,8.898028
2021-09-22,11.5760565
2021-09-23,11.2833805
2021-09-24,10.13507
2021-09-25,11.850704
2021-09-26,10.622676
2021-09-27,12.907042
2021-09-28,12.14352
2021-09-29,11.543943
2021-09-30,11.158451
2021-10-01,10.932113
2021-10-02,11.26676
2021-10-03,13.224929
2021-10-04,12.050845
2021-10-05,11.18183
2021-10-06,11.805492
2021-10-07,11.494366
2021-10-08,10.928028
2021-10-09,10.784647
2021-10-10,9.705492
2021-10-11,9.11338
2021-10-12,5.9288735
2021-10-13,4.5940843
2021-10-14,10.09
2021-10-15,8.274084
2021-10-16,8.605211
2021-10-17,4.839155
2021-10-18,2.5167606
2021-10-19,7.191972
2021-10-20,12.28676
2021-10-21,8.294647
2021-10-22,5.2760563
2021-10-23,4.468028
2021-10-24,7.9509854
2021-10-25,7.8467603
2021-10-26,8.740985
2021-10-27,11.062394
2021-10-28,11.445493
2021-10-29,9.599999
2021-10-30,8.889014
2021-10-31,9.009437
2021-11-01,9.592676
2021-11-02,7.97662
2021-11-03,6.6769013
2021-11-04,5.796197
2021-11-05,5.7654924
2021-11-06,7.746056
2021-11-07,6.5519714
2021-11-08,1.3276056
2021-11-09,6.039859
2021-11-10,9.259858
2021-11-11,6.441268
2021-11-12,3.475352
2021-11-13,5.478732
2021-11-14,4.1467605
2021-11-15,4.620986
2021-11-16,5.0539436
2021-11-17,5.3240843
2021-11-18,6.813521
2021-11-19,10.374929
2021-11-20,7.2960567
2021-11-21,2.3878872
2021-11-22,0.7094366
2021-11-23,2.1664786
2021-11-24,6.0287323
2021-11-25,3.2215493
2021-11-26,-2.1130986
2021-11-27,-1.0869014
2021-11-28,-1.6260564
2021-11-29,-5.8325353
2021-11-30,-5.620141
2021-12-01,-6.33
2021-12-02,-5.630141
2021-12-03,-7.1509857
2021-12-04,-4.09
2021-12-05,-5.2160563
2021-12-06,-7.6750703
2021-12-07,-5.5969014
2021-12-08,-1.7208451
2021-12-09,-0.3891549
2021-12-10,-0.20957747
2021-12-11,-0.11704224
2021-12-12,-0.9452113
2021-12-13,1.8767606
2021-12-14,3.863239
2021-12-15,6.3908453
2021-12-16,4.60338
2021-12-17,0.7557746
2021-12-18,2.1638029
2021-12-19,2.4202816
2021-12-20,-0.85014087
2021-12-21,-4.2573237
2021-12-22,-2.849155
2021-12-23,-1.3257747
2021-12-24,-6.9122534
2021-12-25,-7.280422
2021-12-26,-6.5002813
2021-12-27,-5.5591545
2021-12-28,-2.2369013
2021-12-29,-0.9929578
2021-12-30,3.2471828
2021-12-31,4.915493
