time,DE21L
2021-01-01,1.3042858
2021-01-02,2.2442856
2021-01-03,1.9471427
2021-01-04,2.212857
2021-01-05,3.0257144
2021-01-06,1.5814285
2021-01-07,1.1185714
2021-01-08,0.45571426
2021-01-09,0.6085714
2021-01-10,-0.24142857
2021-01-11,1.6771429
2021-01-12,1.6357143
2021-01-13,1.1742858
2021-01-14,1.3014286
2021-01-15,-1.1828572
2021-01-16,-2.182857
2021-01-17,-3.3128572
2021-01-18,-3.1642857
2021-01-19,1.85
2021-01-20,5.722857
2021-01-21,6.937142
2021-01-22,5.7457147
2021-01-23,0.5528571
2021-01-24,0.3485714
2021-01-25,1.0957143
2021-01-26,0.50285715
2021-01-27,0.40857142
2021-01-28,0.21142855
2021-01-29,-1.8257141
2021-01-30,-1.7428571
2021-01-31,-2.8042855
2021-02-01,-3.552857
2021-02-02,-1.0571429
2021-02-03,-0.05857143
2021-02-04,0.18142857
2021-02-05,-1.2357142
2021-02-06,-2.8214283
2021-02-07,-5.6557145
2021-02-08,-6.547143
2021-02-09,-7.295714
2021-02-10,-7.4042854
2021-02-11,-4.0814285
2021-02-12,-6.5685716
2021-02-13,-5.694286
2021-02-14,-5.8142853
2021-02-15,-6.5114284
2021-02-16,-0.44285712
2021-02-17,2.9928572
2021-02-18,3.0771427
2021-02-19,4.1328573
2021-02-20,4.1328573
2021-02-21,6.274286
2021-02-22,5.7014284
2021-02-23,9.514285
2021-02-24,12.105715
2021-02-25,11.022858
2021-02-26,7.027143
2021-02-27,5.194286
2021-02-28,4.541428
2021-03-01,4.481428
2021-03-02,2.4742856
2021-03-03,4.2999997
2021-03-04,2.7899997
2021-03-05,0.8342857
2021-03-06,1.2028571
2021-03-07,2.7685716
2021-03-08,-0.55142856
2021-03-09,-0.9928571
2021-03-10,0.4557143
2021-03-11,5.0614285
2021-03-12,6.6442857
2021-03-13,5.5799994
2021-03-14,4.904286
2021-03-15,4.37
2021-03-16,3.1585712
2021-03-17,2.8685715
2021-03-18,1.6471428
2021-03-19,0.26571426
2021-03-20,1.07
2021-03-21,4.797143
2021-03-22,4.465714
2021-03-23,5.6385717
2021-03-24,6.498571
2021-03-25,6.6800003
2021-03-26,8.978571
2021-03-27,6.59
2021-03-28,6.6285715
2021-03-29,11.4728565
2021-03-30,13.238571
2021-03-31,12.298572
2021-04-01,7.4957137
2021-04-02,4.5828567
2021-04-03,4.16
2021-04-04,4.301429
2021-04-05,3.2271426
2021-04-06,2.2299998
2021-04-07,2.6114287
2021-04-08,4.437143
2021-04-09,6.5342855
2021-04-10,5.5099998
2021-04-11,9.345714
2021-04-12,5.0685716
2021-04-13,4.2414284
2021-04-14,4.237143
2021-04-15,4.882857
2021-04-16,6.0571427
2021-04-17,7.147143
2021-04-18,6.8171425
2021-04-19,7.827143
2021-04-20,8.2157135
2021-04-21,7.7828565
2021-04-22,6.8528566
2021-04-23,7.3299994
2021-04-24,6.5499997
