time,ITI11
2021-01-01,2.07
2021-01-02,-0.76
2021-01-03,1.36
2021-01-04,1.8399999
2021-01-05,1.78
2021-01-06,1.0
2021-01-07,-1.24
2021-01-08,-0.47
2021-01-09,-2.7
2021-01-10,1.9
2021-01-11,5.54
2021-01-12,1.35
2021-01-13,-0.11
2021-01-14,2.6499999
2021-01-15,0.96999997
2021-01-16,4.04
2021-01-17,3.6599998
2021-01-18,3.7099998
2021-01-19,2.55
2021-01-20,1.9599999
2021-01-21,2.11
2021-01-22,2.34
2021-01-23,-1.35
2021-01-24,-1.5999999
2021-01-25,0.64
2021-01-26,0.88
2021-01-27,2.7
2021-01-28,2.56
2021-01-29,3.1599998
2021-01-30,1.56
2021-01-31,-0.26
2021-02-01,0.76
2021-02-02,1.5799999
2021-02-03,3.12
2021-02-04,3.72
2021-02-05,3.07
2021-02-06,2.81
2021-02-07,0.29
2021-02-08,-0.74
2021-02-09,-0.47
2021-02-10,-1.73
2021-02-11,-3.05
2021-02-12,-1.36
2021-02-13,-0.71999997
2021-02-14,1.8399999
2021-02-15,6.83
2021-02-16,8.23
2021-02-17,5.45
2021-02-18,5.67
2021-02-19,5.75
2021-02-20,8.3
2021-02-21,7.4199996
2021-02-22,5.39
2021-02-23,5.64
2021-02-24,8.72
2021-02-25,5.92
2021-02-26,4.71
2021-02-27,6.46
2021-02-28,6.2799997
2021-03-01,4.87
2021-03-02,3.1799998
2021-03-03,1.55
2021-03-04,3.21
2021-03-05,2.61
2021-03-06,2.06
2021-03-07,4.65
2021-03-08,6.69
2021-03-09,6.8199997
2021-03-10,6.73
2021-03-11,5.85
2021-03-12,4.47
2021-03-13,3.86
2021-03-14,5.13
2021-03-15,6.2999997
2021-03-16,9.17
2021-03-17,7.35
2021-03-18,8.58
2021-03-19,7.8999996
2021-03-20,7.89
2021-03-21,6.77
2021-03-22,6.16
2021-03-23,7.7799997
2021-03-24,6.87
2021-03-25,7.14
2021-03-26,6.6299996
2021-03-27,3.97
2021-03-28,8.32
2021-03-29,11.23
2021-03-30,10.69
2021-03-31,8.03
2021-04-01,5.15
2021-04-02,4.38
2021-04-03,5.87
2021-04-04,6.23
2021-04-05,1.77
2021-04-06,1.52
2021-04-07,1.74
2021-04-08,5.31
2021-04-09,3.48
2021-04-10,0.87
2021-04-11,1.27
2021-04-12,2.4099998
2021-04-13,3.1
2021-04-14,4.7599998
2021-04-15,5.0499997
2021-04-16,5.22
2021-04-17,5.79
2021-04-18,5.6099997
2021-04-19,9.38
2021-04-20,8.12
2021-04-21,6.58
2021-04-22,6.1099997
2021-04-23,7.3599997
2021-04-24,8.05
2021-04-25,6.1299996
2021-04-26,6.54
2021-04-27,6.5299997
2021-04-28,5.94
2021-04-29,4.1
2021-04-30,4.73
2021-05-01,4.35
2021-05-02,5.25
2021-05-03,4.92
2021-05-04,5.98
2021-05-05,5.95
2021-05-06,3.24
2021-05-07,5.24
2021-05-08,5.75
2021-05-09,9.16
2021-05-10,10.639999
2021-05-11,11.179999
2021-05-12,8.4
2021-05-13,7.19
2021-05-14,8.4
2021-05-15,7.99
2021-05-16,8.54
2021-05-17,9.55
2021-05-18,8.889999
2021-05-19,8.59
2021-05-20,8.71
2021-05-21,8.96
2021-05-22,7.44
2021-05-23,6.42
2021-05-24,7.71
2021-05-25,8.55
2021-05-26,9.74
2021-05-27,10.2
2021-05-28,9.62
2021-05-29,12.889999
2021-05-30,11.92
2021-05-31,11.969999
2021-06-01,13.509999
2021-06-02,13.429999
2021-06-03,13.63
2021-06-04,13.28
2021-06-05,12.71
2021-06-06,14.03
2021-06-07,13.41
2021-06-08,14.24
2021-06-09,15.86
2021-06-10,16.39
2021-06-11,15.21
2021-06-12,13.469999
2021-06-13,16.68
2021-06-14,13.87
2021-06-15,11.54
2021-06-16,14.389999
2021-06-17,13.969999
2021-06-18,10.69
2021-06-19,12.12
2021-06-20,13.179999
2021-06-21,11.98
2021-06-22,10.82
2021-06-23,13.59
2021-06-24,16.64
2021-06-25,11.87
2021-06-26,11.73
2021-06-27,13.71
2021-06-28,14.73
2021-06-29,15.13
2021-06-30,13.58
2021-07-01,12.74
2021-07-02,14.059999
2021-07-03,14.799999
2021-07-04,16.76
2021-07-05,14.61
2021-07-06,12.49
2021-07-07,15.059999
2021-07-08,14.049999
2021-07-09,15.139999
2021-07-10,15.38
2021-07-11,16.48
2021-07-12,16.01
2021-07-13,15.799999
2021-07-14,16.69
2021-07-15,16.58
2021-07-16,17.96
2021-07-17,19.21
2021-07-18,17.699999
2021-07-19,17.92
2021-07-20,18.199999
2021-07-21,18.9
2021-07-22,18.09
2021-07-23,17.92
2021-07-24,16.039999
2021-07-25,14.87
2021-07-26,16.46
2021-07-27,16.25
2021-07-28,15.62
2021-07-29,15.259999
2021-07-30,14.94
2021-07-31,14.13
2021-08-01,13.049999
2021-08-02,11.139999
2021-08-03,12.88
2021-08-04,14.92
2021-08-05,15.099999
2021-08-06,15.23
2021-08-07,14.889999
2021-08-08,15.12
2021-08-09,14.509999
2021-08-10,15.12
2021-08-11,14.58
2021-08-12,13.03
2021-08-13,14.66
2021-08-14,14.42
2021-08-15,13.92
2021-08-16,14.16
2021-08-17,15.79
2021-08-18,15.559999
2021-08-19,13.88
2021-08-20,14.28
2021-08-21,15.7699995
2021-08-22,16.369999
2021-08-23,15.69
2021-08-24,15.83
2021-08-25,15.67
2021-08-26,14.5199995
2021-08-27,13.44
2021-08-28,12.82
2021-08-29,12.82
2021-08-30,13.299999
2021-08-31,13.19
2021-09-01,12.91
2021-09-02,13.03
2021-09-03,12.219999
2021-09-04,13.0
2021-09-05,13.82
2021-09-06,16.24
2021-09-07,18.1
2021-09-08,17.56
2021-09-09,15.219999
2021-09-10,15.98
2021-09-11,15.92
2021-09-12,11.46
2021-09-13,12.55
2021-09-14,13.799999
2021-09-15,13.96
2021-09-16,13.23
2021-09-17,14.83
2021-09-18,13.45
2021-09-19,13.88
2021-09-20,10.7699995
2021-09-21,13.29
2021-09-22,15.099999
2021-09-23,13.66
2021-09-24,15.29
2021-09-25,15.65
2021-09-26,16.17
2021-09-27,11.71
2021-09-28,9.55
2021-09-29,8.809999
2021-09-30,9.0
2021-10-01,10.79
2021-10-02,8.79
2021-10-03,8.599999
2021-10-04,10.53
2021-10-05,7.2799997
2021-10-06,9.29
2021-10-07,13.2
2021-10-08,15.21
2021-10-09,13.59
2021-10-10,9.4
2021-10-11,10.29
2021-10-12,10.389999
2021-10-13,11.65
2021-10-14,11.71
2021-10-15,7.47
2021-10-16,7.35
2021-10-17,11.139999
2021-10-18,12.889999
2021-10-19,12.94
2021-10-20,10.559999
2021-10-21,6.22
2021-10-22,8.45
2021-10-23,8.46
2021-10-24,12.23
2021-10-25,10.04
2021-10-26,8.94
2021-10-27,13.25
2021-10-28,11.469999
2021-10-29,9.2699995
2021-10-30,7.73
2021-10-31,5.79
2021-11-01,7.37
2021-11-02,6.45
2021-11-03,5.04
2021-11-04,4.67
2021-11-05,6.6299996
2021-11-06,10.54
2021-11-07,8.51
2021-11-08,7.48
2021-11-09,10.599999
2021-11-10,6.6099997
2021-11-11,7.27
2021-11-12,9.5199995
2021-11-13,8.929999
2021-11-14,7.24
2021-11-15,9.51
2021-11-16,7.47
2021-11-17,6.2799997
2021-11-18,10.53
2021-11-19,12.21
2021-11-20,10.03
2021-11-21,5.1099997
2021-11-22,3.29
2021-11-23,5.52
2021-11-24,5.8399997
2021-11-25,2.61
2021-11-26,4.0299997
2021-11-27,2.23
2021-11-28,0.94
2021-11-29,1.6899999
2021-11-30,6.81
2021-12-01,4.91
2021-12-02,1.8199999
2021-12-03,3.51
2021-12-04,3.61
2021-12-05,3.8799999
2021-12-06,1.77
2021-12-07,2.09
2021-12-08,4.31
2021-12-09,2.5
2021-12-10,2.3899999
2021-12-11,4.0
2021-12-12,6.85
2021-12-13,5.3599997
2021-12-14,5.35
2021-12-15,8.16
2021-12-16,7.5099998
2021-12-17,4.7799997
2021-12-18,2.6399999
2021-12-19,2.6
2021-12-20,3.8999999
2021-12-21,1.9599999
2021-12-22,1.8
2021-12-23,4.06
2021-12-24,4.5299997
2021-12-25,1.64
2021-12-26,3.01
2021-12-27,4.0899997
2021-12-28,4.56
2021-12-29,3.59
2021-12-30,8.79
2021-12-31,8.849999
