time,FRM02
2021-08-14,21.091108
2021-08-15,22.654442
2021-08-16,23.985556
2021-08-17,24.9
2021-08-18,20.082222
2021-08-19,17.70111
2021-08-20,18.495554
2021-08-21,20.451113
2021-08-22,20.972221
2021-08-23,21.16
2021-08-24,21.933332
2021-08-25,20.083332
2021-08-26,18.5
2021-08-27,18.81111
2021-08-28,18.26
2021-08-29,19.783333
2021-08-30,20.134443
2021-08-31,17.395555
2021-09-01,17.118889
2021-09-02,16.424444
2021-09-03,14.718889
2021-09-04,15.901112
2021-09-05,15.9755535
2021-09-06,13.988889
2021-09-07,13.787777
2021-09-08,15.018888
2021-09-09,15.094445
2021-09-10,16.16889
2021-09-11,18.03
2021-09-12,18.356667
2021-09-13,18.372223
2021-09-14,19.105555
2021-09-15,19.454443
2021-09-16,19.425554
2021-09-17,19.817776
2021-09-18,18.443333
2021-09-19,16.827778
2021-09-20,13.235556
2021-09-21,11.024444
2021-09-22,9.083333
2021-09-23,9.315556
2021-09-24,10.515555
2021-09-25,13.864445
2021-09-26,16.384443
2021-09-27,16.92111
2021-09-28,13.325556
2021-09-29,12.228887
2021-09-30,11.894444
2021-10-01,10.188889
2021-10-02,9.88111
2021-10-03,10.84
2021-10-04,11.37
2021-10-05,11.368889
2021-10-06,9.852222
2021-10-07,9.371111
2021-10-08,7.164444
2021-10-09,7.997778
2021-10-10,8.0199995
2021-10-11,8.908888
2021-10-12,9.996667
2021-10-13,8.731111
2021-10-14,7.115556
2021-10-15,7.9700003
2021-10-16,8.99
2021-10-17,8.821111
2021-10-18,8.238888
2021-10-19,9.172222
2021-10-20,9.565556
2021-10-21,12.215556
2021-10-22,13.485555
2021-10-23,12.707777
2021-10-24,7.0777774
2021-10-25,4.302222
2021-10-26,6.5944443
2021-10-27,7.1766663
2021-10-28,7.7911115
2021-10-29,9.075556
2021-10-30,9.2288885
2021-10-31,7.8044443
2021-11-01,7.6888885
2021-11-02,8.8955555
2021-11-03,10.1466675
2021-11-04,12.142222
2021-11-05,14.918889
2021-11-06,11.5633335
2021-11-07,10.668888
2021-11-08,9.563333
2021-11-09,6.5944443
2021-11-10,2.352222
2021-11-11,3.8777776
2021-11-12,5.7144446
2021-11-13,4.7544446
2021-11-14,7.9855556
2021-11-15,7.2822223
2021-11-16,5.3433332
2021-11-17,3.0933332
2021-11-18,3.1366665
2021-11-19,5.146666
2021-11-20,10.434444
2021-11-21,6.7133327
2021-11-22,4.948889
2021-11-23,3.1833332
2021-11-24,1.2622223
2021-11-25,2.0066667
2021-11-26,2.57
2021-11-27,7.9055557
2021-11-28,7.2455554
2021-11-29,6.8044443
2021-11-30,2.38
2021-12-01,1.7855555
2021-12-02,3.6977777
2021-12-03,4.178889
2021-12-04,0.88777775
2021-12-05,0.9433333
2021-12-06,1.8966666
2021-12-07,2.6155558
2021-12-08,0.88222224
2021-12-09,0.8533333
2021-12-10,4.1455555
2021-12-11,4.1566668
2021-12-12,6.4666667
2021-12-13,3.6488888
2021-12-14,1.4099998
2021-12-15,0.30555552
2021-12-16,0.39999998
2021-12-17,2.2166667
2021-12-18,0.5466666
2021-12-19,1.6822221
2021-12-20,1.2922221
2021-12-21,-3.0399997
2021-12-22,-6.198889
2021-12-23,-6.1599994
2021-12-24,-2.6688888
2021-12-25,3.8266666
2021-12-26,1.5466666
2021-12-27,-1.8588889
2021-12-28,-2.1255558
2021-12-29,-3.3244445
2021-12-30,-1.1144445
2021-12-31,0.83666676
