time,DEE01
2021-01-01,4.2783995
2021-01-02,2.2316
2021-01-03,2.074
2021-01-04,2.418
2021-01-05,0.7924
2021-01-06,-0.09159998
2021-01-07,0.38279998
2021-01-08,-0.3812
2021-01-09,-0.1016
2021-01-10,0.17759998
2021-01-11,-1.2635999
2021-01-12,-2.8403997
2021-01-13,-1.4887999
2021-01-14,-0.572
2021-01-15,0.5836
2021-01-16,0.85
2021-01-17,1.166
2021-01-18,2.4227998
2021-01-19,1.962
2021-01-20,5.1972
2021-01-21,9.3812
2021-01-22,8.5216
2021-01-23,8.1888
2021-01-24,9.8096
2021-01-25,11.1228
2021-01-26,12.0376005
2021-01-27,13.4788
2021-01-28,12.5388
2021-01-29,11.5932
2021-01-30,10.82
2021-01-31,10.166399
2021-02-01,11.1184
2021-02-02,11.036799
2021-02-03,11.188
2021-02-04,10.8312
2021-02-05,11.051999
2021-02-06,8.6224
2021-02-07,7.7699995
2021-02-08,9.237599
2021-02-09,8.7304
2021-02-10,10.6808
2021-02-11,11.1096
2021-02-12,11.2976
2021-02-13,10.034401
2021-02-14,9.4216
2021-02-15,10.5948
2021-02-16,10.389998
2021-02-17,11.0124
2021-02-18,10.8488
2021-02-19,11.2872
2021-02-20,12.0644
2021-02-21,9.0864
2021-02-22,8.366
2021-02-23,8.504
2021-02-24,10.7264
2021-02-25,10.2332
2021-02-26,11.276799
2021-02-27,10.907999
2021-02-28,9.967199
2021-03-01,9.788401
2021-03-02,11.203599
2021-03-03,11.821599
2021-03-04,10.902799
2021-03-05,10.9836
2021-03-06,11.1584
2021-03-07,10.9708
2021-03-08,9.196
2021-03-09,9.061999
2021-03-10,8.4012
2021-03-11,11.860399
2021-03-12,10.604
2021-03-13,9.1556
2021-03-14,10.3144
2021-03-15,10.5212
2021-03-16,11.425599
2021-03-17,12.2848
2021-03-18,8.822801
2021-03-19,7.0948
2021-03-20,6.7804
2021-03-21,6.9776
2021-03-22,9.192399
2021-03-23,10.95
2021-03-24,12.0928
2021-03-25,13.2208
2021-03-26,13.179199
2021-03-27,12.5988
2021-03-28,14.1656
2021-03-29,15.7984
2021-03-30,15.754399
2021-03-31,16.8332
2021-04-01,17.139198
2021-04-02,14.792
2021-04-03,14.37
2021-04-04,13.4
2021-04-05,14.546399
2021-04-06,15.3688
2021-04-07,13.7032
2021-04-08,14.0336
2021-04-09,12.654401
2021-04-10,13.986799
2021-04-11,13.4396
2021-04-12,11.852399
2021-04-13,13.886399
