time,DEF04
2021-01-01,2.3925
2021-01-02,3.3849998
2021-01-03,3.0125
2021-01-04,2.405
2021-01-05,2.52
2021-01-06,0.8125
2021-01-07,0.33499998
2021-01-08,0.4525
2021-01-09,0.022499999
2021-01-10,1.0925
2021-01-11,2.9325001
2021-01-12,3.8449998
2021-01-13,1.9725
2021-01-14,0.55749995
2021-01-15,-0.56999993
2021-01-16,-1.6175
2021-01-17,-0.58
2021-01-18,3.0700002
2021-01-19,5.575
2021-01-20,7.9849997
2021-01-21,7.7625
2021-01-22,4.5474997
2021-01-23,2.0325
2021-01-24,0.85749996
2021-01-25,-0.089999996
2021-01-26,0.94499993
2021-01-27,1.6599998
2021-01-28,1.1125
2021-01-29,-0.965
2021-01-30,-4.0274997
2021-01-31,-8.119999
2021-02-01,-4.18
2021-02-02,-0.695
2021-02-03,1.1875
2021-02-04,0.5175
2021-02-05,0.53
2021-02-06,-1.0049999
2021-02-07,-4.4575005
2021-02-08,-4.0775
2021-02-09,-5.3500004
2021-02-10,-3.85
2021-02-11,-5.9399996
2021-02-12,-7.1849995
2021-02-13,-8.445
2021-02-14,-5.81
2021-02-15,-0.40749997
2021-02-16,3.1174998
2021-02-17,6.4125
2021-02-18,7.6575
2021-02-19,6.4674997
2021-02-20,9.4775
2021-02-21,9.4925
2021-02-22,10.445
2021-02-23,11.8375
2021-02-24,12.934999
2021-02-25,11.3125
2021-02-26,6.575
2021-02-27,5.075
2021-02-28,4.185
2021-03-01,3.675
2021-03-02,3.9824996
2021-03-03,4.9775
2021-03-04,2.9575
2021-03-05,0.7425
2021-03-06,2.1
2021-03-07,2.8725
2021-03-08,1.7649999
2021-03-09,1.1899999
2021-03-10,4.1499996
2021-03-11,7.365
2021-03-12,5.9024997
2021-03-13,5.0424995
2021-03-14,5.4275
2021-03-15,4.7799997
2021-03-16,4.1875
2021-03-17,3.2974997
2021-03-18,1.9624999
2021-03-19,1.1875
2021-03-20,1.4649999
2021-03-21,5.5424995
2021-03-22,5.32
2021-03-23,5.7025
2021-03-24,8.2675
2021-03-25,7.8999996
2021-03-26,9.879999
2021-03-27,6.035
2021-03-28,7.4774995
2021-03-29,12.817499
2021-03-30,12.442499
2021-03-31,12.93
2021-04-01,8.867499
2021-04-02,4.6175
2021-04-03,5.7
2021-04-04,5.3724995
2021-04-05,2.48
2021-04-06,0.76
2021-04-07,1.8749999
2021-04-08,3.7774997
2021-04-09,6.0275
2021-04-10,5.7374997
2021-04-11,5.7025
2021-04-12,3.4699998
2021-04-13,3.8300002
2021-04-14,3.1174998
2021-04-15,4.3825
2021-04-16,6.4
2021-04-17,7.4224997
2021-04-18,10.1175
2021-04-19,9.96
2021-04-20,9.975
2021-04-21,7.0099998
2021-04-22,6.6675
2021-04-23,7.375
2021-04-24,6.4300003
2021-04-25,6.2374997
2021-04-26,5.5375
2021-04-27,7.43
2021-04-28,10.3425
2021-04-29,8.7675
2021-04-30,8.6
2021-05-01,8.502501
2021-05-02,5.9725
2021-05-03,5.7124996
2021-05-04,8.522499
2021-05-05,6.76
2021-05-06,6.1975
2021-05-07,6.5425005
2021-05-08,8.45
2021-05-09,19.364998
2021-05-10,19.2575
2021-05-11,13.0125
2021-05-12,12.315
2021-05-13,10.6175
2021-05-14,8.987499
2021-05-15,9.885
2021-05-16,10.862499
2021-05-17,11.1825
2021-05-18,10.7225
2021-05-19,9.715
2021-05-20,11.127501
2021-05-21,11.355
2021-05-22,10.41
2021-05-23,10.2075
2021-05-24,13.59
2021-05-25,10.032499
2021-05-26,10.464999
2021-05-27,10.8925
2021-05-28,10.827499
2021-05-29,10.295
2021-05-30,12.174999
2021-05-31,15.724999
2021-06-01,17.0375
2021-06-02,18.067501
2021-06-03,18.51
2021-06-04,20.7125
2021-06-05,18.9925
2021-06-06,16.327501
2021-06-07,15.304999
2021-06-08,18.287498
2021-06-09,19.13
2021-06-10,19.73
2021-06-11,19.3625
2021-06-12,16.484999
2021-06-13,14.992499
2021-06-14,18.785
2021-06-15,16.442501
2021-06-16,20.3575
2021-06-17,26.695
2021-06-18,25.22
2021-06-19,23.707499
2021-06-20,20.725
2021-06-21,14.315
2021-06-22,14.3775
2021-06-23,15.0125
2021-06-24,15.78
2021-06-25,16.715
2021-06-26,18.59
2021-06-27,19.922499
2021-06-28,22.517502
2021-06-29,19.7175
2021-06-30,16.855
2021-07-01,16.2975
2021-07-02,17.1175
2021-07-03,17.307499
2021-07-04,18.57
2021-07-05,17.7125
2021-07-06,20.072498
2021-07-07,18.97
2021-07-08,19.4425
2021-07-09,17.655
2021-07-10,17.51
2021-07-11,19.807499
2021-07-12,21.5075
2021-07-13,22.6225
2021-07-14,21.057499
2021-07-15,20.9925
2021-07-16,20.0
2021-07-17,19.7575
2021-07-18,19.105
2021-07-19,16.154999
2021-07-20,16.58
2021-07-21,17.365
2021-07-22,16.369999
2021-07-23,15.162499
2021-07-24,19.9525
2021-07-25,21.627499
2021-07-26,20.73
2021-07-27,19.7375
2021-07-28,18.914999
2021-07-29,17.292501
2021-07-30,18.0575
2021-07-31,16.5375
2021-08-01,15.98
2021-08-02,14.809999
2021-08-03,15.7425
2021-08-04,16.2975
2021-08-05,17.2775
2021-08-06,16.939999
2021-08-07,17.342499
2021-08-08,16.315
2021-08-09,15.9925
2021-08-10,15.219999
2021-08-11,16.5825
2021-08-12,19.287498
2021-08-13,19.744999
2021-08-14,17.8925
2021-08-15,19.252499
2021-08-16,15.125
2021-08-17,14.8575
2021-08-18,15.824999
2021-08-19,16.01
2021-08-20,15.8975
2021-08-21,16.8375
2021-08-22,16.0975
2021-08-23,17.0825
2021-08-24,15.154999
2021-08-25,14.3925
2021-08-26,14.6425
2021-08-27,14.262499
2021-08-28,14.94
2021-08-29,15.4825
2021-08-30,16.41
2021-08-31,15.71
2021-09-01,15.2225
2021-09-02,13.9275
2021-09-03,14.2225
2021-09-04,15.08
2021-09-05,14.304999
2021-09-06,14.072499
2021-09-07,16.2375
2021-09-08,17.595001
2021-09-09,18.7025
2021-09-10,18.842499
2021-09-11,18.2425
2021-09-12,17.095
2021-09-13,14.6025
2021-09-14,16.005
2021-09-15,17.05
2021-09-16,15.689999
2021-09-17,13.91
2021-09-18,14.07
2021-09-19,12.320001
2021-09-20,11.605
2021-09-21,12.095
2021-09-22,13.98
2021-09-23,13.567499
2021-09-24,14.969999
2021-09-25,17.089998
2021-09-26,17.79
2021-09-27,17.804998
2021-09-28,13.1175
2021-09-29,11.5375
2021-09-30,11.82
2021-10-01,13.3425
2021-10-02,14.195
2021-10-03,17.6075
2021-10-04,12.295
2021-10-05,11.169999
2021-10-06,11.8949995
2021-10-07,10.1675
2021-10-08,10.275
2021-10-09,9.309999
2021-10-10,6.915
2021-10-11,10.3775
2021-10-12,8.4775
2021-10-13,7.3174996
2021-10-14,12.3275
2021-10-15,10.942499
2021-10-16,8.559999
2021-10-17,9.862499
2021-10-18,11.0925
2021-10-19,13.5
2021-10-20,15.445
2021-10-21,9.62
2021-10-22,6.9900002
2021-10-23,6.85
2021-10-24,6.46
2021-10-25,8.0075
2021-10-26,11.619999
2021-10-27,13.2475
2021-10-28,11.0275
2021-10-29,10.775
2021-10-30,11.13
2021-10-31,13.085
2021-11-01,10.464999
2021-11-02,6.49
2021-11-03,6.5375
2021-11-04,7.3975
2021-11-05,8.25
2021-11-06,8.5375
2021-11-07,9.027499
2021-11-08,7.9025
2021-11-09,7.9449997
2021-11-10,6.5575
2021-11-11,8.5225
2021-11-12,7.38
2021-11-13,6.6275
2021-11-14,7.3050003
2021-11-15,5.7349997
2021-11-16,4.4725
2021-11-17,5.5275
2021-11-18,8.5025
2021-11-19,11.852499
2021-11-20,10.1325
2021-11-21,7.22
2021-11-22,3.1675
2021-11-23,6.865
2021-11-24,6.27
2021-11-25,4.385
2021-11-26,3.405
2021-11-27,2.4475
2021-11-28,2.4624999
2021-11-29,2.1374998
2021-11-30,5.0975
2021-12-01,6.8275003
2021-12-02,0.6425
2021-12-03,1.4300001
2021-12-04,3.2525
2021-12-05,0.97249997
2021-12-06,0.4525
2021-12-07,1.585
2021-12-08,1.9925001
2021-12-09,1.8225
2021-12-10,2.6374998
2021-12-11,1.6575
2021-12-12,5.335
2021-12-13,9.165
2021-12-14,7.98
2021-12-15,8.992499
2021-12-16,8.34
2021-12-17,6.9275
2021-12-18,7.33
2021-12-19,6.1899996
2021-12-20,-0.255
2021-12-21,-3.4125
2021-12-22,-4.185
2021-12-23,-0.78749996
2021-12-24,1.8274999
2021-12-25,-5.7174997
2021-12-26,-6.4275
2021-12-27,-1.6325
2021-12-28,3.5524998
2021-12-29,5.0475
2021-12-30,10.2125
2021-12-31,12.4275
