time,CH032
2021-01-01,2.5819998
2021-01-02,3.196
2021-01-03,4.408
2021-01-04,3.0039997
2021-01-05,2.1799998
2021-01-06,2.9999998
2021-01-07,2.5700002
2021-01-08,0.71400005
2021-01-09,-1.526
2021-01-10,-1.71
2021-01-11,-1.26
2021-01-12,-0.56
2021-01-13,-1.7520001
2021-01-14,-5.3739996
2021-01-15,-5.6499996
2021-01-16,-7.7339997
2021-01-17,-8.216
2021-01-18,-6.9740005
2021-01-19,-3.264
2021-01-20,-0.574
2021-01-21,3.912
2021-01-22,4.7419996
2021-01-23,3.83
2021-01-24,4.352
2021-01-25,1.9839998
2021-01-26,-3.1360002
2021-01-27,-3.9579997
2021-01-28,-1.232
2021-01-29,2.826
2021-01-30,5.1839995
2021-01-31,3.2599998
2021-02-01,5.49
2021-02-02,6.646
2021-02-03,8.214
2021-02-04,7.1119995
2021-02-05,7.3619995
2021-02-06,8.212
2021-02-07,8.251999
2021-02-08,6.546
2021-02-09,4.43
2021-02-10,4.706
2021-02-11,5.73
2021-02-12,-7.9979997
2021-02-13,-11.021999
2021-02-14,-12.749999
2021-02-15,-7.136
2021-02-16,-5.38
2021-02-17,-1.4399999
2021-02-18,1.856
2021-02-19,1.5719999
2021-02-20,1.956
2021-02-21,3.4759998
2021-02-22,4.7079997
2021-02-23,8.12
2021-02-24,6.6080003
2021-02-25,7.432
2021-02-26,9.476
2021-02-27,4.862
2021-02-28,2.616
2021-03-01,2.804
2021-03-02,4.7539997
2021-03-03,6.4779997
2021-03-04,5.8620005
2021-03-05,3.2719998
2021-03-06,0.018000007
2021-03-07,0.58199996
2021-03-08,1.6939999
2021-03-09,0.256
2021-03-10,-1.3019999
2021-03-11,0.04399997
2021-03-12,0.904
2021-03-13,4.0
2021-03-14,3.712
2021-03-15,0.99799997
2021-03-16,-1.6119999
2021-03-17,-1.1779999
2021-03-18,-2.24
2021-03-19,-1.662
2021-03-20,-2.3019998
2021-03-21,-0.556
2021-03-22,-3.0619998
2021-03-23,-3.962
2021-03-24,-0.706
2021-03-25,-0.342
2021-03-26,0.80200005
2021-03-27,2.698
2021-03-28,4.606
2021-03-29,5.818
2021-03-30,5.2699995
2021-03-31,6.724
2021-04-01,8.553999
2021-04-02,7.6699996
2021-04-03,7.4199996
2021-04-04,1.0359999
2021-04-05,3.3240001
2021-04-06,4.2440004
2021-04-07,-0.78599995
2021-04-08,-1.088
2021-04-09,0.772
2021-04-10,2.6219997
2021-04-11,5.4560003
2021-04-12,10.134
2021-04-13,8.075999
2021-04-14,1.3399999
2021-04-15,2.066
2021-04-16,2.1699998
2021-04-17,1.65
2021-04-18,2.234
2021-04-19,2.4459999
2021-04-20,3.5059998
2021-04-21,6.0899997
2021-04-22,5.2999997
2021-04-23,7.782
2021-04-24,6.568
2021-04-25,8.17
2021-04-26,9.236
2021-04-27,11.282
2021-04-28,10.766
2021-04-29,11.862
2021-04-30,13.9
2021-05-01,15.737999
