time,FRB03
2021-09-03,18.34
2021-09-04,19.109999
2021-09-05,18.859999
2021-09-06,19.81
2021-09-07,19.279999
2021-09-08,19.439999
2021-09-09,18.949999
2021-09-10,18.96
2021-09-11,19.89
2021-09-12,20.869999
2021-09-13,21.22
2021-09-14,21.949999
2021-09-15,22.83
2021-09-16,23.019999
2021-09-17,21.22
2021-09-18,16.96
2021-09-19,16.83
2021-09-20,15.04
2021-09-21,13.429999
2021-09-22,13.62
2021-09-23,13.48
2021-09-24,15.92
2021-09-25,18.68
2021-09-26,19.699999
2021-09-27,20.67
2021-09-28,19.34
2021-09-29,18.81
2021-09-30,17.82
2021-10-01,13.08
2021-10-02,14.21
2021-10-03,15.7699995
2021-10-04,19.05
2021-10-05,19.18
2021-10-06,18.08
2021-10-07,13.69
2021-10-08,11.29
2021-10-09,10.429999
2021-10-10,8.51
2021-10-11,9.309999
2021-10-12,8.37
2021-10-13,8.99
2021-10-14,7.7799997
2021-10-15,8.45
2021-10-16,8.8
2021-10-17,9.559999
2021-10-18,9.62
2021-10-19,10.3
2021-10-20,11.99
2021-10-21,16.89
2021-10-22,12.82
2021-10-23,10.29
2021-10-24,8.09
2021-10-25,6.98
2021-10-26,7.08
2021-10-27,8.84
2021-10-28,6.91
2021-10-29,6.77
2021-10-30,5.39
2021-10-31,7.23
2021-11-01,9.83
2021-11-02,10.4
2021-11-03,9.889999
2021-11-04,13.91
2021-11-05,8.58
2021-11-06,9.26
2021-11-07,9.74
2021-11-08,8.62
2021-11-09,7.4199996
2021-11-10,5.85
2021-11-11,5.3199997
2021-11-12,5.27
2021-11-13,7.1299996
2021-11-14,7.48
2021-11-15,7.19
2021-11-16,6.7999997
2021-11-17,7.35
2021-11-18,8.51
2021-11-19,6.42
2021-11-20,7.25
2021-11-21,4.0099998
2021-11-22,4.5299997
2021-11-23,7.0699997
2021-11-24,2.36
2021-11-25,4.92
2021-11-26,4.5499997
2021-11-27,4.44
2021-11-28,5.68
2021-11-29,3.3899999
2021-11-30,1.54
2021-12-01,8.01
2021-12-02,8.09
2021-12-03,4.92
2021-12-04,1.15
2021-12-05,3.9399998
2021-12-06,4.5499997
2021-12-07,0.9
2021-12-08,0.5
2021-12-09,1.4599999
2021-12-10,1.2099999
2021-12-11,2.95
2021-12-12,2.52
2021-12-13,2.29
2021-12-14,5.5499997
2021-12-15,5.97
2021-12-16,6.2999997
2021-12-17,4.95
2021-12-18,4.02
2021-12-19,4.38
2021-12-20,3.22
2021-12-21,1.05
2021-12-22,1.65
2021-12-23,0.29
2021-12-24,6.79
2021-12-25,9.03
2021-12-26,2.24
2021-12-27,0.63
2021-12-28,1.92
2021-12-29,5.5
2021-12-30,6.46
2021-12-31,6.6499996
