time,NO020
2021-01-01,-1.2799999
2021-01-02,-0.45999998
2021-01-03,1.148
2021-01-04,1.047
2021-01-05,1.3960001
2021-01-06,1.139
2021-01-07,0.45499998
2021-01-08,0.233
2021-01-09,-0.587
2021-01-10,-0.124
2021-01-11,-0.6869999
2021-01-12,-0.61999995
2021-01-13,-0.37399998
2021-01-14,-1.0339999
2021-01-15,-3.5049999
2021-01-16,-4.448
2021-01-17,-11.056999
2021-01-18,-14.573
2021-01-19,-6.7259994
2021-01-20,0.92399997
2021-01-21,3.638
2021-01-22,5.842
2021-01-23,3.9159997
2021-01-24,3.1330001
2021-01-25,0.44099998
2021-01-26,0.38300002
2021-01-27,0.16700001
2021-01-28,-0.23900001
2021-01-29,-1.001
2021-01-30,-1.622
2021-01-31,-4.1629996
2021-02-01,-6.255
2021-02-02,-1.775
2021-02-03,1.642
2021-02-04,-0.151
2021-02-05,-4.12
2021-02-06,-5.482
2021-02-07,-9.154001
2021-02-08,-10.716
2021-02-09,-7.511
2021-02-10,-8.900999
2021-02-11,-10.459
2021-02-12,-9.932
2021-02-13,-5.323
2021-02-14,-2.899
2021-02-15,-3.4259999
2021-02-16,-4.9969997
2021-02-17,-0.90599996
2021-02-18,-2.283
2021-02-19,-1.069
2021-02-20,2.703
2021-02-21,3.9220002
2021-02-22,4.0200005
2021-02-23,3.1930003
2021-02-24,8.342999
2021-02-25,8.985999
2021-02-26,7.1470003
2021-02-27,5.1799994
2021-02-28,2.994
2021-03-01,3.4249997
2021-03-02,4.453
2021-03-03,3.6719997
2021-03-04,4.07
2021-03-05,0.825
2021-03-06,-0.14199999
2021-03-07,2.5069997
2021-03-08,0.073
2021-03-09,-1.4690001
2021-03-10,-0.077
2021-03-11,0.074999996
2021-03-12,5.7200003
2021-03-13,5.8310003
2021-03-14,5.827
2021-03-15,3.8109996
2021-03-16,3.7859998
2021-03-17,3.2719998
2021-03-18,1.482
2021-03-19,-0.21900001
2021-03-20,-1.9690002
2021-03-21,1.1889999
2021-03-22,2.6629999
2021-03-23,5.3199997
2021-03-24,5.1549997
2021-03-25,6.9110003
2021-03-26,8.746
2021-03-27,11.4279995
2021-03-28,7.4939995
2021-03-29,7.906999
2021-03-30,13.218
2021-03-31,13.280001
2021-04-01,12.288
2021-04-02,7.262
2021-04-03,5.1549997
2021-04-04,3.7169998
2021-04-05,5.6069994
2021-04-06,3.771
2021-04-07,2.599
2021-04-08,4.137
2021-04-09,6.1770005
2021-04-10,7.0909996
2021-04-11,12.437999
2021-04-12,11.495
2021-04-13,6.4659996
2021-04-14,5.046
2021-04-15,3.866
2021-04-16,5.6920004
2021-04-17,8.122001
2021-04-18,9.844
2021-04-19,11.558001
2021-04-20,11.025
2021-04-21,10.947999
2021-04-22,8.855999
2021-04-23,6.013999
2021-04-24,5.9690003
2021-04-25,4.246
2021-04-26,3.074
2021-04-27,3.925
2021-04-28,7.7670007
2021-04-29,12.127
2021-04-30,11.114
2021-05-01,7.8129997
2021-05-02,7.168
2021-05-03,6.3719993
2021-05-04,8.42
2021-05-05,12.055999
2021-05-06,9.457001
2021-05-07,7.732
2021-05-08,7.8719993
2021-05-09,12.129999
2021-05-10,18.383
2021-05-11,20.439
2021-05-12,21.086
2021-05-13,18.523
2021-05-14,14.976
2021-05-15,14.659999
2021-05-16,14.870999
2021-05-17,13.271001
2021-05-18,13.628
2021-05-19,13.254
2021-05-20,11.393
2021-05-21,13.08
2021-05-22,13.872999
2021-05-23,12.858999
2021-05-24,12.48
2021-05-25,14.797
2021-05-26,12.808001
2021-05-27,13.506999
2021-05-28,12.295
2021-05-29,10.895
2021-05-30,13.161
2021-05-31,12.466999
2021-06-01,13.2369995
2021-06-02,16.392
2021-06-03,15.5529995
2021-06-04,16.927
2021-06-05,19.184
2021-06-06,18.018
2021-06-07,18.624998
2021-06-08,18.774
2021-06-09,19.006998
2021-06-10,17.959
2021-06-11,18.974998
2021-06-12,18.887
2021-06-13,16.076
2021-06-14,16.092
2021-06-15,19.146
2021-06-16,18.562
2021-06-17,20.965
2021-06-18,23.357
2021-06-19,25.633999
2021-06-20,26.363
2021-06-21,26.825998
2021-06-22,25.510998
2021-06-23,22.058
2021-06-24,22.106
2021-06-25,20.576
2021-06-26,19.814999
2021-06-27,19.268
2021-06-28,20.483
2021-06-29,21.941
2021-06-30,23.258
2021-07-01,20.390997
2021-07-02,19.386
2021-07-03,19.331
2021-07-04,20.775997
2021-07-05,21.786
2021-07-06,22.130001
2021-07-07,25.083
