time,SE322
2021-01-01,0.9
2021-01-02,3.1699998
2021-01-03,2.8999999
2021-01-04,3.75
2021-01-05,2.72
2021-01-06,3.84
2021-01-07,0.83
2021-01-08,0.7
2021-01-09,0.51
2021-01-10,0.07
2021-01-11,4.8399997
2021-01-12,8.16
2021-01-13,5.33
2021-01-14,8.33
2021-01-15,2.54
2021-01-16,3.49
2021-01-17,5.9
2021-01-18,4.68
2021-01-19,8.47
2021-01-20,8.92
2021-01-21,6.0499997
2021-01-22,3.8899999
2021-01-23,1.93
2021-01-24,-0.42999998
2021-01-25,2.47
2021-01-26,2.31
2021-01-27,6.5499997
2021-01-28,10.01
2021-01-29,9.55
2021-01-30,6.46
2021-01-31,2.3999999
2021-02-01,3.9099998
2021-02-02,7.83
2021-02-03,9.07
2021-02-04,6.35
2021-02-05,8.36
2021-02-06,5.66
2021-02-07,2.5
2021-02-08,-1.54
2021-02-09,-0.97999996
2021-02-10,0.06
2021-02-11,-2.0
2021-02-12,-0.51
2021-02-13,-1.9399999
2021-02-14,1.56
2021-02-15,7.27
2021-02-16,8.73
2021-02-17,8.88
2021-02-18,8.929999
2021-02-19,6.97
2021-02-20,11.59
2021-02-21,11.5199995
2021-02-22,9.2
2021-02-23,9.66
2021-02-24,13.46
2021-02-25,10.15
2021-02-26,6.5899997
2021-02-27,5.83
2021-02-28,5.91
2021-03-01,6.44
2021-03-02,6.1
2021-03-03,6.22
2021-03-04,5.94
2021-03-05,4.29
2021-03-06,2.9199998
2021-03-07,3.1499999
2021-03-08,3.6899998
2021-03-09,6.58
2021-03-10,6.25
2021-03-11,9.37
2021-03-12,7.2799997
2021-03-13,7.5499997
2021-03-14,6.69
2021-03-15,9.389999
2021-03-16,9.21
2021-03-17,7.64
2021-03-18,6.5099998
2021-03-19,8.01
2021-03-20,6.1299996
2021-03-21,8.45
2021-03-22,6.96
2021-03-23,6.77
2021-03-24,8.15
2021-03-25,7.79
2021-03-26,9.79
2021-03-27,7.1
2021-03-28,9.63
2021-03-29,12.44
2021-03-30,12.83
2021-03-31,14.07
2021-04-01,11.38
2021-04-02,7.75
2021-04-03,7.08
2021-04-04,7.54
2021-04-05,6.6099997
2021-04-06,3.46
2021-04-07,2.62
2021-04-08,6.58
2021-04-09,7.96
2021-04-10,6.66
2021-04-11,5.3399997
2021-04-12,4.14
2021-04-13,5.2599998
2021-04-14,6.31
2021-04-15,5.24
2021-04-16,5.27
2021-04-17,6.5499997
2021-04-18,6.66
2021-04-19,8.309999
2021-04-20,9.65
2021-04-21,9.37
2021-04-22,7.73
2021-04-23,9.29
2021-04-24,9.87
2021-04-25,8.429999
2021-04-26,7.87
2021-04-27,7.72
2021-04-28,8.8
2021-04-29,7.47
2021-04-30,7.52
2021-05-01,7.0899997
2021-05-02,7.5699997
2021-05-03,8.76
2021-05-04,10.849999
2021-05-05,8.07
2021-05-06,6.5699997
2021-05-07,8.33
2021-05-08,11.82
2021-05-09,15.339999
2021-05-10,13.28
2021-05-11,11.33
2021-05-12,12.38
2021-05-13,11.79
2021-05-14,10.38
2021-05-15,11.12
2021-05-16,11.04
2021-05-17,12.74
2021-05-18,11.28
2021-05-19,12.3
2021-05-20,10.07
2021-05-21,11.4
2021-05-22,11.5199995
2021-05-23,9.01
2021-05-24,10.57
2021-05-25,10.88
