time,DEG0B
2021-08-07,14.135363
2021-08-08,12.994804
2021-08-09,13.949665
2021-08-10,14.2332945
2021-08-11,14.018324
2021-08-12,13.645308
2021-08-13,14.134972
2021-08-14,13.117207
2021-08-15,12.994749
2021-08-16,11.636256
2021-08-17,11.893295
2021-08-18,11.205028
2021-08-19,11.496705
2021-08-20,11.515475
2021-08-21,9.561396
2021-08-22,9.032067
2021-08-23,7.432961
2021-08-24,6.470838
2021-08-25,7.5441895
2021-08-26,7.9135756
2021-08-27,9.009329
2021-08-28,9.465643
2021-08-29,10.310725
2021-08-30,9.781062
2021-08-31,9.943407
2021-09-01,7.5471506
2021-09-02,6.350223
2021-09-03,6.214804
2021-09-04,5.308491
2021-09-05,6.83257
2021-09-06,8.395699
2021-09-07,10.927486
2021-09-08,11.724469
2021-09-09,7.3944693
2021-09-10,5.9644685
2021-09-11,8.072626
2021-09-12,8.469498
2021-09-13,5.1997766
2021-09-14,4.684581
2021-09-15,3.3807824
2021-09-16,3.9083798
2021-09-17,4.672793
2021-09-18,4.3584914
2021-09-19,5.423743
2021-09-20,4.0455866
2021-09-21,3.8370392
2021-09-22,6.851341
2021-09-23,6.2909493
2021-09-24,4.5343018
2021-09-25,5.0801115
2021-09-26,6.5965924
2021-09-27,8.9060335
2021-09-28,7.11162
2021-09-29,7.109944
2021-09-30,6.192346
2021-10-01,6.747039
2021-10-02,8.766424
2021-10-03,7.884022
2021-10-04,9.653463
2021-10-05,8.499888
2021-10-06,6.923799
2021-10-07,6.879888
2021-10-08,5.404692
2021-10-09,8.023687
2021-10-10,9.365643
2021-10-11,4.4469275
2021-10-12,2.4672067
2021-10-13,-0.6396648
2021-10-14,1.7539105
2021-10-15,0.9928492
2021-10-16,-0.080558695
2021-10-17,0.36608937
2021-10-18,-0.6670949
2021-10-19,-4.178436
2021-10-20,0.28106147
2021-10-21,-2.1882124
2021-10-22,-2.7454748
2021-10-23,-6.440726
2021-10-24,-3.1972067
2021-10-25,0.5041899
2021-10-26,0.29167598
2021-10-27,-0.95826817
2021-10-28,1.3365363
2021-10-29,2.028771
2021-10-30,3.13838
2021-10-31,1.124581
2021-11-01,2.7739105
2021-11-02,5.1881566
2021-11-03,3.898715
2021-11-04,2.0714524
2021-11-05,-0.14424583
2021-11-06,-0.9107821
2021-11-07,-4.6594415
2021-11-08,-9.996927
2021-11-09,-4.3151956
2021-11-10,-0.40513965
2021-11-11,-0.332905
2021-11-12,-1.3413966
2021-11-13,-7.6419554
2021-11-14,-9.539497
2021-11-15,-2.3074858
2021-11-16,0.23776536
2021-11-17,1.1098883
2021-11-18,-2.2310615
2021-11-19,-2.3498323
2021-11-20,-1.0344133
2021-11-21,-6.7648597
2021-11-22,-8.484525
2021-11-23,-4.779106
2021-11-24,-5.128771
2021-11-25,-8.66972
2021-11-26,-20.872402
2021-11-27,-18.763462
2021-11-28,-18.650839
2021-11-29,-15.357708
2021-11-30,-15.867708
2021-12-01,-21.290781
2021-12-02,-16.761286
2021-12-03,-9.579945
2021-12-04,-14.126925
2021-12-05,-19.222458
2021-12-06,-22.621395
2021-12-07,-15.477037
2021-12-08,-14.448771
2021-12-09,-6.9346366
2021-12-10,-5.251564
2021-12-11,-5.0401673
2021-12-12,-3.1088266
2021-12-13,-6.2883797
