time,CZ020
2021-01-01,0.43999997
2021-01-02,-0.69666666
2021-01-03,-1.13
2021-01-04,-1.2233332
2021-01-05,-1.4566666
2021-01-06,-1.0733334
2021-01-07,-1.8566666
2021-01-08,-1.5166668
2021-01-09,-2.4199998
2021-01-10,-3.8933334
2021-01-11,-6.453333
2021-01-12,-1.3766665
2021-01-13,-1.3666667
2021-01-14,-1.9833332
2021-01-15,-3.2466667
2021-01-16,-6.1733336
2021-01-17,-5.433333
2021-01-18,-1.05
2021-01-19,0.31333333
2021-01-20,2.823333
2021-01-21,5.3366666
2021-01-22,4.59
2021-01-23,-0.5
2021-01-24,-1.2266666
2021-01-25,-3.6266668
2021-01-26,-2.3166666
2021-01-27,-1.6599998
2021-01-28,0.17666666
2021-01-29,1.9666666
2021-01-30,-1.5766667
2021-01-31,-4.726667
2021-02-01,-2.5900002
2021-02-02,2.8500001
2021-02-03,6.723333
2021-02-04,4.0733333
2021-02-05,1.7266666
2021-02-06,0.48333332
2021-02-07,-4.5533333
2021-02-08,-10.149999
2021-02-09,-12.553333
2021-02-10,-13.73
2021-02-11,-8.396667
2021-02-12,-10.676666
2021-02-13,-10.276666
2021-02-14,-9.696667
2021-02-15,-5.9600005
2021-02-16,1.2533332
2021-02-17,3.6733334
2021-02-18,4.43
2021-02-19,4.653333
2021-02-20,6.7899995
2021-02-21,4.7999997
2021-02-22,2.5599997
2021-02-23,8.026667
2021-02-24,9.503333
2021-02-25,9.773334
2021-02-26,3.3633335
2021-02-27,0.8433333
2021-02-28,2.3666666
2021-03-01,2.2733333
2021-03-02,4.9366665
2021-03-03,4.8333335
2021-03-04,5.5266666
2021-03-05,-0.92
2021-03-06,-1.98
2021-03-07,-0.93333334
2021-03-08,-1.4466667
2021-03-09,-0.69
2021-03-10,1.4033333
2021-03-11,4.726666
2021-03-12,4.063333
2021-03-13,3.6333332
2021-03-14,2.47
2021-03-15,1.8766667
2021-03-16,1.2199999
2021-03-17,-0.14666666
2021-03-18,0.32
2021-03-19,-1.6033334
2021-03-20,-4.223333
2021-03-21,0.5733333
2021-03-22,1.39
2021-03-23,2.3833332
2021-03-24,5.5099998
2021-03-25,7.223333
2021-03-26,8.11
2021-03-27,4.6499996
2021-03-28,4.9
2021-03-29,10.73
2021-03-30,11.363334
2021-03-31,12.426666
2021-04-01,11.6466675
2021-04-02,3.9399998
2021-04-03,2.9733334
2021-04-04,3.1566668
2021-04-05,0.8333333
2021-04-06,-2.0733333
2021-04-07,-0.7633333
2021-04-08,0.27
2021-04-09,4.4066663
2021-04-10,6.8466663
2021-04-11,11.27
2021-04-12,0.8066666
2021-04-13,1.1766666
2021-04-14,0.41
2021-04-15,0.75333333
2021-04-16,0.53999996
2021-04-17,1.7166666
2021-04-18,4.7633333
2021-04-19,6.726667
2021-04-20,7.56
2021-04-21,8.72
2021-04-22,4.763333
2021-04-23,4.41
2021-04-24,4.693333
2021-04-25,3.6266663
2021-04-26,3.2300003
2021-04-27,5.72
2021-04-28,9.98
2021-04-29,10.163333
2021-04-30,6.226667
2021-05-01,7.8466663
2021-05-02,4.636667
2021-05-03,5.4799995
2021-05-04,8.099999
2021-05-05,5.4366665
2021-05-06,4.19
2021-05-07,3.7633333
2021-05-08,7.7299995
2021-05-09,17.06
2021-05-10,19.253332
2021-05-11,16.409998
2021-05-12,10.123333
2021-05-13,8.056666
2021-05-14,9.796666
2021-05-15,9.0633335
2021-05-16,9.306666
2021-05-17,9.386666
2021-05-18,9.236667
2021-05-19,8.766666
2021-05-20,8.33
2021-05-21,11.323334
2021-05-22,10.026667
2021-05-23,9.78
2021-05-24,12.183333
2021-05-25,8.55
2021-05-26,8.419999
2021-05-27,8.400001
2021-05-28,9.73
2021-05-29,9.446667
2021-05-30,10.293333
2021-05-31,11.31
2021-06-01,14.06
2021-06-02,17.039999
2021-06-03,19.626665
2021-06-04,19.186666
2021-06-05,17.153334
2021-06-06,16.539999
2021-06-07,17.186666
2021-06-08,17.609999
2021-06-09,17.119999
2021-06-10,16.596666
2021-06-11,18.066666
2021-06-12,17.536665
2021-06-13,12.490001
2021-06-14,15.946666
2021-06-15,19.236666
2021-06-16,21.39
2021-06-17,23.976667
2021-06-18,24.446665
2021-06-19,23.566666
2021-06-20,22.756666
2021-06-21,20.636667
2021-06-22,14.719998
2021-06-23,15.44
2021-06-24,14.296666
2021-06-25,14.876666
2021-06-26,16.806665
2021-06-27,18.363333
2021-06-28,21.956665
2021-06-29,18.64
2021-06-30,15.75
2021-07-01,13.473332
2021-07-02,12.88
2021-07-03,15.909999
2021-07-04,17.663332
2021-07-05,17.123331
2021-07-06,19.43
2021-07-07,16.323332
2021-07-08,15.68
2021-07-09,13.969998
2021-07-10,16.486666
2021-07-11,15.469998
2021-07-12,17.513334
2021-07-13,18.816666
2021-07-14,16.023333
2021-07-15,15.803332
2021-07-16,18.546665
2021-07-17,17.593332
2021-07-18,17.756666
2021-07-19,14.886665
2021-07-20,14.283333
2021-07-21,14.98
2021-07-22,16.633333
2021-07-23,18.463333
2021-07-24,20.269999
2021-07-25,19.933332
2021-07-26,19.106667
2021-07-27,19.096666
2021-07-28,17.383333
2021-07-29,17.253332
2021-07-30,18.383333
2021-07-31,17.896666
2021-08-01,13.833333
2021-08-02,13.32
2021-08-03,13.37
2021-08-04,15.126667
2021-08-05,14.43
2021-08-06,15.206666
2021-08-07,15.653333
2021-08-08,15.363334
2021-08-09,15.393333
2021-08-10,16.753332
2021-08-11,16.42
2021-08-12,18.216667
2021-08-13,21.086666
2021-08-14,20.833334
2021-08-15,19.836668
2021-08-16,16.539999
2021-08-17,11.623333
2021-08-18,13.62
2021-08-19,15.913333
2021-08-20,16.35
2021-08-21,16.673332
2021-08-22,16.226667
2021-08-23,12.599999
2021-08-24,11.756667
2021-08-25,13.07
2021-08-26,11.736667
2021-08-27,10.746666
2021-08-28,10.990001
2021-08-29,11.893333
2021-08-30,13.113334
2021-08-31,12.47
2021-09-01,12.576667
2021-09-02,14.38
2021-09-03,15.173332
2021-09-04,14.356667
