time,DEA1E
2021-08-15,26.2475
2021-08-16,25.3575
2021-08-17,18.574167
2021-08-18,16.960833
2021-08-19,18.544165
2021-08-20,20.129166
2021-08-21,20.1875
2021-08-22,21.847498
2021-08-23,19.656664
2021-08-24,18.538332
2021-08-25,15.564999
2021-08-26,13.115833
2021-08-27,14.851666
2021-08-28,14.095
2021-08-29,15.275833
2021-08-30,15.686666
2021-08-31,15.1025
2021-09-01,16.975832
2021-09-02,15.993333
2021-09-03,16.483332
2021-09-04,17.154165
2021-09-05,17.0725
2021-09-06,15.653333
2021-09-07,15.799167
2021-09-08,17.5525
2021-09-09,17.969168
2021-09-10,17.599998
2021-09-11,18.215834
2021-09-12,18.802498
2021-09-13,19.644167
2021-09-14,19.522497
2021-09-15,21.8025
2021-09-16,22.412498
2021-09-17,18.488333
2021-09-18,14.839168
2021-09-19,13.551666
2021-09-20,11.220833
2021-09-21,11.723334
2021-09-22,12.023334
2021-09-23,12.52
2021-09-24,15.503331
2021-09-25,17.285833
2021-09-26,17.999166
2021-09-27,16.6775
2021-09-28,18.710833
2021-09-29,14.670833
2021-09-30,14.72
2021-10-01,11.7925
2021-10-02,14.721665
2021-10-03,15.450001
2021-10-04,17.824999
2021-10-05,18.821669
2021-10-06,12.946667
2021-10-07,13.301666
2021-10-08,12.718333
2021-10-09,9.394167
2021-10-10,7.380833
2021-10-11,10.4425
2021-10-12,8.951667
2021-10-13,8.273334
2021-10-14,7.8224998
2021-10-15,8.7725
2021-10-16,9.474166
2021-10-17,7.275833
2021-10-18,8.691666
2021-10-19,9.239166
2021-10-20,12.716666
2021-10-21,14.559166
2021-10-22,10.906667
2021-10-23,8.431666
2021-10-24,5.6725
2021-10-25,6.9225
2021-10-26,7.085833
2021-10-27,7.5291667
2021-10-28,7.289167
2021-10-29,8.7725
2021-10-30,10.488334
2021-10-31,10.595
2021-11-01,9.545833
2021-11-02,8.081667
2021-11-03,7.2933335
2021-11-04,12.848332
2021-11-05,6.4116664
2021-11-06,5.6041665
2021-11-07,7.1374993
2021-11-08,7.33
2021-11-09,5.959166
2021-11-10,6.1716666
2021-11-11,6.7374997
2021-11-12,4.1891665
2021-11-13,2.0966666
2021-11-14,5.7000003
