time,DEB3I
2021-08-24,25.595001
2021-08-25,24.14833
2021-08-26,24.306665
2021-08-27,23.526667
2021-08-28,21.308332
2021-08-29,21.125
2021-08-30,21.985
2021-08-31,22.953331
2021-09-01,20.928335
2021-09-02,20.72
2021-09-03,21.089998
2021-09-04,22.046667
2021-09-05,24.828333
2021-09-06,26.781664
2021-09-07,22.731667
2021-09-08,20.385
2021-09-09,20.686666
2021-09-10,20.743334
2021-09-11,21.441666
2021-09-12,23.298332
2021-09-13,21.411667
2021-09-14,18.676666
2021-09-15,19.366665
2021-09-16,20.03333
2021-09-17,19.563332
2021-09-18,17.94
2021-09-19,18.486666
2021-09-20,19.324999
2021-09-21,18.926666
2021-09-22,18.521666
2021-09-23,17.53
2021-09-24,18.916666
2021-09-25,16.976665
2021-09-26,17.968332
2021-09-27,18.48
2021-09-28,17.849998
2021-09-29,17.65
2021-09-30,18.785
2021-10-01,19.743334
2021-10-02,19.753334
2021-10-03,14.918334
2021-10-04,15.110001
2021-10-05,17.331667
2021-10-06,19.281668
2021-10-07,19.686666
2021-10-08,19.679998
2021-10-09,19.248333
2021-10-10,19.18
2021-10-11,18.92
2021-10-12,18.791666
2021-10-13,18.843334
2021-10-14,17.968332
2021-10-15,17.421667
2021-10-16,17.525
2021-10-17,19.445
2021-10-18,20.823332
2021-10-19,20.643333
2021-10-20,20.028334
2021-10-21,16.215
2021-10-22,15.511666
2021-10-23,14.7283325
2021-10-24,14.435
2021-10-25,14.656667
2021-10-26,15.246666
2021-10-27,15.206666
2021-10-28,15.003333
2021-10-29,15.715
2021-10-30,18.398333
2021-10-31,17.811666
2021-11-01,14.396667
2021-11-02,12.881667
2021-11-03,10.596667
2021-11-04,9.553334
2021-11-05,8.901667
2021-11-06,9.008333
2021-11-07,8.9
2021-11-08,11.818334
2021-11-09,12.423333
2021-11-10,11.329999
2021-11-11,11.131665
2021-11-12,10.596665
2021-11-13,11.038333
2021-11-14,10.756665
2021-11-15,9.748333
2021-11-16,10.086667
2021-11-17,10.093333
2021-11-18,10.483333
2021-11-19,11.963333
2021-11-20,12.451667
2021-11-21,11.966666
2021-11-22,8.408334
2021-11-23,6.6150002
2021-11-24,7.5849996
2021-11-25,7.0483336
2021-11-26,6.7983336
2021-11-27,7.338333
2021-11-28,6.3783336
2021-11-29,10.051666
2021-11-30,7.963333
2021-12-01,7.4816666
2021-12-02,8.676666
2021-12-03,7.558333
2021-12-04,10.204999
2021-12-05,10.181666
2021-12-06,9.646667
2021-12-07,10.661666
2021-12-08,9.131667
2021-12-09,10.61
2021-12-10,11.525001
2021-12-11,11.326667
2021-12-12,10.361667
2021-12-13,10.56
2021-12-14,9.141666
2021-12-15,8.929999
2021-12-16,8.828334
2021-12-17,9.213333
2021-12-18,7.748333
2021-12-19,9.381667
2021-12-20,10.990001
2021-12-21,12.985001
2021-12-22,13.825
2021-12-23,12.6033325
2021-12-24,12.013333
2021-12-25,12.491666
2021-12-26,13.674999
2021-12-27,15.103333
2021-12-28,14.215
2021-12-29,13.235
2021-12-30,11.995
2021-12-31,11.773334
