time,DEG05
2021-01-01,10.58
2021-01-02,10.23
2021-01-03,11.04
2021-01-04,14.599999
2021-01-05,15.589999
2021-01-06,15.16
2021-01-07,13.28
2021-01-08,9.13
2021-01-09,5.08
2021-01-10,5.73
2021-01-11,7.8999996
2021-01-12,7.2799997
2021-01-13,11.639999
2021-01-14,10.44
2021-01-15,9.7
2021-01-16,13.759999
2021-01-17,14.17
2021-01-18,16.55
2021-01-19,16.21
2021-01-20,15.25
2021-01-21,16.44
2021-01-22,14.9
2021-01-23,15.37
2021-01-24,16.02
2021-01-25,13.74
2021-01-26,15.16
2021-01-27,16.58
2021-01-28,16.21
2021-01-29,16.65
2021-01-30,17.06
2021-01-31,16.58
2021-02-01,16.99
2021-02-02,16.05
2021-02-03,12.23
2021-02-04,12.15
2021-02-05,7.2799997
2021-02-06,9.41
2021-02-07,10.349999
2021-02-08,11.61
2021-02-09,13.509999
2021-02-10,14.36
2021-02-11,12.05
2021-02-12,13.33
2021-02-13,14.66
2021-02-14,15.639999
2021-02-15,14.94
2021-02-16,15.78
2021-02-17,14.62
2021-02-18,12.759999
2021-02-19,13.49
2021-02-20,14.059999
2021-02-21,10.98
2021-02-22,13.79
2021-02-23,15.94
2021-02-24,13.549999
2021-02-25,11.79
2021-02-26,10.969999
2021-02-27,11.679999
2021-02-28,12.48
2021-03-01,10.5199995
2021-03-02,13.5
2021-03-03,13.46
2021-03-04,12.309999
2021-03-05,11.67
2021-03-06,10.59
2021-03-07,11.259999
2021-03-08,13.33
2021-03-09,14.21
2021-03-10,13.46
2021-03-11,12.929999
2021-03-12,15.309999
2021-03-13,14.96
2021-03-14,17.199999
2021-03-15,16.0
2021-03-16,15.259999
2021-03-17,13.63
2021-03-18,12.639999
2021-03-19,12.4
2021-03-20,13.94
2021-03-21,12.24
2021-03-22,12.74
2021-03-23,12.28
2021-03-24,13.44
2021-03-25,16.09
2021-03-26,14.71
2021-03-27,12.53
2021-03-28,12.69
2021-03-29,12.44
2021-03-30,14.2
2021-03-31,13.99
2021-04-01,14.5199995
2021-04-02,13.73
2021-04-03,15.549999
2021-04-04,15.759999
2021-04-05,13.84
2021-04-06,14.88
2021-04-07,17.16
2021-04-08,14.74
2021-04-09,13.099999
2021-04-10,14.15
2021-04-11,15.21
2021-04-12,16.289999
2021-04-13,15.799999
2021-04-14,15.259999
2021-04-15,12.559999
2021-04-16,13.429999
2021-04-17,15.24
2021-04-18,16.369999
2021-04-19,15.66
2021-04-20,16.06
2021-04-21,15.009999
2021-04-22,14.79
2021-04-23,14.469999
2021-04-24,11.98
2021-04-25,10.37
2021-04-26,16.19
2021-04-27,16.05
2021-04-28,15.61
2021-04-29,13.42
2021-04-30,10.15
2021-05-01,12.559999
2021-05-02,13.889999
2021-05-03,13.96
2021-05-04,15.509999
2021-05-05,15.12
2021-05-06,17.14
2021-05-07,17.49
2021-05-08,16.92
2021-05-09,15.28
2021-05-10,14.19
2021-05-11,11.12
2021-05-12,13.44
2021-05-13,12.0199995
2021-05-14,13.599999
2021-05-15,17.19
2021-05-16,16.05
2021-05-17,15.809999
2021-05-18,17.9
2021-05-19,14.87
2021-05-20,19.779999
2021-05-21,22.13
2021-05-22,17.41
2021-05-23,14.91
2021-05-24,13.69
2021-05-25,14.79
2021-05-26,16.05
2021-05-27,17.99
2021-05-28,17.71
2021-05-29,16.699999
2021-05-30,17.31
2021-05-31,16.92
2021-06-01,15.2699995
2021-06-02,15.349999
2021-06-03,16.51
2021-06-04,15.7
2021-06-05,16.789999
2021-06-06,17.17
2021-06-07,17.779999
2021-06-08,18.3
2021-06-09,21.539999
2021-06-10,20.26
2021-06-11,21.18
2021-06-12,19.789999
2021-06-13,19.96
2021-06-14,20.57
2021-06-15,18.49
2021-06-16,18.72
2021-06-17,14.679999
2021-06-18,15.5
2021-06-19,15.03
2021-06-20,14.099999
2021-06-21,15.42
2021-06-22,17.3
