time,DEB3K
2021-08-20,21.19
2021-08-21,22.379166
2021-08-22,24.5725
2021-08-23,26.384165
2021-08-24,24.819166
2021-08-25,23.365831
2021-08-26,23.944166
2021-08-27,22.979998
2021-08-28,20.210833
2021-08-29,20.156666
2021-08-30,21.033333
2021-08-31,21.870832
2021-09-01,19.135
2021-09-02,19.0225
2021-09-03,19.812498
2021-09-04,20.849165
2021-09-05,24.146666
2021-09-06,25.534164
2021-09-07,21.519165
2021-09-08,18.8975
2021-09-09,19.048334
2021-09-10,18.880835
2021-09-11,19.661667
2021-09-12,22.254168
2021-09-13,19.846666
2021-09-14,16.903334
2021-09-15,17.449999
2021-09-16,18.649166
2021-09-17,18.056665
2021-09-18,16.270834
2021-09-19,16.47
2021-09-20,17.24
2021-09-21,16.485832
2021-09-22,16.738333
2021-09-23,16.250834
2021-09-24,17.82
2021-09-25,15.43
2021-09-26,16.543333
2021-09-27,17.503334
2021-09-28,16.326666
2021-09-29,15.7458315
2021-09-30,17.551666
2021-10-01,18.469168
2021-10-02,17.769999
2021-10-03,12.705833
2021-10-04,12.642499
2021-10-05,15.496666
2021-10-06,17.225
2021-10-07,18.588333
2021-10-08,18.3
2021-10-09,17.156668
2021-10-10,17.360832
2021-10-11,16.862501
2021-10-12,17.153334
2021-10-13,16.809166
2021-10-14,16.335
2021-10-15,15.848332
2021-10-16,15.308333
2021-10-17,17.637499
2021-10-18,18.950834
2021-10-19,19.238333
2021-10-20,18.176666
2021-10-21,14.008332
2021-10-22,13.048332
2021-10-23,12.336666
2021-10-24,12.621666
2021-10-25,12.7225
2021-10-26,13.088333
2021-10-27,13.639999
2021-10-28,12.670001
2021-10-29,13.375833
2021-10-30,15.802501
2021-10-31,15.62
2021-11-01,12.214166
2021-11-02,10.863332
2021-11-03,7.8925
2021-11-04,7.4841666
2021-11-05,7.1666665
2021-11-06,7.075833
2021-11-07,7.040833
2021-11-08,9.900833
2021-11-09,11.25
2021-11-10,9.46
2021-11-11,9.081666
2021-11-12,9.325833
2021-11-13,9.005834
2021-11-14,8.008334
2021-11-15,7.2299995
2021-11-16,7.874167
2021-11-17,8.063333
2021-11-18,8.248333
2021-11-19,9.63
2021-11-20,11.244166
2021-11-21,10.874166
2021-11-22,6.3425
2021-11-23,5.1974998
2021-11-24,6.013334
2021-11-25,5.090833
2021-11-26,5.2949996
2021-11-27,5.310833
2021-11-28,4.415
2021-11-29,9.234166
2021-11-30,7.0574994
2021-12-01,5.640833
2021-12-02,6.2258334
2021-12-03,6.14
2021-12-04,8.923333
2021-12-05,7.68
2021-12-06,7.9308333
2021-12-07,10.088333
2021-12-08,6.2433333
2021-12-09,8.370833
2021-12-10,9.947499
2021-12-11,9.545834
2021-12-12,8.3475
2021-12-13,8.72
2021-12-14,7.596667
2021-12-15,7.7499995
2021-12-16,7.5925
2021-12-17,7.5975
2021-12-18,5.6491666
2021-12-19,7.0808334
2021-12-20,8.653333
2021-12-21,11.460834
2021-12-22,11.893333
2021-12-23,10.87
2021-12-24,9.466667
2021-12-25,10.595
2021-12-26,11.058333
2021-12-27,12.266666
2021-12-28,11.914166
2021-12-29,12.140834
2021-12-30,10.099166
2021-12-31,10.8708315
