time,DEA5B
2021-01-01,4.88
2021-01-02,4.7599998
2021-01-03,5.56
2021-01-04,3.695
2021-01-05,3.61
2021-01-06,3.025
2021-01-07,2.48
2021-01-08,2.635
2021-01-09,1.905
2021-01-10,1.78
2021-01-11,0.96
2021-01-12,1.295
2021-01-13,0.495
2021-01-14,0.97999996
2021-01-15,1.685
2021-01-16,0.545
2021-01-17,0.355
2021-01-18,0.109999985
2021-01-19,-1.65
2021-01-20,0.75
2021-01-21,2.0249999
2021-01-22,6.2200003
2021-01-23,7.9649997
2021-01-24,3.955
2021-01-25,1.985
2021-01-26,2.565
2021-01-27,1.3
2021-01-28,1.645
2021-01-29,1.7549999
2021-01-30,6.4349995
2021-01-31,6.335
2021-02-01,5.7699995
2021-02-02,5.795
2021-02-03,6.71
2021-02-04,7.535
2021-02-05,7.865
2021-02-06,8.514999
2021-02-07,9.905
2021-02-08,10.92
2021-02-09,9.74
2021-02-10,10.225
2021-02-11,7.9299994
2021-02-12,4.005
2021-02-13,0.114999995
2021-02-14,0.485
2021-02-15,0.875
2021-02-16,4.0099998
2021-02-17,5.7200003
2021-02-18,7.805
2021-02-19,9.155
2021-02-20,7.4799995
2021-02-21,6.345
2021-02-22,8.045
2021-02-23,7.6
2021-02-24,10.775
2021-02-25,11.395
2021-02-26,10.869999
2021-02-27,8.955
2021-02-28,6.81
2021-03-01,6.44
2021-03-02,7.1499996
2021-03-03,8.129999
2021-03-04,8.65
2021-03-05,10.599999
2021-03-06,6.375
2021-03-07,4.495
2021-03-08,6.0999994
2021-03-09,7.33
2021-03-10,6.7299995
2021-03-11,9.705
2021-03-12,13.33
2021-03-13,11.245
2021-03-14,9.53
2021-03-15,8.235
2021-03-16,8.215
2021-03-17,7.455
2021-03-18,5.9449997
2021-03-19,4.535
2021-03-20,4.595
2021-03-21,4.83
2021-03-22,7.2799997
2021-03-23,7.7999997
2021-03-24,8.014999
2021-03-25,9.045
2021-03-26,10.674999
2021-03-27,12.744999
2021-03-28,12.594999
2021-03-29,12.87
2021-03-30,13.799999
2021-03-31,14.92
2021-04-01,17.035
2021-04-02,18.415
2021-04-03,13.014999
2021-04-04,9.01
2021-04-05,9.139999
2021-04-06,6.125
2021-04-07,4.485
2021-04-08,8.32
2021-04-09,9.875
2021-04-10,11.664999
2021-04-11,12.349999
2021-04-12,12.9
2021-04-13,7.475
2021-04-14,7.4399996
2021-04-15,6.8199997
2021-04-16,7.45
2021-04-17,7.76
2021-04-18,8.205
2021-04-19,10.035
2021-04-20,11.945
2021-04-21,12.69
2021-04-22,12.74
2021-04-23,11.834999
2021-04-24,13.195
2021-04-25,14.574999
2021-04-26,13.65
2021-04-27,12.195
2021-04-28,13.5
2021-04-29,15.635
2021-04-30,17.579998
2021-05-01,16.145
2021-05-02,16.43
2021-05-03,13.85
2021-05-04,15.62
2021-05-05,17.465
2021-05-06,18.465
2021-05-07,19.279999
2021-05-08,15.275
2021-05-09,15.605
2021-05-10,17.704998
2021-05-11,16.57
2021-05-12,16.05
2021-05-13,16.265
2021-05-14,15.695
2021-05-15,16.529999
2021-05-16,18.195
2021-05-17,17.445
2021-05-18,17.98
2021-05-19,14.959999
2021-05-20,15.725
2021-05-21,18.24
2021-05-22,18.05
2021-05-23,20.915
2021-05-24,16.305
2021-05-25,17.835
2021-05-26,16.165
2021-05-27,18.654999
2021-05-28,17.785
2021-05-29,18.965
2021-05-30,17.63
2021-05-31,16.765
2021-06-01,17.46
2021-06-02,19.27
2021-06-03,21.029999
2021-06-04,22.375
2021-06-05,23.455
2021-06-06,21.310001
2021-06-07,20.49
2021-06-08,20.33
2021-06-09,21.529999
2021-06-10,21.46
2021-06-11,21.25
2021-06-12,23.39
2021-06-13,24.71
2021-06-14,22.74
2021-06-15,21.91
2021-06-16,22.835
2021-06-17,24.744999
2021-06-18,25.109999
2021-06-19,26.035
2021-06-20,26.779999
2021-06-21,27.64
2021-06-22,26.699999
2021-06-23,26.144999
2021-06-24,26.82
2021-06-25,24.34
2021-06-26,23.919998
2021-06-27,24.875
2021-06-28,25.575
2021-06-29,27.665
2021-06-30,25.72
2021-07-01,25.215
2021-07-02,24.294998
2021-07-03,25.24
2021-07-04,23.73
2021-07-05,24.095001
2021-07-06,25.2
2021-07-07,27.904999
2021-07-08,26.58
2021-07-09,24.48
2021-07-10,24.335
2021-07-11,25.72
2021-07-12,26.224998
2021-07-13,23.48
2021-07-14,22.664999
2021-07-15,22.305
2021-07-16,19.895
2021-07-17,22.04
2021-07-18,24.595001
2021-07-19,25.575
2021-07-20,25.82
2021-07-21,25.465
2021-07-22,25.18
2021-07-23,25.46
2021-07-24,27.195
2021-07-25,27.095
2021-07-26,25.724998
2021-07-27,25.515
2021-07-28,26.32
2021-07-29,26.09
2021-07-30,27.04
2021-07-31,28.16
2021-08-01,26.564999
2021-08-02,23.904999
2021-08-03,24.4
2021-08-04,25.605
2021-08-05,25.22
2021-08-06,25.67
2021-08-07,26.255
2021-08-08,28.445
2021-08-09,26.34
2021-08-10,25.18
2021-08-11,26.805
2021-08-12,26.689999
2021-08-13,26.63
2021-08-14,27.669998
2021-08-15,28.285
2021-08-16,29.845
2021-08-17,24.945
2021-08-18,22.195
2021-08-19,22.71
2021-08-20,23.599998
2021-08-21,24.645
2021-08-22,26.395
2021-08-23,22.71
2021-08-24,21.875
2021-08-25,20.96
2021-08-26,22.18
2021-08-27,19.36
2021-08-28,17.865
2021-08-29,19.149998
2021-08-30,19.845
2021-08-31,19.079998
2021-09-01,19.869999
2021-09-02,19.765
2021-09-03,19.75
2021-09-04,19.59
2021-09-05,20.02
2021-09-06,20.044998
2021-09-07,19.744999
2021-09-08,19.945
2021-09-09,19.93
2021-09-10,20.18
2021-09-11,20.68
2021-09-12,20.51
2021-09-13,22.055
2021-09-14,22.849998
2021-09-15,24.085
2021-09-16,21.75
2021-09-17,21.325
2021-09-18,21.115
2021-09-19,19.945
2021-09-20,19.38
2021-09-21,17.06
2021-09-22,16.195
2021-09-23,16.7
2021-09-24,18.07
2021-09-25,19.615
2021-09-26,19.005001
2021-09-27,18.145
2021-09-28,19.555
2021-09-29,19.775
2021-09-30,18.775
2021-10-01,16.689999
2021-10-02,16.64
2021-10-03,18.96
2021-10-04,20.489998
2021-10-05,19.785
2021-10-06,17.475
2021-10-07,14.215
2021-10-08,15.53
2021-10-09,13.4
2021-10-10,11.664999
2021-10-11,12.415
2021-10-12,12.135
2021-10-13,10.434999
2021-10-14,9.469999
2021-10-15,9.699999
2021-10-16,10.775
2021-10-17,11.11
2021-10-18,11.09
2021-10-19,11.91
2021-10-20,14.23
2021-10-21,17.315
2021-10-22,13.929999
2021-10-23,14.209999
2021-10-24,11.895
2021-10-25,10.879999
2021-10-26,12.145
2021-10-27,11.629999
2021-10-28,10.264999
2021-10-29,9.01
2021-10-30,11.53
2021-10-31,12.465
2021-11-01,12.62
2021-11-02,13.285
2021-11-03,14.43
2021-11-04,14.005
2021-11-05,9.629999
2021-11-06,10.915
2021-11-07,10.209999
2021-11-08,9.889999
2021-11-09,10.344999
2021-11-10,11.184999
2021-11-11,11.02
2021-11-12,9.834999
2021-11-13,9.469999
2021-11-14,12.53
2021-11-15,13.7699995
2021-11-16,9.684999
2021-11-17,10.455
2021-11-18,11.34
2021-11-19,9.945
2021-11-20,8.6
2021-11-21,7.49
2021-11-22,9.01
2021-11-23,9.135
2021-11-24,6.955
2021-11-25,6.13
2021-11-26,7.5699997
2021-11-27,11.065
2021-11-28,6.38
2021-11-29,2.9499998
2021-11-30,4.025
2021-12-01,6.84
2021-12-02,5.295
2021-12-03,5.8199997
2021-12-04,4.255
2021-12-05,4.025
2021-12-06,3.5349998
2021-12-07,1.02
2021-12-08,1.8299999
2021-12-09,3.59
2021-12-10,4.58
2021-12-11,3.69
2021-12-12,2.69
2021-12-13,3.12
2021-12-14,2.225
2021-12-15,2.73
2021-12-16,3.4899998
2021-12-17,3.35
2021-12-18,-0.62
2021-12-19,0.97999996
2021-12-20,2.25
2021-12-21,4.015
2021-12-22,5.09
2021-12-23,4.2699995
2021-12-24,4.915
2021-12-25,4.585
2021-12-26,5.375
2021-12-27,6.8999996
2021-12-28,7.535
2021-12-29,6.24
2021-12-30,4.95
2021-12-31,3.745
