time,EL422
2021-01-01,2.6599998
2021-01-02,3.625
2021-01-03,3.2799997
2021-01-04,2.4299998
2021-01-05,2.5549998
2021-01-06,0.95500004
2021-01-07,0.35500002
2021-01-08,0.705
2021-01-09,0.42499998
2021-01-10,1.0949999
2021-01-11,3.1799998
2021-01-12,3.87
2021-01-13,1.925
2021-01-14,0.65999997
2021-01-15,-0.53999996
2021-01-16,-1.45
2021-01-17,-0.55
2021-01-18,2.8899999
2021-01-19,5.575
2021-01-20,8.094999
2021-01-21,7.8399997
2021-01-22,4.625
2021-01-23,2.195
2021-01-24,0.99
2021-01-25,0.054999996
2021-01-26,0.645
2021-01-27,1.7349999
2021-01-28,0.83
2021-01-29,-0.96999997
2021-01-30,-3.62
2021-01-31,-7.215
2021-02-01,-4.095
2021-02-02,-0.85999995
2021-02-03,0.765
2021-02-04,0.635
2021-02-05,0.48999998
2021-02-06,-1.155
2021-02-07,-3.87
2021-02-08,-3.0349998
2021-02-09,-4.5
2021-02-10,-3.74
2021-02-11,-5.415
2021-02-12,-6.6749997
2021-02-13,-7.7699995
2021-02-14,-5.415
2021-02-15,-0.089999996
2021-02-16,2.9899998
2021-02-17,6.3549995
2021-02-18,7.595
2021-02-19,6.21
2021-02-20,9.13
2021-02-21,9.27
2021-02-22,10.275
2021-02-23,11.795
2021-02-24,13.504999
2021-02-25,11.164999
2021-02-26,6.345
2021-02-27,5.04
2021-02-28,4.335
2021-03-01,3.38
2021-03-02,3.53
2021-03-03,4.85
2021-03-04,3.0749998
2021-03-05,1.045
2021-03-06,2.565
2021-03-07,3.2649999
2021-03-08,1.775
2021-03-09,1.3599999
2021-03-10,4.105
2021-03-11,7.375
2021-03-12,5.89
2021-03-13,4.9849997
2021-03-14,5.705
2021-03-15,4.745
2021-03-16,4.1099997
2021-03-17,3.295
2021-03-18,2.565
2021-03-19,1.015
2021-03-20,1.665
2021-03-21,5.62
2021-03-22,5.295
2021-03-23,5.825
2021-03-24,8.690001
2021-03-25,8.465
2021-03-26,10.045
2021-03-27,6.3199997
2021-03-28,7.285
2021-03-29,12.324999
2021-03-30,12.559999
2021-03-31,12.865
2021-04-01,8.67
2021-04-02,4.6549997
2021-04-03,5.71
2021-04-04,5.41
2021-04-05,2.9099998
2021-04-06,1.42
2021-04-07,2.2849998
2021-04-08,4.12
2021-04-09,5.96
2021-04-10,5.77
2021-04-11,5.58
2021-04-12,3.83
2021-04-13,4.165
2021-04-14,3.505
2021-04-15,4.67
2021-04-16,6.295
2021-04-17,7.575
2021-04-18,9.965
2021-04-19,9.875
2021-04-20,9.92
2021-04-21,7.1849995
2021-04-22,6.87
2021-04-23,7.375
2021-04-24,6.6349998
2021-04-25,6.3399997
2021-04-26,5.865
2021-04-27,7.1099997
2021-04-28,9.835
2021-04-29,8.424999
2021-04-30,8.5
2021-05-01,8.139999
2021-05-02,6.415
