time,DEB3F
2021-08-23,24.006248
2021-08-24,23.73625
2021-08-25,21.773748
2021-08-26,21.70375
2021-08-27,20.4825
2021-08-28,19.285
2021-08-29,18.93625
2021-08-30,20.243748
2021-08-31,20.71125
2021-09-01,19.59
2021-09-02,19.71125
2021-09-03,19.744999
2021-09-04,20.29625
2021-09-05,23.442501
2021-09-06,24.84
2021-09-07,21.38
2021-09-08,19.46
2021-09-09,19.82625
2021-09-10,19.718748
2021-09-11,20.448751
2021-09-12,22.0675
2021-09-13,20.264997
2021-09-14,18.405
2021-09-15,18.88875
2021-09-16,19.599998
2021-09-17,18.564999
2021-09-18,16.846249
2021-09-19,17.3025
2021-09-20,18.02875
2021-09-21,19.301249
2021-09-22,18.71875
2021-09-23,16.32625
2021-09-24,18.244999
2021-09-25,16.68
2021-09-26,17.73125
2021-09-27,17.961248
2021-09-28,16.535
2021-09-29,16.28375
2021-09-30,17.287498
2021-10-01,19.60625
2021-10-02,19.739998
2021-10-03,14.796249
2021-10-04,15.6575
2021-10-05,17.589998
2021-10-06,19.31
2021-10-07,20.05
2021-10-08,19.99
2021-10-09,19.2625
2021-10-10,19.53
2021-10-11,19.0725
2021-10-12,18.9825
2021-10-13,19.1325
2021-10-14,17.875
2021-10-15,17.443748
2021-10-16,17.49375
2021-10-17,19.5
2021-10-18,21.145
2021-10-19,20.92625
2021-10-20,19.943748
2021-10-21,16.41
2021-10-22,15.822499
2021-10-23,14.9325
2021-10-24,14.705
2021-10-25,15.308749
2021-10-26,15.398749
2021-10-27,15.7387495
2021-10-28,14.932499
2021-10-29,15.32375
2021-10-30,17.9725
2021-10-31,17.5925
2021-11-01,14.6
2021-11-02,12.94875
2021-11-03,10.411249
2021-11-04,9.61
2021-11-05,8.9625
2021-11-06,9.72875
2021-11-07,9.9125
2021-11-08,12.309999
2021-11-09,13.2387495
2021-11-10,12.1
2021-11-11,11.508749
2021-11-12,10.961249
2021-11-13,11.504999
2021-11-14,11.049999
2021-11-15,10.0175
2021-11-16,10.99875
2021-11-17,11.38375
2021-11-18,11.575
2021-11-19,13.0525
2021-11-20,13.782499
2021-11-21,12.2675
2021-11-22,9.046249
2021-11-23,6.7287498
2021-11-24,8.095
2021-11-25,6.4474998
2021-11-26,6.6099997
2021-11-27,7.7299995
2021-11-28,6.61875
2021-11-29,10.482499
2021-11-30,8.85375
2021-12-01,7.6337495
2021-12-02,9.06875
2021-12-03,7.8450003
2021-12-04,10.86
2021-12-05,10.039999
2021-12-06,10.555
2021-12-07,11.847499
2021-12-08,9.46375
2021-12-09,10.997499
2021-12-10,12.05875
2021-12-11,10.7975
2021-12-12,11.26
2021-12-13,12.00875
2021-12-14,10.23625
2021-12-15,10.36125
2021-12-16,10.08625
2021-12-17,10.0112505
2021-12-18,9.1375
2021-12-19,10.39875
2021-12-20,12.22625
2021-12-21,14.362499
2021-12-22,14.291249
2021-12-23,13.84625
2021-12-24,12.64125
2021-12-25,13.275
2021-12-26,13.96375
2021-12-27,15.15125
2021-12-28,15.23625
2021-12-29,14.1525
2021-12-30,12.4575
2021-12-31,12.541249
