time,FI193
2021-01-01,1.9799999
2021-01-02,1.65
2021-01-03,1.8499999
2021-01-04,1.41
2021-01-05,1.7099999
2021-01-06,1.9499999
2021-01-07,1.35
2021-01-08,0.93
2021-01-09,-0.31
2021-01-10,0.35
2021-01-11,1.7199999
2021-01-12,4.27
2021-01-13,2.2
2021-01-14,1.13
2021-01-15,-0.17999999
2021-01-16,-0.32999998
2021-01-17,2.58
2021-01-18,4.08
2021-01-19,5.37
2021-01-20,8.59
2021-01-21,7.79
2021-01-22,3.9199998
2021-01-23,3.48
2021-01-24,0.48
2021-01-25,0.77
2021-01-26,2.4099998
2021-01-27,2.61
2021-01-28,7.2999997
2021-01-29,8.37
2021-01-30,1.74
2021-01-31,0.53
2021-02-01,3.31
2021-02-02,7.16
2021-02-03,9.309999
2021-02-04,7.37
2021-02-05,7.71
2021-02-06,4.7799997
2021-02-07,-0.91999996
2021-02-08,-5.1
2021-02-09,-7.18
2021-02-10,-6.56
2021-02-11,-5.2999997
2021-02-12,-5.5699997
2021-02-13,-4.3199997
2021-02-14,0.63
2021-02-15,4.25
2021-02-16,8.59
2021-02-17,8.79
2021-02-18,8.09
2021-02-19,7.41
2021-02-20,12.059999
2021-02-21,13.139999
2021-02-22,13.65
2021-02-23,14.4
2021-02-24,14.429999
2021-02-25,13.429999
2021-02-26,7.0699997
2021-02-27,4.43
2021-02-28,5.98
2021-03-01,5.48
2021-03-02,8.91
2021-03-03,10.78
2021-03-04,5.22
2021-03-05,2.12
2021-03-06,1.22
2021-03-07,1.04
2021-03-08,3.5
2021-03-09,4.0699997
2021-03-10,6.6499996
2021-03-11,9.139999
2021-03-12,6.3599997
2021-03-13,6.45
2021-03-14,4.8599997
2021-03-15,5.5699997
2021-03-16,4.56
2021-03-17,4.15
2021-03-18,3.31
2021-03-19,3.9599998
2021-03-20,3.3899999
2021-03-21,5.49
2021-03-22,4.91
2021-03-23,7.1
2021-03-24,9.08
2021-03-25,8.059999
2021-03-26,10.17
2021-03-27,6.37
2021-03-28,9.79
2021-03-29,13.37
2021-03-30,14.28
2021-03-31,16.8
2021-04-01,13.28
2021-04-02,5.5099998
2021-04-03,6.6
2021-04-04,5.21
2021-04-05,2.82
2021-04-06,0.35999998
2021-04-07,1.27
2021-04-08,3.83
2021-04-09,8.61
2021-04-10,8.139999
2021-04-11,4.0899997
2021-04-12,2.3799999
2021-04-13,3.76
2021-04-14,4.16
2021-04-15,4.2
2021-04-16,5.81
2021-04-17,7.17
2021-04-18,8.44
