time,DEF0C
2021-08-21,27.785715
2021-08-22,29.116667
2021-08-23,29.127619
2021-08-24,27.775234
2021-08-25,26.608566
2021-08-26,26.967617
2021-08-27,26.23762
2021-08-28,24.912382
2021-08-29,24.701427
2021-08-30,25.020475
2021-08-31,25.893333
2021-09-01,25.035238
2021-09-02,24.517141
2021-09-03,24.445713
2021-09-04,26.316668
2021-09-05,27.858097
2021-09-06,29.73381
2021-09-07,27.075235
2021-09-08,25.139523
2021-09-09,24.215714
2021-09-10,25.005238
2021-09-11,25.631907
2021-09-12,26.345715
2021-09-13,25.446667
2021-09-14,22.506191
2021-09-15,22.13095
2021-09-16,23.13095
2021-09-17,24.048096
2021-09-18,23.303333
2021-09-19,23.150476
2021-09-20,23.509048
2021-09-21,23.595713
2021-09-22,22.84
2021-09-23,23.056667
2021-09-24,21.283333
2021-09-25,20.984762
2021-09-26,21.60619
2021-09-27,22.475714
2021-09-28,22.227617
2021-09-29,23.30238
2021-09-30,23.508572
2021-10-01,22.895237
2021-10-02,22.554287
2021-10-03,18.162857
2021-10-04,17.186666
2021-10-05,19.052856
2021-10-06,23.11381
2021-10-07,22.415714
2021-10-08,22.280952
2021-10-09,21.559525
2021-10-10,22.354286
2021-10-11,22.85381
2021-10-12,22.03857
2021-10-13,21.439047
2021-10-14,21.184763
2021-10-15,20.369524
2021-10-16,20.773333
2021-10-17,21.571426
2021-10-18,22.511427
2021-10-19,22.773333
2021-10-20,21.867619
2021-10-21,20.099522
2021-10-22,17.482859
2021-10-23,18.285715
2021-10-24,18.224285
2021-10-25,17.85381
2021-10-26,18.774286
2021-10-27,18.207619
2021-10-28,18.415237
2021-10-29,18.61381
2021-10-30,21.184763
2021-10-31,21.296188
2021-11-01,20.601906
2021-11-02,17.131428
2021-11-03,13.75619
2021-11-04,12.028571
2021-11-05,11.924286
2021-11-06,11.17
2021-11-07,10.713809
2021-11-08,11.952857
2021-11-09,13.081429
2021-11-10,13.347142
2021-11-11,13.094762
2021-11-12,12.79857
2021-11-13,14.132856
2021-11-14,15.128571
2021-11-15,13.054762
2021-11-16,11.954762
2021-11-17,12.260476
2021-11-18,13.359523
2021-11-19,16.389523
2021-11-20,14.825714
2021-11-21,14.285237
2021-11-22,12.218572
2021-11-23,8.833333
2021-11-24,8.45
2021-11-25,9.189047
2021-11-26,9.324761
2021-11-27,8.781904
2021-11-28,7.2876186
2021-11-29,11.769524
2021-11-30,9.891429
2021-12-01,8.388572
2021-12-02,10.259523
2021-12-03,8.671904
2021-12-04,9.182381
2021-12-05,11.045713
2021-12-06,9.489047
2021-12-07,10.454762
2021-12-08,12.268572
2021-12-09,10.297142
2021-12-10,11.505239
2021-12-11,12.48
2021-12-12,14.011905
2021-12-13,12.750477
2021-12-14,12.0271435
2021-12-15,11.333809
2021-12-16,11.809524
2021-12-17,12.42238
2021-12-18,11.102857
2021-12-19,12.958571
2021-12-20,12.935239
2021-12-21,14.515714
2021-12-22,14.370952
2021-12-23,13.506666
2021-12-24,13.781427
2021-12-25,14.341905
2021-12-26,15.080952
2021-12-27,16.858572
2021-12-28,15.390477
2021-12-29,13.687142
2021-12-30,12.82238
2021-12-31,13.503809
