time,FRL01
2021-01-01,2.0310526
2021-01-02,0.37526315
2021-01-03,2.3963158
2021-01-04,4.0884213
2021-01-05,2.524737
2021-01-06,-0.31894737
2021-01-07,1.398421
2021-01-08,-2.7063158
2021-01-09,-2.9452631
2021-01-10,-4.4047365
2021-01-11,-4.570526
2021-01-12,-2.6389472
2021-01-13,-2.6352632
2021-01-14,-3.6000004
2021-01-15,-6.738948
2021-01-16,-11.976843
2021-01-17,-11.891052
2021-01-18,-12.705789
2021-01-19,-13.65421
2021-01-20,-5.6805267
2021-01-21,1.1210526
2021-01-22,2.888421
2021-01-23,2.6605263
2021-01-24,2.8389473
2021-01-25,0.55999994
2021-01-26,-2.8342104
2021-01-27,-4.509474
2021-01-28,-4.743158
2021-01-29,-3.030526
2021-01-30,-0.86578953
2021-01-31,-0.48736843
2021-02-01,-1.7194736
2021-02-02,-1.3852632
2021-02-03,0.66894734
2021-02-04,5.4247365
2021-02-05,1.518421
2021-02-06,-0.44947368
2021-02-07,-1.5910525
2021-02-08,-0.29052633
2021-02-09,0.008421052
2021-02-10,0.9873684
2021-02-11,-0.15210526
2021-02-12,-10.486841
2021-02-13,-12.230527
2021-02-14,-8.255262
2021-02-15,-6.833684
2021-02-16,-9.009473
2021-02-17,-6.4742103
2021-02-18,-5.004737
2021-02-19,-6.8647366
2021-02-20,-1.8910525
2021-02-21,0.1836842
2021-02-22,2.0957894
2021-02-23,3.779473
2021-02-24,3.343158
2021-02-25,7.5526314
2021-02-26,7.355263
2021-02-27,3.5463161
2021-02-28,2.245263
2021-03-01,2.0836842
2021-03-02,3.5331578
2021-03-03,4.2178946
2021-03-04,4.132632
2021-03-05,3.185789
2021-03-06,-1.6731578
2021-03-07,-3.151579
2021-03-08,-1.6357894
2021-03-09,-3.1157894
2021-03-10,-2.6610525
2021-03-11,-3.3536842
2021-03-12,-1.0089474
2021-03-13,1.6778947
2021-03-14,3.8252633
2021-03-15,3.2615786
2021-03-16,-0.7273684
2021-03-17,-1.0605263
2021-03-18,-0.87842107
2021-03-19,-2.4178946
2021-03-20,-2.2178948
2021-03-21,-2.5752633
2021-03-22,-1.6321052
2021-03-23,-2.5557897
2021-03-24,-2.7389474
2021-03-25,-0.21947365
2021-03-26,2.4010527
2021-03-27,4.3626313
2021-03-28,3.875789
2021-03-29,3.2942104
2021-03-30,4.375263
2021-03-31,6.5547366
2021-04-01,9.280525
2021-04-02,6.470526
2021-04-03,2.788421
2021-04-04,1.8821052
2021-04-05,2.000526
2021-04-06,3.5563157
2021-04-07,-0.38578942
2021-04-08,-0.76263165
2021-04-09,1.016842
2021-04-10,4.2710524
2021-04-11,7.312631
2021-04-12,9.376842
2021-04-13,9.439474
2021-04-14,4.368421
2021-04-15,2.0478945
2021-04-16,1.471579
2021-04-17,4.047895
2021-04-18,4.8731575
2021-04-19,6.186842
2021-04-20,6.8273683
2021-04-21,6.903684
2021-04-22,7.6389465
2021-04-23,5.6242104
2021-04-24,3.7399998
2021-04-25,5.9126315
2021-04-26,4.198421
2021-04-27,2.7863157
2021-04-28,4.2110524
2021-04-29,9.228947
2021-04-30,12.250525
2021-05-01,12.990526
2021-05-02,15.26579
2021-05-03,10.667369
2021-05-04,7.357369
2021-05-05,12.305263
2021-05-06,9.358947
2021-05-07,9.23
2021-05-08,7.4189467
2021-05-09,7.0542107
2021-05-10,12.4521055
2021-05-11,13.860525
2021-05-12,13.256315
2021-05-13,12.014211
2021-05-14,11.581578
2021-05-15,13.32
2021-05-16,13.183683
2021-05-17,13.569474
2021-05-18,11.221579
2021-05-19,11.63842
2021-05-20,9.4605255
2021-05-21,11.206841
2021-05-22,12.526841
2021-05-23,14.387367
2021-05-24,12.494211
2021-05-25,15.173159
2021-05-26,14.085263
2021-05-27,13.853157
2021-05-28,13.139999
2021-05-29,12.368947
2021-05-30,10.672631
2021-05-31,9.042632
2021-06-01,8.655789
2021-06-02,9.019474
2021-06-03,11.500526
2021-06-04,14.279999
2021-06-05,14.253685
2021-06-06,14.272104
2021-06-07,15.126315
2021-06-08,15.785262
2021-06-09,16.152105
2021-06-10,14.9726305
2021-06-11,15.299474
2021-06-12,15.690001
2021-06-13,12.683682
2021-06-14,10.627368
2021-06-15,13.46263
2021-06-16,15.917368
2021-06-17,16.756842
2021-06-18,17.932104
2021-06-19,16.489475
2021-06-20,16.467367
2021-06-21,18.101578
2021-06-22,20.32421
2021-06-23,22.17526
2021-06-24,22.82
2021-06-25,23.542631
2021-06-26,19.589998
2021-06-27,18.290525
2021-06-28,18.29263
2021-06-29,19.529999
2021-06-30,22.289474
2021-07-01,18.738947
2021-07-02,16.347895
2021-07-03,14.862633
2021-07-04,16.138948
2021-07-05,17.82579
2021-07-06,20.016315
2021-07-07,20.252102
2021-07-08,20.742104
2021-07-09,20.99737
2021-07-10,19.392632
2021-07-11,19.573158
2021-07-12,20.741581
2021-07-13,20.64579
2021-07-14,22.012629
2021-07-15,22.189999
2021-07-16,21.353155
2021-07-17,21.601053
2021-07-18,22.326315
2021-07-19,20.432104
2021-07-20,18.122107
2021-07-21,15.242631
2021-07-22,15.681578
2021-07-23,16.291052
