time,ES120
2021-01-01,-1.5688889
2021-01-02,-0.8922223
2021-01-03,-0.7277777
2021-01-04,-0.15888889
2021-01-05,0.89222217
2021-01-06,0.6033333
2021-01-07,-0.46666664
2021-01-08,-0.23777777
2021-01-09,-0.28333333
2021-01-10,0.15888888
2021-01-11,-0.94777775
2021-01-12,-0.31555557
2021-01-13,-0.76555556
2021-01-14,-1.2488889
2021-01-15,-2.8688889
2021-01-16,-3.3866665
2021-01-17,-8.888889
2021-01-18,-11.75111
2021-01-19,-4.556667
2021-01-20,1.5411111
2021-01-21,3.8011115
2021-01-22,4.5655556
2021-01-23,1.3055556
2021-01-24,0.68999994
2021-01-25,0.11666666
2021-01-26,-0.047777776
2021-01-27,-0.20777778
2021-01-28,-0.72444445
2021-01-29,-0.9077778
2021-01-30,-2.331111
2021-01-31,-3.7133331
2021-02-01,-5.216666
2021-02-02,-3.0966666
2021-02-03,-1.0
2021-02-04,-0.9977777
2021-02-05,-6.2188888
2021-02-06,-6.6844444
2021-02-07,-9.788889
2021-02-08,-11.475554
2021-02-09,-8.831111
2021-02-10,-11.012221
2021-02-11,-7.5155554
2021-02-12,-7.806666
2021-02-13,-2.5177777
2021-02-14,-1.5055555
2021-02-15,-4.3544445
2021-02-16,-4.7744446
2021-02-17,-1.4655555
2021-02-18,-2.092222
2021-02-19,-0.72111106
2021-02-20,2.3544443
2021-02-21,2.9366667
2021-02-22,2.6733332
2021-02-23,3.8266668
2021-02-24,7.591111
2021-02-25,8.39889
2021-02-26,6.992223
2021-02-27,4.5977774
2021-02-28,2.6377776
2021-03-01,3.7111108
2021-03-02,3.9011111
2021-03-03,3.3777778
2021-03-04,2.3766665
2021-03-05,-0.25333333
2021-03-06,0.064444445
2021-03-07,1.4833332
2021-03-08,-0.7033333
2021-03-09,-1.9144444
2021-03-10,-1.0055555
2021-03-11,-0.34444442
2021-03-12,4.667778
2021-03-13,4.744445
2021-03-14,3.7733333
2021-03-15,3.7688887
2021-03-16,2.9122221
2021-03-17,2.262222
2021-03-18,1.0688889
2021-03-19,-0.84555554
2021-03-20,-1.6888888
2021-03-21,2.322222
2021-03-22,2.7311108
2021-03-23,4.443333
2021-03-24,5.1555552
2021-03-25,6.501111
2021-03-26,7.0722218
2021-03-27,8.5588875
2021-03-28,5.5
2021-03-29,7.9622216
2021-03-30,13.0611105
2021-03-31,12.388889
2021-04-01,9.42111
2021-04-02,4.1499996
2021-04-03,3.2344446
2021-04-04,3.5866666
2021-04-05,2.9588888
2021-04-06,2.1088889
2021-04-07,1.9255556
2021-04-08,4.133333
2021-04-09,5.4022226
2021-04-10,4.7633333
2021-04-11,9.983334
2021-04-12,8.083333
2021-04-13,4.5633335
2021-04-14,3.8377779
2021-04-15,3.0155554
2021-04-16,4.8811107
2021-04-17,7.1600003
2021-04-18,8.583333
2021-04-19,9.76
2021-04-20,8.7
2021-04-21,9.046666
2021-04-22,5.3633327
2021-04-23,5.423333
2021-04-24,5.3799996
2021-04-25,3.4455557
2021-04-26,2.002222
2021-04-27,4.3222218
2021-04-28,7.2255564
2021-04-29,9.549999
2021-04-30,7.1144443
2021-05-01,5.2188888
2021-05-02,6.2644444
2021-05-03,6.3333335
2021-05-04,6.91
2021-05-05,10.04
2021-05-06,7.7344437
2021-05-07,5.647778
2021-05-08,6.7911115
2021-05-09,12.115556
2021-05-10,17.65889
2021-05-11,20.307777
2021-05-12,20.007776
2021-05-13,15.62
2021-05-14,12.929999
2021-05-15,12.44
2021-05-16,12.843333
2021-05-17,12.186666
2021-05-18,12.799999
2021-05-19,11.576667
2021-05-20,10.866666
2021-05-21,11.954444
2021-05-22,11.673334
2021-05-23,11.307777
2021-05-24,11.857777
2021-05-25,13.747778
2021-05-26,10.356666
2021-05-27,10.852222
2021-05-28,10.428888
2021-05-29,10.265555
2021-05-30,11.155556
2021-05-31,11.975555
2021-06-01,12.901111
2021-06-02,15.738888
2021-06-03,15.186666
2021-06-04,15.674445
2021-06-05,17.166666
2021-06-06,16.055555
2021-06-07,16.648888
2021-06-08,17.184444
2021-06-09,17.206667
2021-06-10,16.962223
2021-06-11,17.81
2021-06-12,16.57111
2021-06-13,14.484445
2021-06-14,15.564445
2021-06-15,17.087776
2021-06-16,15.044444
2021-06-17,19.43111
2021-06-18,23.516666
2021-06-19,24.98333
2021-06-20,25.627777
2021-06-21,26.34
2021-06-22,23.41111
2021-06-23,19.181112
2021-06-24,18.085556
2021-06-25,17.682222
2021-06-26,17.624445
2021-06-27,17.524445
2021-06-28,18.902224
2021-06-29,20.689999
2021-06-30,22.098888
2021-07-01,18.803335
2021-07-02,18.19889
2021-07-03,18.544443
2021-07-04,19.708889
2021-07-05,20.981112
2021-07-06,21.21
2021-07-07,21.131111
2021-07-08,17.897778
2021-07-09,20.32889
2021-07-10,18.523333
2021-07-11,19.01
2021-07-12,20.936668
2021-07-13,21.791113
2021-07-14,23.725555
2021-07-15,23.237778
2021-07-16,23.185555
