time,DEA24
2021-01-01,10.09
2021-01-02,10.75
2021-01-03,10.219999
2021-01-04,7.22
2021-01-05,7.6099997
2021-01-06,9.639999
2021-01-07,12.32
2021-01-08,13.92
2021-01-09,12.17
2021-01-10,12.599999
2021-01-11,12.36
2021-01-12,8.92
2021-01-13,9.139999
2021-01-14,6.8999996
2021-01-15,6.6499996
2021-01-16,4.87
2021-01-17,2.8799999
2021-01-18,7.0699997
2021-01-19,5.15
2021-01-20,7.23
2021-01-21,12.9
2021-01-22,13.21
2021-01-23,10.48
2021-01-24,12.429999
2021-01-25,11.559999
2021-01-26,8.58
2021-01-27,5.0899997
2021-01-28,8.28
2021-01-29,11.67
2021-01-30,13.08
2021-01-31,9.45
2021-02-01,11.509999
2021-02-02,14.07
2021-02-03,14.599999
2021-02-04,13.469999
2021-02-05,15.83
2021-02-06,14.48
2021-02-07,13.009999
2021-02-08,9.37
2021-02-09,10.139999
2021-02-10,10.7
2021-02-11,13.95
2021-02-12,9.429999
2021-02-13,8.08
2021-02-14,2.9099998
2021-02-15,2.29
2021-02-16,3.29
2021-02-17,8.4
2021-02-18,9.46
2021-02-19,9.24
2021-02-20,9.65
2021-02-21,11.12
2021-02-22,12.99
2021-02-23,10.309999
2021-02-24,12.849999
2021-02-25,11.33
2021-02-26,10.76
2021-02-27,10.57
2021-02-28,
2021-03-01,9.61
2021-03-02,9.94
2021-03-03,11.96
2021-03-04,8.9
2021-03-05,6.6299996
2021-03-06,7.8399997
2021-03-07,10.34
2021-03-08,11.09
2021-03-09,9.9
2021-03-10,10.75
2021-03-11,8.83
2021-03-12,10.599999
2021-03-13,13.53
2021-03-14,11.41
2021-03-15,9.84
2021-03-16,8.66
2021-03-17,7.54
2021-03-18,6.97
2021-03-19,6.85
2021-03-20,8.059999
2021-03-21,8.86
2021-03-22,7.52
2021-03-23,6.29
2021-03-24,6.5099998
2021-03-25,8.33
2021-03-26,10.09
2021-03-27,10.5199995
2021-03-28,10.889999
2021-03-29,10.86
2021-03-30,11.7699995
2021-03-31,11.88
2021-04-01,17.0
2021-04-02,10.5
2021-04-03,13.65
2021-04-04,13.21
2021-04-05,10.92
2021-04-06,10.32
2021-04-07,11.889999
2021-04-08,7.6099997
2021-04-09,8.09
2021-04-10,9.46
2021-04-11,12.79
2021-04-12,12.799999
2021-04-13,11.78
2021-04-14,9.2
2021-04-15,10.74
2021-04-16,11.67
2021-04-17,10.139999
2021-04-18,11.849999
2021-04-19,9.16
2021-04-20,9.84
2021-04-21,12.28
2021-04-22,11.57
2021-04-23,12.37
2021-04-24,12.7
2021-04-25,11.17
2021-04-26,14.0
2021-04-27,17.33
2021-04-28,15.78
2021-04-29,18.08
2021-04-30,20.08
2021-05-01,19.88
2021-05-02,16.98
2021-05-03,14.58
2021-05-04,15.28
2021-05-05,14.25
2021-05-06,15.75
2021-05-07,16.17
2021-05-08,15.96
2021-05-09,17.91
2021-05-10,16.83
2021-05-11,17.57
2021-05-12,17.76
2021-05-13,16.109999
2021-05-14,14.96
2021-05-15,14.9
2021-05-16,16.43
2021-05-17,17.39
2021-05-18,16.89
2021-05-19,16.029999
2021-05-20,15.929999
2021-05-21,14.34
2021-05-22,15.54
2021-05-23,19.119999
2021-05-24,21.74
2021-05-25,19.1
2021-05-26,18.81
2021-05-27,16.64
2021-05-28,15.38
2021-05-29,17.39
2021-05-30,16.68
2021-05-31,16.6
2021-06-01,15.74
2021-06-02,17.81
2021-06-03,18.41
2021-06-04,18.75
2021-06-05,19.13
2021-06-06,20.91
2021-06-07,19.21
2021-06-08,19.529999
2021-06-09,18.66
2021-06-10,19.81
2021-06-11,20.619999
2021-06-12,20.99
2021-06-13,17.93
2021-06-14,21.21
2021-06-15,22.1
2021-06-16,19.74
2021-06-17,20.439999
2021-06-18,20.99
2021-06-19,23.119999
2021-06-20,23.48
2021-06-21,25.83
2021-06-22,27.73
2021-06-23,27.15
2021-06-24,27.789999
2021-06-25,25.82
2021-06-26,24.74
2021-06-27,26.68
2021-06-28,27.41
2021-06-29,27.14
2021-06-30,25.89
2021-07-01,25.08
2021-07-02,23.039999
2021-07-03,23.22
2021-07-04,22.869999
2021-07-05,21.98
2021-07-06,24.1
2021-07-07,24.09
2021-07-08,25.779999
2021-07-09,25.849998
2021-07-10,24.689999
2021-07-11,21.949999
2021-07-12,23.439999
2021-07-13,25.46
2021-07-14,25.43
2021-07-15,24.3
2021-07-16,22.619999
2021-07-17,21.25
2021-07-18,21.14
2021-07-19,21.15
2021-07-20,22.25
2021-07-21,22.91
2021-07-22,24.5
2021-07-23,24.029999
2021-07-24,24.74
2021-07-25,27.46
2021-07-26,29.179998
2021-07-27,27.51
2021-07-28,27.22
2021-07-29,26.68
2021-07-30,27.14
2021-07-31,27.449999
2021-08-01,29.939999
2021-08-02,26.83
2021-08-03,25.88
2021-08-04,28.63
2021-08-05,25.619999
2021-08-06,24.99
2021-08-07,24.119999
2021-08-08,26.81
2021-08-09,27.519999
2021-08-10,28.43
2021-08-11,27.9
2021-08-12,26.689999
2021-08-13,26.24
2021-08-14,26.099998
2021-08-15,25.359999
2021-08-16,25.98
2021-08-17,25.439999
2021-08-18,25.539999
2021-08-19,23.97
2021-08-20,23.42
2021-08-21,24.269999
2021-08-22,24.019999
2021-08-23,24.05
2021-08-24,23.779999
2021-08-25,23.81
2021-08-26,25.18
2021-08-27,24.019999
2021-08-28,22.85
2021-08-29,21.75
2021-08-30,21.199999
2021-08-31,21.41
2021-09-01,21.52
