time,DED41
2021-01-01,1.5425
2021-01-02,3.5349998
2021-01-03,3.4924998
2021-01-04,3.3174996
2021-01-05,1.1525
2021-01-06,0.067499995
2021-01-07,0.13499999
2021-01-08,-0.3025
2021-01-09,-1.64
2021-01-10,-2.1525
2021-01-11,-4.42
2021-01-12,-4.9825
2021-01-13,-4.175
2021-01-14,-3.7474997
2021-01-15,-5.5849996
2021-01-16,-6.3975
2021-01-17,-5.11
2021-01-18,-4.165
2021-01-19,0.3275
2021-01-20,5.3374996
2021-01-21,7.87
2021-01-22,8.5824995
2021-01-23,6.2475
2021-01-24,1.04
2021-01-25,-1.5924999
2021-01-26,-2.6175
2021-01-27,-2.8475
2021-01-28,0.45999998
2021-01-29,4.1025
2021-01-30,4.6974998
2021-01-31,-1.3625
2021-02-01,-1.0025
2021-02-02,1.415
2021-02-03,9.125
2021-02-04,10.0525
2021-02-05,10.422501
2021-02-06,11.1025
2021-02-07,9.695
2021-02-08,4.85
2021-02-09,4.095
2021-02-10,4.595
2021-02-11,-3.4299998
2021-02-12,-7.8474994
2021-02-13,-6.2999997
2021-02-14,-3.565
2021-02-15,-3.2725
2021-02-16,2.7525
2021-02-17,2.4225
2021-02-18,3.97
2021-02-19,7.4399996
2021-02-20,7.9774995
2021-02-21,7.9375
2021-02-22,8.625
2021-02-23,8.690001
2021-02-24,8.28
2021-02-25,8.327499
2021-02-26,8.817499
2021-02-27,5.02
2021-02-28,2.5175
2021-03-01,3.7875
2021-03-02,3.2975001
2021-03-03,5.095
2021-03-04,7.9424996
2021-03-05,5.0
2021-03-06,-0.92499995
2021-03-07,-0.2975
2021-03-08,2.635
2021-03-09,1.2125
2021-03-10,1.235
2021-03-11,5.9375
2021-03-12,7.4124994
2021-03-13,8.599999
2021-03-14,2.5275
2021-03-15,2.945
2021-03-16,2.6475
2021-03-17,1.5799999
2021-03-18,0.47999996
2021-03-19,-0.5125
2021-03-20,-0.54749995
2021-03-21,1.03
2021-03-22,2.48
2021-03-23,4.5200005
2021-03-24,5.6275
2021-03-25,6.4325
2021-03-26,9.629999
2021-03-27,7.95
2021-03-28,6.2649994
2021-03-29,9.7825
2021-03-30,11.747499
2021-03-31,12.787499
2021-04-01,14.3575
2021-04-02,12.95
2021-04-03,4.6675
2021-04-04,2.9325
2021-04-05,6.4375
2021-04-06,-2.655
2021-04-07,-2.3
2021-04-08,2.8649998
2021-04-09,5.9
2021-04-10,9.475
2021-04-11,10.15
2021-04-12,10.415
2021-04-13,1.1999999
2021-04-14,2.185
2021-04-15,2.645
2021-04-16,4.535
2021-04-17,4.93
2021-04-18,4.6974998
2021-04-19,5.915
2021-04-20,6.7124996
2021-04-21,8.344999
2021-04-22,10.652499
2021-04-23,9.855
2021-04-24,10.147499
2021-04-25,12.327499
2021-04-26,7.66
2021-04-27,5.8999996
2021-04-28,8.075
2021-04-29,12.539999
2021-04-30,14.965
2021-05-01,16.439999
2021-05-02,12.4775
2021-05-03,6.9724994
2021-05-04,11.537499
2021-05-05,11.41
2021-05-06,6.1225
2021-05-07,8.837501
2021-05-08,9.514999
2021-05-09,14.235
2021-05-10,17.22
2021-05-11,19.197498
2021-05-12,13.259999
2021-05-13,11.924999
2021-05-14,11.76
2021-05-15,12.87
2021-05-16,13.8825
2021-05-17,9.865
2021-05-18,12.8425
2021-05-19,7.565
2021-05-20,11.8575
2021-05-21,13.395
2021-05-22,14.565
2021-05-23,12.1625
2021-05-24,9.95
2021-05-25,11.19
2021-05-26,12.267499
2021-05-27,13.4525
2021-05-28,13.482499
2021-05-29,12.2
2021-05-30,10.04
2021-05-31,12.275
2021-06-01,13.735
2021-06-02,15.907499
2021-06-03,17.314999
2021-06-04,19.0225
2021-06-05,20.464998
2021-06-06,16.982498
2021-06-07,17.22
2021-06-08,17.7925
2021-06-09,18.2675
2021-06-10,17.2725
2021-06-11,17.2775
2021-06-12,19.4625
