time,DE21D
2021-01-01,0.29500002
2021-01-02,0.65749997
2021-01-03,0.27249998
2021-01-04,-0.36249998
2021-01-05,-0.165
2021-01-06,0.32999998
2021-01-07,-0.33499998
2021-01-08,-0.33499998
2021-01-09,-0.79249996
2021-01-10,-1.01
2021-01-11,-1.13
2021-01-12,1.2674999
2021-01-13,1.07
2021-01-14,-0.37
2021-01-15,-1.5400001
2021-01-16,-2.21
2021-01-17,-1.8225
2021-01-18,1.6574999
2021-01-19,2.4225
2021-01-20,3.795
2021-01-21,6.0424995
2021-01-22,3.3549998
2021-01-23,0.67999995
2021-01-24,-0.35
2021-01-25,-2.7925
2021-01-26,-0.059999995
2021-01-27,-0.2125
2021-01-28,0.8575
2021-01-29,3.6925
2021-01-30,0.03999999
2021-01-31,-2.3649998
2021-02-01,0.3425
2021-02-02,3.8925
2021-02-03,7.915
2021-02-04,5.0175
2021-02-05,3.2675
2021-02-06,0.9725
2021-02-07,-5.55
2021-02-08,-8.91
2021-02-09,-13.335
2021-02-10,-12.157499
2021-02-11,-7.62
2021-02-12,-12.36
2021-02-13,-12.785
2021-02-14,-11.122499
2021-02-15,-3.3874998
2021-02-16,2.24
2021-02-17,4.5075
2021-02-18,2.895
2021-02-19,3.7624998
2021-02-20,6.1975
2021-02-21,7.8174996
2021-02-22,6.31
2021-02-23,9.5175
2021-02-24,9.987499
2021-02-25,9.860001
2021-02-26,5.2275
2021-02-27,2.4625
2021-02-28,3.685
2021-03-01,2.735
2021-03-02,4.025
2021-03-03,5.4624996
2021-03-04,3.9649997
2021-03-05,0.67749995
2021-03-06,-1.005
2021-03-07,-0.65
2021-03-08,1.2525
2021-03-09,1.1175
2021-03-10,4.05
2021-03-11,7.1349993
2021-03-12,5.05
2021-03-13,4.3275
2021-03-14,3.665
2021-03-15,3.3874998
2021-03-16,3.2399998
2021-03-17,0.8399999
2021-03-18,0.76
2021-03-19,1.1575
2021-03-20,0.6275
2021-03-21,3.81
2021-03-22,3.55
2021-03-23,4.7925
2021-03-24,6.135
2021-03-25,7.3324995
2021-03-26,9.41
2021-03-27,4.0099998
2021-03-28,6.6849995
2021-03-29,11.96
2021-03-30,11.23
2021-03-31,13.002501
2021-04-01,11.372499
2021-04-02,5.3975
2021-04-03,4.585
2021-04-04,3.6399999
2021-04-05,1.2025
2021-04-06,0.007499993
2021-04-07,0.2925
2021-04-08,1.5525
2021-04-09,5.6475
2021-04-10,6.455
2021-04-11,5.235
2021-04-12,1.9875
2021-04-13,1.5649999
2021-04-14,1.4225
2021-04-15,2.405
2021-04-16,5.3775
2021-04-17,5.11
2021-04-18,7.5625
2021-04-19,7.6025
