time,DE22B
2021-01-01,1.78
2021-01-02,2.65
2021-01-03,1.3599999
2021-01-04,0.56
2021-01-05,1.17
2021-01-06,0.875
2021-01-07,0.205
2021-01-08,0.19
2021-01-09,-0.005
2021-01-10,0.88
2021-01-11,1.835
2021-01-12,3.21
2021-01-13,1.865
2021-01-14,0.385
2021-01-15,-0.67499995
2021-01-16,-1.0899999
2021-01-17,-0.99
2021-01-18,3.1599998
2021-01-19,5.035
2021-01-20,6.9049997
2021-01-21,7.6949997
2021-01-22,4.8549995
2021-01-23,1.765
2021-01-24,1.0749999
2021-01-25,-0.435
2021-01-26,0.55999994
2021-01-27,1.395
2021-01-28,2.32
2021-01-29,2.79
2021-01-30,-0.90999997
2021-01-31,-3.0949998
2021-02-01,-0.51
2021-02-02,2.24
2021-02-03,7.68
2021-02-04,5.535
2021-02-05,2.46
2021-02-06,-0.7
2021-02-07,-5.825
2021-02-08,-8.48
2021-02-09,-10.92
2021-02-10,-8.68
2021-02-11,-7.1449995
2021-02-12,-10.49
2021-02-13,-12.879999
2021-02-14,-9.54
2021-02-15,-0.675
2021-02-16,4.08
2021-02-17,6.3599997
2021-02-18,6.9399996
2021-02-19,7.015
2021-02-20,9.915
2021-02-21,11.035
2021-02-22,10.74
2021-02-23,12.7
2021-02-24,13.905
2021-02-25,11.75
2021-02-26,6.9849997
2021-02-27,4.0699997
2021-02-28,3.9199998
2021-03-01,3.37
2021-03-02,4.26
2021-03-03,6.465
2021-03-04,2.73
2021-03-05,0.88
2021-03-06,0.715
2021-03-07,1.5899999
2021-03-08,2.445
2021-03-09,1.65
2021-03-10,4.895
2021-03-11,7.7749996
2021-03-12,6.05
2021-03-13,5.395
2021-03-14,5.0
2021-03-15,4.4849997
2021-03-16,4.24
2021-03-17,2.84
2021-03-18,1.095
2021-03-19,1.73
2021-03-20,1.06
2021-03-21,4.955
2021-03-22,5.26
2021-03-23,6.075
2021-03-24,6.9849997
2021-03-25,7.865
2021-03-26,10.709999
2021-03-27,5.46
2021-03-28,7.875
2021-03-29,13.525
2021-03-30,12.545
2021-03-31,13.469999
2021-04-01,10.71
2021-04-02,5.3999996
2021-04-03,6.22
2021-04-04,4.745
2021-04-05,2.645
2021-04-06,0.96999997
2021-04-07,1.4649999
2021-04-08,2.9699998
2021-04-09,6.7749996
2021-04-10,6.265
2021-04-11,6.1049995
2021-04-12,3.205
2021-04-13,3.3049998
2021-04-14,2.34
2021-04-15,3.9199998
2021-04-16,6.435
2021-04-17,6.435
2021-04-18,8.87
2021-04-19,9.344999
2021-04-20,10.059999
2021-04-21,8.245
2021-04-22,6.5649996
2021-04-23,7.29
2021-04-24,6.335
2021-04-25,5.1049995
2021-04-26,5.665
2021-04-27,6.9399996
2021-04-28,10.69
2021-04-29,10.075
2021-04-30,7.96
2021-05-01,8.504999
2021-05-02,6.14
2021-05-03,7.5199995
2021-05-04,9.4
2021-05-05,6.6899996
2021-05-06,6.05
2021-05-07,6.3549995
2021-05-08,9.174999
2021-05-09,19.585
2021-05-10,19.14
2021-05-11,13.91
2021-05-12,13.014999
2021-05-13,12.93
2021-05-14,11.43
2021-05-15,10.190001
2021-05-16,11.674999
2021-05-17,10.469999
2021-05-18,10.455
2021-05-19,9.719999
2021-05-20,11.584999
2021-05-21,13.705
2021-05-22,10.165
2021-05-23,10.264999
2021-05-24,12.99
2021-05-25,9.67
2021-05-26,10.73
2021-05-27,10.254999
2021-05-28,11.805
2021-05-29,10.2
2021-05-30,13.304999
2021-05-31,14.975
2021-06-01,15.865
2021-06-02,18.975
2021-06-03,18.305
2021-06-04,19.939999
2021-06-05,18.705
2021-06-06,16.14
2021-06-07,16.239998
2021-06-08,17.645
2021-06-09,19.68
2021-06-10,19.2
2021-06-11,19.805
2021-06-12,17.505001
2021-06-13,14.815
2021-06-14,18.43
2021-06-15,17.599998
2021-06-16,20.705
2021-06-17,25.54
2021-06-18,24.77
2021-06-19,24.15
2021-06-20,22.41
2021-06-21,18.199999
2021-06-22,14.75
2021-06-23,15.62
2021-06-24,16.555
2021-06-25,17.185
2021-06-26,18.785
2021-06-27,20.055
2021-06-28,21.154999
2021-06-29,19.744999
2021-06-30,17.15
