time,AT225
2021-01-01,10.95
2021-01-02,12.084999
2021-01-03,11.815
2021-01-04,10.18
2021-01-05,10.575
2021-01-06,13.28
2021-01-07,12.209999
2021-01-08,13.04
2021-01-09,10.54
2021-01-10,11.4
2021-01-11,11.77
2021-01-12,11.18
2021-01-13,9.389999
2021-01-14,6.9849997
2021-01-15,7.45
2021-01-16,6.24
2021-01-17,3.87
2021-01-18,5.465
2021-01-19,5.7799997
2021-01-20,9.09
2021-01-21,15.355
2021-01-22,15.805
2021-01-23,13.635
2021-01-24,12.51
2021-01-25,9.59
2021-01-26,7.095
2021-01-27,6.1049995
2021-01-28,9.67
2021-01-29,11.93
2021-01-30,14.635
2021-01-31,14.119999
2021-02-01,12.24
2021-02-02,13.91
2021-02-03,15.389999
2021-02-04,13.34
2021-02-05,16.055
2021-02-06,16.48
2021-02-07,15.865
2021-02-08,13.775
2021-02-09,12.75
2021-02-10,13.414999
2021-02-11,14.725
2021-02-12,7.3149996
2021-02-13,6.2749996
2021-02-14,3.385
2021-02-15,4.7599998
2021-02-16,3.585
2021-02-17,5.6549997
2021-02-18,8.885
2021-02-19,9.95
2021-02-20,11.7699995
2021-02-21,12.405
2021-02-22,14.02
2021-02-23,10.715
2021-02-24,13.724999
2021-02-25,14.155
2021-02-26,12.66
2021-02-27,11.15
2021-02-28,11.535
2021-03-01,12.809999
2021-03-02,13.639999
2021-03-03,14.715
2021-03-04,12.245
2021-03-05,11.03
2021-03-06,10.17
2021-03-07,9.035
2021-03-08,11.33
2021-03-09,11.705
2021-03-10,11.309999
2021-03-11,9.889999
2021-03-12,12.945
2021-03-13,15.845
2021-03-14,14.325
2021-03-15,10.84
2021-03-16,9.99
2021-03-17,9.495
2021-03-18,8.940001
2021-03-19,8.99
2021-03-20,9.719999
2021-03-21,9.98
2021-03-22,8.889999
2021-03-23,8.809999
2021-03-24,9.305
2021-03-25,9.860001
2021-03-26,10.77
2021-03-27,12.69
2021-03-28,15.075
2021-03-29,14.285
2021-03-30,15.0
2021-03-31,16.21
2021-04-01,17.849998
2021-04-02,14.6449995
2021-04-03,16.115
2021-04-04,13.055
2021-04-05,11.344999
2021-04-06,11.709999
