time,NO092
2021-08-12,16.939999
2021-08-13,17.9725
2021-08-14,20.59333
2021-08-15,20.049166
2021-08-16,20.503334
2021-08-17,17.835
2021-08-18,14.892499
2021-08-19,16.420832
2021-08-20,17.488333
2021-08-21,16.431667
2021-08-22,14.749999
2021-08-23,15.429999
2021-08-24,12.979165
2021-08-25,12.44
2021-08-26,13.002499
2021-08-27,14.631665
2021-08-28,14.685
2021-08-29,14.685833
2021-08-30,15.028333
2021-08-31,14.6525
2021-09-01,14.162501
2021-09-02,13.079999
2021-09-03,13.341667
2021-09-04,10.578334
2021-09-05,9.023334
2021-09-06,10.418332
2021-09-07,13.778335
2021-09-08,14.429999
2021-09-09,16.905832
2021-09-10,17.103334
2021-09-11,16.5975
2021-09-12,16.686666
2021-09-13,15.640832
2021-09-14,13.347497
2021-09-15,13.639999
2021-09-16,13.639167
2021-09-17,13.597499
2021-09-18,9.235833
2021-09-19,7.144999
2021-09-20,6.2400002
2021-09-21,7.2691665
2021-09-22,8.0025
2021-09-23,9.475833
2021-09-24,11.093333
2021-09-25,13.02
2021-09-26,12.973332
2021-09-27,10.950833
2021-09-28,10.454166
2021-09-29,10.681666
2021-09-30,9.277499
2021-10-01,10.311667
2021-10-02,10.9975
2021-10-03,13.208335
2021-10-04,12.9225
2021-10-05,13.796666
2021-10-06,13.365833
2021-10-07,10.191667
2021-10-08,6.4716663
2021-10-09,6.2274995
2021-10-10,6.5641656
2021-10-11,5.3108335
2021-10-12,6.6433334
2021-10-13,5.1299996
2021-10-14,5.9191666
2021-10-15,9.605832
2021-10-16,8.578334
2021-10-17,7.7825
2021-10-18,6.796667
2021-10-19,5.920833
2021-10-20,12.034165
2021-10-21,13.125
2021-10-22,8.530833
2021-10-23,6.025833
2021-10-24,4.4158335
2021-10-25,5.1849995
2021-10-26,5.656667
2021-10-27,8.975833
2021-10-28,11.543334
2021-10-29,10.213333
2021-10-30,9.8975
2021-10-31,10.870834
2021-11-01,7.886666
2021-11-02,5.4675
2021-11-03,7.056667
2021-11-04,6.6824994
2021-11-05,8.405832
2021-11-06,7.1075006
2021-11-07,6.973333
2021-11-08,5.3941665
2021-11-09,1.5124999
2021-11-10,4.770833
2021-11-11,4.2199993
2021-11-12,5.799167
2021-11-13,3.3041666
2021-11-14,4.175
2021-11-15,3.0141668
2021-11-16,3.4625003
2021-11-17,2.4824998
2021-11-18,4.6341662
2021-11-19,8.121666
2021-11-20,8.533334
2021-11-21,6.3658333
2021-11-22,1.5341663
2021-11-23,0.74333334
2021-11-24,3.1050003
2021-11-25,3.805
2021-11-26,3.1008332
2021-11-27,1.6524998
2021-11-28,0.5758334
2021-11-29,0.91749996
2021-11-30,-0.5566666
2021-12-01,-1.1966667
2021-12-02,3.5149996
2021-12-03,-0.06916667
2021-12-04,-0.64666665
2021-12-05,-1.135
2021-12-06,-4.2566667
2021-12-07,-8.175834
2021-12-08,-8.671667
2021-12-09,-6.859167
2021-12-10,-1.0708333
2021-12-11,0.61416656
2021-12-12,-1.63
2021-12-13,-2.8791668
2021-12-14,-1.9508332
2021-12-15,1.4791666
2021-12-16,4.7308335
2021-12-17,2.4783332
2021-12-18,2.015
2021-12-19,1.5533333
2021-12-20,-2.3091664
2021-12-21,-6.4249997
2021-12-22,-9.176666
2021-12-23,-7.3216662
2021-12-24,-2.5191667
2021-12-25,-4.568333
2021-12-26,-6.3266664
2021-12-27,-7.651666
2021-12-28,-8.365834
2021-12-29,-6.8658333
2021-12-30,-2.4158332
2021-12-31,3.8216667
