time,FRI13
2021-01-01,-0.7521429
2021-01-02,0.9014285
2021-01-03,0.5092857
2021-01-04,0.73857147
2021-01-05,0.8485714
2021-01-06,0.7592856
2021-01-07,0.62714285
2021-01-08,0.7764286
2021-01-09,0.49142858
2021-01-10,0.027142854
2021-01-11,-1.2149999
2021-01-12,0.1207143
2021-01-13,0.88785714
2021-01-14,0.11357143
2021-01-15,-0.77357143
2021-01-16,-3.1071427
2021-01-17,-5.588571
2021-01-18,-6.8228574
2021-01-19,0.6542857
2021-01-20,4.7842855
2021-01-21,6.566428
2021-01-22,7.7935715
2021-01-23,2.8921428
2021-01-24,0.63499993
2021-01-25,0.8214285
2021-01-26,0.3742857
2021-01-27,0.76142853
2021-01-28,0.5585714
2021-01-29,-1.6742857
2021-01-30,-2.1564286
2021-01-31,-5.255
2021-02-01,-6.2842855
2021-02-02,-0.19857143
2021-02-03,5.35
2021-02-04,3.1357143
2021-02-05,-0.122857146
2021-02-06,-1.602857
2021-02-07,-6.253571
2021-02-08,-9.079286
2021-02-09,-9.350714
2021-02-10,-9.044286
2021-02-11,-7.9021425
2021-02-12,-9.250715
2021-02-13,-5.87
2021-02-14,-6.2828565
2021-02-15,-6.2221427
2021-02-16,-0.7814285
2021-02-17,3.2442856
2021-02-18,5.3499994
2021-02-19,4.998571
2021-02-20,5.230714
2021-02-21,6.800714
2021-02-22,5.057143
2021-02-23,8.172143
2021-02-24,11.145714
2021-02-25,11.500714
2021-02-26,7.7092857
2021-02-27,5.414286
2021-02-28,4.3849998
2021-03-01,4.206429
2021-03-02,5.262857
2021-03-03,7.0135717
2021-03-04,5.339286
2021-03-05,1.3185713
2021-03-06,1.15
2021-03-07,2.5671427
2021-03-08,1.3071429
2021-03-09,-0.17714286
2021-03-10,0.85714287
2021-03-11,3.6657143
2021-03-12,6.8871427
2021-03-13,6.4585714
2021-03-14,5.1307144
2021-03-15,4.315
2021-03-16,3.700714
2021-03-17,2.922857
2021-03-18,0.81785715
2021-03-19,0.6628571
2021-03-20,-1.6650001
2021-03-21,2.732143
2021-03-22,3.9007144
2021-03-23,4.9592857
2021-03-24,6.7664285
2021-03-25,7.875714
2021-03-26,10.570715
2021-03-27,8.554285
2021-03-28,6.523571
2021-03-29,12.089286
2021-03-30,15.041429
2021-03-31,15.024285
2021-04-01,13.320714
2021-04-02,7.3221426
2021-04-03,5.3328576
2021-04-04,4.2914286
2021-04-05,4.465714
2021-04-06,2.117857
2021-04-07,3.0671427
2021-04-08,4.3885713
2021-04-09,6.501429
2021-04-10,6.812143
2021-04-11,12.415
2021-04-12,7.1099997
2021-04-13,4.8964286
2021-04-14,4.2485714
2021-04-15,2.932857
2021-04-16,4.3492856
2021-04-17,6.344285
2021-04-18,7.9185715
2021-04-19,10.14857
2021-04-20,10.754999
2021-04-21,11.155
2021-04-22,7.987857
2021-04-23,7.5078573
2021-04-24,7.8185706
2021-04-25,5.8414283
2021-04-26,4.169286
2021-04-27,5.573571
2021-04-28,9.822856
2021-04-29,11.830714
2021-04-30,8.951428
2021-05-01,8.060714
2021-05-02,7.6192856
2021-05-03,7.1621423
2021-05-04,9.642858
2021-05-05,10.667856
2021-05-06,8.19
2021-05-07,6.605
2021-05-08,8.775714
2021-05-09,16.28857
2021-05-10,19.867855
2021-05-11,22.365713
2021-05-12,18.696428
2021-05-13,13.782857
2021-05-14,11.883571
2021-05-15,12.671428
2021-05-16,13.624286
2021-05-17,13.072143
2021-05-18,12.854285
2021-05-19,12.142142
2021-05-20,11.572856
2021-05-21,14.057142
2021-05-22,13.577142
2021-05-23,12.492857
2021-05-24,13.982142
2021-05-25,13.43357
2021-05-26,11.277857
2021-05-27,11.384286
2021-05-28,11.779286
2021-05-29,11.631429
2021-05-30,11.808571
2021-05-31,13.678572
2021-06-01,15.443571
2021-06-02,17.256428
2021-06-03,17.940714
2021-06-04,17.72
2021-06-05,20.012857
2021-06-06,20.191427
2021-06-07,20.491428
2021-06-08,20.679287
2021-06-09,19.608572
2021-06-10,19.902857
2021-06-11,20.984285
2021-06-12,18.762142
2021-06-13,13.697143
2021-06-14,17.045713
2021-06-15,20.027859
2021-06-16,20.489285
2021-06-17,24.569284
2021-06-18,25.738571
2021-06-19,27.161428
2021-06-20,27.712856
2021-06-21,26.558573
2021-06-22,20.259287
2021-06-23,18.507141
2021-06-24,17.957857
2021-06-25,17.695715
2021-06-26,19.379286
2021-06-27,20.472141
2021-06-28,22.391428
2021-06-29,23.220713
2021-06-30,20.339998
2021-07-01,17.625713
2021-07-02,18.598572
2021-07-03,18.747143
2021-07-04,20.515715
2021-07-05,19.977858
2021-07-06,22.316427
2021-07-07,20.567142
2021-07-08,18.382856
2021-07-09,20.509287
2021-07-10,19.447857
2021-07-11,21.177141
2021-07-12,21.082855
2021-07-13,23.178572
2021-07-14,22.625
2021-07-15,22.192858
2021-07-16,23.599285
2021-07-17,22.745714
2021-07-18,22.066427
2021-07-19,19.08357
2021-07-20,17.663572
2021-07-21,18.057858
2021-07-22,19.55
2021-07-23,20.330715
2021-07-24,22.497854
2021-07-25,22.026428
2021-07-26,22.84357
2021-07-27,22.523571
2021-07-28,21.654999
2021-07-29,20.348572
2021-07-30,19.692142
2021-07-31,21.369999
2021-08-01,17.517857
2021-08-02,17.567858
2021-08-03,17.005714
2021-08-04,17.687143
2021-08-05,17.304285
2021-08-06,18.649286
2021-08-07,19.795
2021-08-08,20.027857
2021-08-09,18.319998
2021-08-10,18.229284
2021-08-11,18.445713
2021-08-12,19.347141
2021-08-13,22.357143
2021-08-14,22.897858
2021-08-15,21.137857
2021-08-16,21.65643
2021-08-17,16.7
2021-08-18,16.606428
2021-08-19,18.469286
2021-08-20,18.550714
2021-08-21,18.399286
2021-08-22,18.902143
2021-08-23,15.997857
2021-08-24,16.129286
2021-08-25,14.982142
2021-08-26,15.159999
2021-08-27,13.598571
2021-08-28,15.048571
2021-08-29,15.554285
2021-08-30,15.122857
2021-08-31,16.101429
2021-09-01,16.315
2021-09-02,16.776428
2021-09-03,16.624998
2021-09-04,15.714998
2021-09-05,15.55
2021-09-06,16.198572
2021-09-07,17.36143
2021-09-08,17.707142
2021-09-09,19.006428
2021-09-10,20.740713
2021-09-11,19.449284
2021-09-12,18.893572
2021-09-13,17.455715
2021-09-14,16.370714
2021-09-15,18.238571
2021-09-16,18.257143
2021-09-17,15.227142
2021-09-18,13.366429
2021-09-19,11.684285
2021-09-20,11.791429
2021-09-21,12.122857
2021-09-22,12.499285
2021-09-23,14.696428
2021-09-24,15.384999
2021-09-25,17.23643
2021-09-26,18.532858
2021-09-27,16.870714
2021-09-28,16.012857
2021-09-29,14.11
2021-09-30,11.428572
2021-10-01,11.099286
2021-10-02,13.662857
2021-10-03,16.231428
2021-10-04,15.501428
2021-10-05,16.930714
2021-10-06,13.896428
2021-10-07,12.256429
2021-10-08,10.412142
2021-10-09,8.106428
2021-10-10,6.537857
2021-10-11,6.297857
2021-10-12,8.084285
2021-10-13,6.949285
2021-10-14,8.482142
2021-10-15,11.659999
2021-10-16,7.866429
2021-10-17,9.627143
2021-10-18,10.629999
2021-10-19,12.157857
2021-10-20,16.411428
2021-10-21,14.331429
2021-10-22,8.524285
2021-10-23,7.0842857
2021-10-24,5.576428
2021-10-25,6.9578576
2021-10-26,8.787857
2021-10-27,10.560715
2021-10-28,10.176428
2021-10-29,9.160001
2021-10-30,9.717142
2021-10-31,12.672856
2021-11-01,10.383571
2021-11-02,8.480714
2021-11-03,7.4357142
2021-11-04,7.9928565
2021-11-05,7.4071426
2021-11-06,8.235715
2021-11-07,7.163571
2021-11-08,7.3414283
2021-11-09,7.360714
2021-11-10,4.497857
2021-11-11,4.2235713
2021-11-12,5.000714
2021-11-13,5.548571
2021-11-14,4.661428
2021-11-15,4.6064286
2021-11-16,5.0750003
2021-11-17,4.565
2021-11-18,6.98
