time,PL217
2021-01-01,5.1915383
2021-01-02,6.8207693
2021-01-03,5.008461
2021-01-04,5.393845
2021-01-05,1.5907693
2021-01-06,-1.106154
2021-01-07,1.5238461
2021-01-08,-0.55692303
2021-01-09,0.7176923
2021-01-10,1.8815383
2021-01-11,2.046
2021-01-12,4.7459993
2021-01-13,3.925
2021-01-14,3.9484618
2021-01-15,0.42461526
2021-01-16,-4.778461
2021-01-17,1.1876924
2021-01-18,-0.90923077
2021-01-19,-0.9815385
2021-01-20,-1.1123077
2021-01-21,0.4992308
2021-01-22,-0.65076923
2021-01-23,-4.0559998
2021-01-24,1.7715385
2021-01-25,2.0276923
2021-01-26,-1.0676924
2021-01-27,2.816923
2021-01-28,4.160769
2021-01-29,3.4915385
2021-01-30,2.9584615
2021-01-31,4.150769
2021-02-01,6.173077
2021-02-02,6.751538
2021-02-03,7.8923078
2021-02-04,6.897692
2021-02-05,3.8015382
2021-02-06,6.536923
2021-02-07,8.818461
2021-02-08,4.5061536
2021-02-09,7.7069225
2021-02-10,6.0353847
2021-02-11,3.5399997
2021-02-12,0.11769236
2021-02-13,-8.7699995
2021-02-14,-6.5676923
2021-02-15,-2.9169233
2021-02-16,-0.3576923
2021-02-17,0.13230766
2021-02-18,-2.1223073
2021-02-19,-2.961
2021-02-20,-5.272308
2021-02-21,0.27384612
2021-02-22,0.3707693
2021-02-23,10.918462
2021-02-24,7.0007696
2021-02-25,2.412
2021-02-26,7.24
2021-02-27,0.7807693
2021-02-28,-0.25538465
2021-03-01,0.68230766
2021-03-02,3.3530767
2021-03-03,0.98692316
2021-03-04,4.88
2021-03-05,2.4453845
2021-03-06,0.24769244
2021-03-07,4.4515386
2021-03-08,3.7453845
2021-03-09,1.1384615
2021-03-10,0.6161537
2021-03-11,0.43846157
2021-03-12,-4.946
2021-03-13,-4.5023074
2021-03-14,-2.153077
2021-03-15,1.3184615
2021-03-16,1.0430768
2021-03-17,5.0453844
2021-03-18,1.6138463
2021-03-19,0.028461566
2021-03-20,-2.6953845
2021-03-21,0.41153854
2021-03-22,0.5553847
2021-03-23,-6.17
2021-03-24,-1.9653844
2021-03-25,-1.7092309
2021-03-26,0.24769244
2021-03-27,-0.41153848
2021-03-28,-3.6953845
2021-03-29,-0.5376923
2021-03-30,-0.47307694
2021-03-31,1.17
2021-04-01,3.6515384
2021-04-02,2.528
2021-04-03,0.858
2021-04-04,1.3569229
2021-04-05,6.1792307
2021-04-06,5.1876917
2021-04-07,6.150769
2021-04-08,3.7749996
2021-04-09,3.8846154
2021-04-10,1.6300002
2021-04-11,1.4653846
2021-04-12,6.123077
2021-04-13,1.4607692
2021-04-14,2.8346152
2021-04-15,5.0
2021-04-16,7.893077
2021-04-17,10.723077
2021-04-18,10.877691
2021-04-19,12.471539
2021-04-20,9.086923
2021-04-21,9.055384
2021-04-22,6.0330777
2021-04-23,5.7515388
2021-04-24,8.191539
2021-04-25,10.000769
2021-04-26,11.085383
2021-04-27,6.018461
2021-04-28,10.724615
2021-04-29,12.723077
2021-04-30,10.342307
2021-05-01,13.663845
2021-05-02,11.393846
2021-05-03,14.80923
2021-05-04,13.484614
2021-05-05,7.9484615
2021-05-06,9.106154
2021-05-07,10.691538
2021-05-08,10.875385
2021-05-09,14.483846
2021-05-10,9.845385
2021-05-11,11.663076
2021-05-12,10.352306
2021-05-13,11.728
2021-05-14,12.4738455
2021-05-15,11.788
2021-05-16,12.039231
2021-05-17,11.707692
2021-05-18,11.240769
2021-05-19,10.165384
2021-05-20,11.587691
2021-05-21,16.082308
2021-05-22,15.060767
2021-05-23,10.883076
2021-05-24,13.15923
2021-05-25,12.873846
2021-05-26,11.300001
2021-05-27,14.168462
2021-05-28,11.359231
2021-05-29,12.092307
2021-05-30,7.095
2021-05-31,10.638462
2021-06-01,10.219
2021-06-02,13.958
2021-06-03,13.353999
2021-06-04,16.369999
2021-06-05,12.3810005
2021-06-06,10.622999
2021-06-07,7.685
2021-06-08,10.861001
2021-06-09,14.358
2021-06-10,13.505
2021-06-11,13.908
2021-06-12,13.43
2021-06-13,10.584
2021-06-14,16.036
2021-06-15,17.793
2021-06-16,16.388998
2021-06-17,14.220999
2021-06-18,17.766
2021-06-19,19.016
2021-06-20,22.522
2021-06-21,20.860998
2021-06-22,19.764
2021-06-23,16.699999
2021-06-24,15.528999
2021-06-25,14.297
2021-06-26,14.684
2021-06-27,17.523998
2021-06-28,15.9
2021-06-29,17.446
2021-06-30,16.836
2021-07-01,18.87
2021-07-02,18.072
2021-07-03,18.956
2021-07-04,20.253
2021-07-05,19.097
2021-07-06,19.143002
2021-07-07,21.719
2021-07-08,22.011
2021-07-09,17.845999
2021-07-10,19.047
2021-07-11,19.458998
2021-07-12,21.629002
2021-07-13,22.352001
2021-07-14,18.543003
2021-07-15,21.057999
2021-07-16,17.225998
2021-07-17,19.605999
2021-07-18,22.893
2021-07-19,20.019001
2021-07-20,21.663
2021-07-21,19.677
2021-07-22,14.917
2021-07-23,13.201999
2021-07-24,17.337002
2021-07-25,17.835
2021-07-26,23.627
2021-07-27,24.328999
2021-07-28,21.538
2021-07-29,17.415998
2021-07-30,18.494999
2021-07-31,20.684
2021-08-01,19.318
2021-08-02,20.057
2021-08-03,19.698002
2021-08-04,19.203
2021-08-05,20.718
2021-08-06,22.709002
2021-08-07,25.509998
2021-08-08,22.3125
2021-08-09,21.472
2021-08-10,19.443
2021-08-11,18.379
2021-08-12,20.464
2021-08-13,20.926
2021-08-14,18.745998
2021-08-15,19.156
2021-08-16,19.887
