time,ITH54
2021-08-23,14.764
2021-08-24,14.959999
2021-08-25,13.85
2021-08-26,12.955999
2021-08-27,12.2
2021-08-28,11.629999
2021-08-29,12.462
2021-08-30,12.421999
2021-08-31,12.699999
2021-09-01,12.323999
2021-09-02,12.3
2021-09-03,11.474001
2021-09-04,12.306
2021-09-05,13.948
2021-09-06,16.425999
2021-09-07,17.693998
2021-09-08,16.528
2021-09-09,14.436
2021-09-10,15.782
2021-09-11,15.67
2021-09-12,11.292
2021-09-13,11.94
2021-09-14,13.1380005
2021-09-15,13.658
2021-09-16,13.236
2021-09-17,14.5199995
2021-09-18,13.194
2021-09-19,13.745999
2021-09-20,10.705999
2021-09-21,13.679998
2021-09-22,14.936
2021-09-23,13.24
2021-09-24,14.845999
2021-09-25,14.323999
2021-09-26,16.762
2021-09-27,11.802
2021-09-28,9.282
2021-09-29,8.628
2021-09-30,8.443999
2021-10-01,10.181999
2021-10-02,8.51
2021-10-03,8.078
2021-10-04,9.632001
2021-10-05,6.022
2021-10-06,8.983999
2021-10-07,13.4279995
2021-10-08,15.37
2021-10-09,13.26
2021-10-10,9.395999
2021-10-11,9.836
2021-10-12,9.294001
2021-10-13,11.304
2021-10-14,11.636
2021-10-15,6.25
2021-10-16,7.0059996
2021-10-17,9.275999
2021-10-18,11.598001
2021-10-19,12.673999
2021-10-20,10.44
2021-10-21,5.1499996
2021-10-22,7.032
2021-10-23,7.496
2021-10-24,12.038
2021-10-25,8.65
2021-10-26,8.466001
2021-10-27,12.982
2021-10-28,11.018001
2021-10-29,9.037999
2021-10-30,7.558
2021-10-31,5.234
2021-11-01,6.05
2021-11-02,6.22
2021-11-03,5.2419996
2021-11-04,4.48
2021-11-05,7.16
2021-11-06,10.119999
2021-11-07,7.9020004
2021-11-08,7.2939997
2021-11-09,10.598001
2021-11-10,5.516
2021-11-11,7.046
2021-11-12,8.544
2021-11-13,8.542
2021-11-14,8.03
2021-11-15,9.208
2021-11-16,7.502
2021-11-17,5.1099997
2021-11-18,10.4800005
2021-11-19,13.13
2021-11-20,10.226
2021-11-21,4.2939997
2021-11-22,4.368
2021-11-23,5.6259995
2021-11-24,5.338
2021-11-25,2.4959998
2021-11-26,3.3400002
2021-11-27,1.528
2021-11-28,0.804
2021-11-29,2.2059999
2021-11-30,6.62
2021-12-01,4.518
2021-12-02,0.94400007
2021-12-03,3.2760003
2021-12-04,2.7099998
2021-12-05,3.25
2021-12-06,0.642
2021-12-07,1.5539999
2021-12-08,3.956
2021-12-09,2.598
2021-12-10,1.486
2021-12-11,2.5879998
2021-12-12,5.2639995
2021-12-13,5.2499995
2021-12-14,5.246
2021-12-15,8.816
2021-12-16,7.572
2021-12-17,4.562
2021-12-18,1.808
2021-12-19,1.588
2021-12-20,2.924
2021-12-21,1.882
2021-12-22,0.658
2021-12-23,2.948
2021-12-24,3.0820003
2021-12-25,0.778
2021-12-26,2.3399997
2021-12-27,3.464
2021-12-28,2.932
2021-12-29,2.3119998
2021-12-30,9.067999
2021-12-31,7.6419997
