time,FRF31
2021-01-01,-0.81
2021-01-02,0.28
2021-01-03,2.62
2021-01-04,3.22
2021-01-05,1.76
2021-01-06,0.48999998
2021-01-07,0.53
2021-01-08,0.65
2021-01-09,-0.71
2021-01-10,-0.51
2021-01-11,-2.09
2021-01-12,-1.4
2021-01-13,-0.38
2021-01-14,-0.55
2021-01-15,-2.9199998
2021-01-16,-4.5099998
2021-01-17,-9.139999
2021-01-18,-11.49
2021-01-19,-2.04
2021-01-20,3.9099998
2021-01-21,4.5899997
2021-01-22,6.02
2021-01-23,6.74
2021-01-24,2.26
2021-01-25,0.02
2021-01-26,-0.31
2021-01-27,-0.87
2021-01-28,-1.67
2021-01-29,-0.45
2021-01-30,0.45
2021-01-31,-6.25
2021-02-01,-6.97
2021-02-02,-1.56
2021-02-03,4.98
2021-02-04,4.38
2021-02-05,0.38
2021-02-06,-1.01
2021-02-07,-4.85
2021-02-08,-7.2
2021-02-09,-8.51
2021-02-10,-6.71
2021-02-11,-8.679999
2021-02-12,-10.9
2021-02-13,-6.39
2021-02-14,-4.4
2021-02-15,-7.1
2021-02-16,-4.72
2021-02-17,1.12
2021-02-18,2.8799999
2021-02-19,2.52
2021-02-20,2.6699998
2021-02-21,3.31
2021-02-22,5.12
2021-02-23,4.58
2021-02-24,9.389999
2021-02-25,9.44
2021-02-26,8.94
2021-02-27,5.5699997
2021-02-28,4.88
2021-03-01,3.57
2021-03-02,5.21
2021-03-03,7.2999997
2021-03-04,6.52
2021-03-05,2.62
2021-03-06,0.34
2021-03-07,1.38
2021-03-08,0.48999998
2021-03-09,-1.37
2021-03-10,-0.84
2021-03-11,0.14
2021-03-12,6.46
2021-03-13,6.58
2021-03-14,6.99
2021-03-15,4.8599997
2021-03-16,2.22
2021-03-17,3.49
2021-03-18,1.75
2021-03-19,-0.13
2021-03-20,-2.33
2021-03-21,-2.48
2021-03-22,1.79
2021-03-23,3.1
2021-03-24,8.83
2021-03-25,7.0699997
2021-03-26,9.0
2021-03-27,13.09
2021-03-28,5.85
2021-03-29,8.11
2021-03-30,14.11
2021-03-31,14.08
2021-04-01,14.46
2021-04-02,9.13
2021-04-03,4.49
2021-04-04,3.6399999
2021-04-05,6.5299997
2021-04-06,6.2999997
2021-04-07,5.85
2021-04-08,2.4099998
2021-04-09,5.45
2021-04-10,10.429999
2021-04-11,10.05
2021-04-12,8.23
2021-04-13,2.76
2021-04-14,3.25
2021-04-15,1.9399999
2021-04-16,2.6299999
2021-04-17,3.84
2021-04-18,6.94
2021-04-19,8.059999
2021-04-20,8.46
2021-04-21,10.059999
2021-04-22,7.62
2021-04-23,5.1
2021-04-24,7.37
2021-04-25,5.97
2021-04-26,3.86
2021-04-27,4.89
2021-04-28,8.72
2021-04-29,11.61
2021-04-30,14.099999
2021-05-01,10.57
2021-05-02,9.04
2021-05-03,7.46
2021-05-04,10.08
2021-05-05,11.969999
2021-05-06,8.58
2021-05-07,9.889999
2021-05-08,7.8799996
2021-05-09,13.08
