time,ITI1A
2021-08-20,21.570831
2021-08-21,23.786667
2021-08-22,23.338333
2021-08-23,25.203333
2021-08-24,26.553335
2021-08-25,25.746666
2021-08-26,23.514166
2021-08-27,23.9425
2021-08-28,23.370834
2021-08-29,23.350836
2021-08-30,22.670832
2021-08-31,20.3625
2021-09-01,20.615831
2021-09-02,21.2675
2021-09-03,19.285
2021-09-04,21.140833
2021-09-05,23.053335
2021-09-06,21.540833
2021-09-07,20.273333
2021-09-08,19.289167
2021-09-09,19.704168
2021-09-10,20.48
2021-09-11,21.171667
2021-09-12,20.816666
2021-09-13,20.525
2021-09-14,21.348333
2021-09-15,22.883331
2021-09-16,22.565
2021-09-17,25.235
2021-09-18,23.7875
2021-09-19,23.055832
2021-09-20,21.510834
2021-09-21,18.019999
2021-09-22,14.4158325
2021-09-23,14.4425
2021-09-24,14.398334
2021-09-25,18.314165
2021-09-26,20.524166
2021-09-27,20.830833
2021-09-28,19.311666
2021-09-29,17.477499
2021-09-30,17.579166
2021-10-01,17.290833
2021-10-02,15.325833
2021-10-03,13.883334
2021-10-04,15.374166
2021-10-05,14.749166
2021-10-06,14.2683325
2021-10-07,16.4325
2021-10-08,15.7283325
2021-10-09,14.529999
2021-10-10,15.308333
2021-10-11,13.6375
2021-10-12,13.905
2021-10-13,14.415
2021-10-14,11.475833
2021-10-15,11.6208315
2021-10-16,12.695
2021-10-17,14.419167
2021-10-18,13.897499
2021-10-19,13.5
2021-10-20,13.391665
2021-10-21,13.6033325
2021-10-22,16.655
2021-10-23,16.978333
2021-10-24,14.43
2021-10-25,10.1241665
2021-10-26,12.024999
2021-10-27,11.2625
2021-10-28,12.1925
2021-10-29,12.988334
2021-10-30,13.696667
2021-10-31,12.839168
2021-11-01,13.491666
2021-11-02,14.909167
2021-11-03,14.3083315
2021-11-04,18.76
2021-11-05,20.7725
2021-11-06,17.851667
2021-11-07,15.700832
2021-11-08,15.619166
2021-11-09,13.830833
2021-11-10,8.279166
2021-11-11,9.310833
2021-11-12,8.908333
2021-11-13,11.185
2021-11-14,14.099999
2021-11-15,11.1325
2021-11-16,12.296666
2021-11-17,9.89
2021-11-18,8.7475
2021-11-19,9.029166
2021-11-20,10.979167
2021-11-21,9.168333
2021-11-22,11.350833
2021-11-23,10.659166
2021-11-24,8.429999
2021-11-25,8.713333
2021-11-26,8.889999
2021-11-27,14.071667
2021-11-28,14.3175
2021-11-29,13.2283325
2021-11-30,6.6525
2021-12-01,6.6275
2021-12-02,8.105
2021-12-03,11.034167
2021-12-04,8.212501
2021-12-05,7.661667
2021-12-06,7.5416665
2021-12-07,9.97
2021-12-08,8.709167
2021-12-09,8.108334
2021-12-10,11.402499
2021-12-11,10.5008335
2021-12-12,12.075
2021-12-13,8.675834
2021-12-14,7.7400002
2021-12-15,4.758333
2021-12-16,2.2866666
2021-12-17,5.4666667
2021-12-18,2.6091666
2021-12-19,1.6608334
2021-12-20,2.9883335
2021-12-21,3.7891665
2021-12-22,0.7308333
2021-12-23,0.45999995
2021-12-24,4.2266665
2021-12-25,10.785
2021-12-26,11.052501
2021-12-27,8.645833
2021-12-28,5.361666
2021-12-29,6.0108333
2021-12-30,6.278333
2021-12-31,3.8325002
