time,EL526
2021-01-01,0.31999996
2021-01-02,-0.70941174
2021-01-03,-1.9229411
2021-01-04,-1.5147059
2021-01-05,-4.2917643
2021-01-06,-3.6423528
2021-01-07,-3.2505882
2021-01-08,-4.4570584
2021-01-09,-9.447647
2021-01-10,-7.6670585
2021-01-11,-4.072941
2021-01-12,-6.4694114
2021-01-13,-9.619411
2021-01-14,-18.12294
2021-01-15,-20.865294
2021-01-16,-19.361177
2021-01-17,-10.745293
2021-01-18,-6.550588
2021-01-19,-1.4888235
2021-01-20,-3.760588
2021-01-21,-7.5882354
2021-01-22,-3.5647058
2021-01-23,1.6935294
2021-01-24,1.0382353
2021-01-25,0.81941175
2021-01-26,0.43176472
2021-01-27,0.1317647
2021-01-28,-1.6605883
2021-01-29,-1.957647
2021-01-30,-3.6317647
2021-01-31,-5.0129414
2021-02-01,-8.597648
2021-02-02,-9.071176
2021-02-03,-8.675295
2021-02-04,-14.4247055
2021-02-05,-16.185883
2021-02-06,-14.540001
2021-02-07,-8.969412
2021-02-08,-10.653528
2021-02-09,-12.228234
2021-02-10,-14.641765
2021-02-11,-17.60706
2021-02-12,-13.159999
2021-02-13,-6.8335295
2021-02-14,-7.996471
2021-02-15,-9.557648
2021-02-16,-8.485882
2021-02-17,-18.398235
2021-02-18,-18.465881
2021-02-19,-9.374117
2021-02-20,-7.403529
2021-02-21,-5.255294
2021-02-22,-10.822941
2021-02-23,-12.131764
2021-02-24,-4.9829407
2021-02-25,2.7794118
2021-02-26,2.6235294
2021-02-27,1.2776471
2021-02-28,2.6982353
2021-03-01,2.9058821
2021-03-02,1.937647
2021-03-03,0.7123529
2021-03-04,-3.5370586
2021-03-05,-6.8723526
2021-03-06,-4.961765
2021-03-07,-6.047647
2021-03-08,-9.372353
2021-03-09,-12.849412
2021-03-10,-14.869411
2021-03-11,-8.862941
2021-03-12,-3.9064708
2021-03-13,-0.24117647
2021-03-14,0.83588237
2021-03-15,0.82411766
2021-03-16,0.45
2021-03-17,0.089999996
2021-03-18,-3.3105881
2021-03-19,-6.8276467
2021-03-20,-4.3394117
2021-03-21,0.50647056
2021-03-22,-3.061765
2021-03-23,-1.4917647
2021-03-24,3.0111763
2021-03-25,2.4241176
2021-03-26,1.1458824
2021-03-27,2.2917647
2021-03-28,3.2894118
2021-03-29,2.4664707
2021-03-30,4.5141177
2021-03-31,4.0317645
2021-04-01,3.354706
2021-04-02,2.1741176
2021-04-03,2.0782354
2021-04-04,3.2135296
2021-04-05,2.0582352
2021-04-06,1.0029411
2021-04-07,1.9529412
2021-04-08,1.5417646
2021-04-09,0.83705884
2021-04-10,2.8370588
2021-04-11,4.334706
2021-04-12,8.632353
2021-04-13,5.5876474
2021-04-14,3.53
2021-04-15,4.0917645
2021-04-16,6.525294
2021-04-17,8.375295
2021-04-18,8.433529
2021-04-19,7.4941173
2021-04-20,6.406471
2021-04-21,5.848235
2021-04-22,5.853529
2021-04-23,3.4494116
2021-04-24,2.7147057
2021-04-25,2.622353
2021-04-26,3.4358823
2021-04-27,2.457059
2021-04-28,2.1735291
2021-04-29,3.014706
2021-04-30,3.704706
2021-05-01,2.9441175
2021-05-02,3.9235291
2021-05-03,5.1358824
2021-05-04,5.048235
2021-05-05,2.9305882
2021-05-06,2.950588
2021-05-07,3.9394119
2021-05-08,4.9700003
2021-05-09,6.4011765
2021-05-10,9.022352
2021-05-11,16.131763
2021-05-12,17.16
2021-05-13,18.08294
2021-05-14,13.567647
2021-05-15,15.839411
