time,DE80M
2021-08-16,15.265555
2021-08-17,13.867778
2021-08-18,17.665556
2021-08-19,17.291111
2021-08-20,17.116667
2021-08-21,17.898888
2021-08-22,17.38778
2021-08-23,17.275555
2021-08-24,17.012222
2021-08-25,17.002222
2021-08-26,15.984445
2021-08-27,15.941112
2021-08-28,15.903334
2021-08-29,14.826667
2021-08-30,15.708889
2021-08-31,16.212221
2021-09-01,16.187778
2021-09-02,16.564445
2021-09-03,16.982222
2021-09-04,16.15111
2021-09-05,17.83
2021-09-06,19.109999
2021-09-07,20.859999
2021-09-08,21.458889
2021-09-09,20.184444
2021-09-10,19.727777
2021-09-11,19.19
2021-09-12,16.231112
2021-09-13,15.825555
2021-09-14,16.897778
2021-09-15,17.203333
2021-09-16,16.457777
2021-09-17,17.184443
2021-09-18,18.34
2021-09-19,18.343332
2021-09-20,15.664444
2021-09-21,15.136666
2021-09-22,15.808888
2021-09-23,16.052223
2021-09-24,17.133333
2021-09-25,17.242222
2021-09-26,17.552223
2021-09-27,16.05111
2021-09-28,14.263334
2021-09-29,12.527777
2021-09-30,11.204444
2021-10-01,15.583333
2021-10-02,10.754444
2021-10-03,13.114445
2021-10-04,13.654444
2021-10-05,12.8533325
2021-10-06,12.39
2021-10-07,13.524444
2021-10-08,15.108889
2021-10-09,12.706667
2021-10-10,12.791111
2021-10-11,11.42
2021-10-12,11.79
2021-10-13,10.955555
2021-10-14,12.652222
2021-10-15,12.216666
2021-10-16,10.686666
2021-10-17,12.764444
2021-10-18,13.295555
2021-10-19,17.51889
2021-10-20,15.973334
2021-10-21,9.485556
2021-10-22,8.655555
2021-10-23,10.237778
2021-10-24,11.873333
2021-10-25,12.92
2021-10-26,11.716666
2021-10-27,15.117778
2021-10-28,13.912221
2021-10-29,13.431111
2021-10-30,11.68111
2021-10-31,10.217777
2021-11-01,10.44
2021-11-02,7.4855556
2021-11-03,6.2588887
2021-11-04,7.977778
2021-11-05,6.6511106
2021-11-06,9.941111
2021-11-07,9.552221
2021-11-08,6.7377777
2021-11-09,10.694445
2021-11-10,11.134444
2021-11-11,11.683332
2021-11-12,11.1455555
2021-11-13,11.53
2021-11-14,11.248889
2021-11-15,9.376666
2021-11-16,8.53111
2021-11-17,9.005556
2021-11-18,8.706667
2021-11-19,10.417778
2021-11-20,9.471111
2021-11-21,7.0155554
2021-11-22,6.3566666
2021-11-23,5.842222
2021-11-24,4.042222
2021-11-25,5.167778
2021-11-26,4.5966663
2021-11-27,3.3411112
2021-11-28,1.8377776
2021-11-29,1.3855556
2021-11-30,6.876666
2021-12-01,9.069999
2021-12-02,2.6955557
2021-12-03,3.6377776
2021-12-04,4.3166666
2021-12-05,4.6555557
2021-12-06,3.1533332
2021-12-07,3.2811112
2021-12-08,5.6266665
2021-12-09,5.6833334
2021-12-10,4.8188887
2021-12-11,3.0044446
2021-12-12,9.763333
2021-12-13,9.965556
2021-12-14,9.573333
