time,FRE22
2021-01-01,0.515
2021-01-02,2.875
2021-01-03,2.67
2021-01-04,2.895
2021-01-05,2.9850001
2021-01-06,2.82
2021-01-07,-0.63
2021-01-08,1.5899999
2021-01-09,0.965
2021-01-10,1.605
2021-01-11,6.4799995
2021-01-12,7.8599997
2021-01-13,6.5099998
2021-01-14,8.48
2021-01-15,2.775
2021-01-16,5.8149996
2021-01-17,6.115
2021-01-18,5.85
2021-01-19,9.639999
2021-01-20,9.094999
2021-01-21,4.665
2021-01-22,3.8249998
2021-01-23,1.9549999
2021-01-24,0.39
2021-01-25,1.8799999
2021-01-26,3.965
2021-01-27,8.095
2021-01-28,9.615
2021-01-29,9.324999
2021-01-30,7.095
2021-01-31,1.535
2021-02-01,4.06
2021-02-02,8.405
2021-02-03,7.875
2021-02-04,7.7650003
2021-02-05,6.635
2021-02-06,4.135
2021-02-07,2.425
2021-02-08,1.3299999
2021-02-09,-0.11
2021-02-10,-0.07000001
2021-02-11,-1.27
2021-02-12,1.2349999
2021-02-13,-0.22999999
2021-02-14,4.535
2021-02-15,8.83
2021-02-16,9.385
2021-02-17,8.45
2021-02-18,7.645
2021-02-19,7.3149996
2021-02-20,10.035
2021-02-21,8.869999
2021-02-22,8.27
2021-02-23,8.635
2021-02-24,11.594999
2021-02-25,8.69
2021-02-26,5.535
2021-02-27,5.8999996
2021-02-28,5.875
2021-03-01,5.345
2021-03-02,4.685
2021-03-03,5.6049995
2021-03-04,5.415
2021-03-05,4.2999997
2021-03-06,2.2199998
2021-03-07,1.7499999
2021-03-08,3.795
2021-03-09,5.12
2021-03-10,8.535
2021-03-11,8.45
2021-03-12,6.665
2021-03-13,5.84
2021-03-14,6.6849995
2021-03-15,8.995
2021-03-16,9.37
2021-03-17,6.7749996
2021-03-18,6.325
2021-03-19,8.559999
2021-03-20,7.64
2021-03-21,8.25
2021-03-22,6.43
2021-03-23,7.52
2021-03-24,8.690001
2021-03-25,8.15
2021-03-26,8.440001
2021-03-27,6.595
2021-03-28,9.83
2021-03-29,11.69
2021-03-30,12.32
2021-03-31,11.844999
2021-04-01,11.315
2021-04-02,7.61
2021-04-03,6.21
2021-04-04,6.9399996
2021-04-05,5.58
2021-04-06,3.06
2021-04-07,3.5549998
2021-04-08,6.615
2021-04-09,6.4799995
2021-04-10,5.505
2021-04-11,3.9049997
2021-04-12,4.7
2021-04-13,6.25
2021-04-14,6.295
2021-04-15,5.51
2021-04-16,5.2
2021-04-17,6.73
2021-04-18,7.0899997
2021-04-19,8.094999
2021-04-20,9.73
2021-04-21,10.045
2021-04-22,8.15
2021-04-23,9.955
2021-04-24,10.785
2021-04-25,8.655001
2021-04-26,7.575
2021-04-27,7.88
2021-04-28,7.91
2021-04-29,6.2249994
2021-04-30,5.99
2021-05-01,5.8949995
2021-05-02,6.76
2021-05-03,8.11
2021-05-04,8.82
2021-05-05,6.4449997
2021-05-06,6.3149996
2021-05-07,6.62
2021-05-08,9.9
2021-05-09,12.094999
2021-05-10,11.08
2021-05-11,9.85
2021-05-12,9.789999
