time,AL035
2021-01-01,1.14
2021-01-02,0.14999999
2021-01-03,0.42999998
2021-01-04,0.16
2021-01-05,0.85999995
2021-01-06,0.74
2021-01-07,0.35
2021-01-08,-0.06
2021-01-09,-0.76
2021-01-10,-3.12
2021-01-11,-2.69
2021-01-12,1.14
2021-01-13,0.44
2021-01-14,0.28
2021-01-15,-0.83
2021-01-16,-1.9
2021-01-17,-0.5
2021-01-18,2.02
2021-01-19,1.86
2021-01-20,5.5
2021-01-21,8.24
2021-01-22,4.48
2021-01-23,2.49
2021-01-24,0.17999999
2021-01-25,0.35
2021-01-26,0.55
2021-01-27,0.39999998
2021-01-28,5.7999997
2021-01-29,7.79
2021-01-30,3.51
2021-01-31,-0.51
2021-02-01,2.77
2021-02-02,6.79
2021-02-03,8.98
2021-02-04,5.96
2021-02-05,5.7799997
2021-02-06,4.52
2021-02-07,2.98
2021-02-08,-3.82
2021-02-09,-6.94
2021-02-10,-8.49
2021-02-11,-6.23
2021-02-12,-6.71
2021-02-13,-6.62
2021-02-14,-4.0699997
2021-02-15,0.06
2021-02-16,5.8199997
2021-02-17,6.66
2021-02-18,5.12
2021-02-19,5.5899997
2021-02-20,9.16
2021-02-21,9.83
2021-02-22,7.6
2021-02-23,12.4
2021-02-24,11.48
2021-02-25,10.88
2021-02-26,5.23
2021-02-27,3.22
2021-02-28,3.61
2021-03-01,4.5099998
2021-03-02,6.25
2021-03-03,7.93
2021-03-04,7.06
2021-03-05,2.24
2021-03-06,0.39999998
2021-03-07,1.1
2021-03-08,1.0
2021-03-09,2.29
2021-03-10,5.46
2021-03-11,7.5299997
2021-03-12,5.5099998
2021-03-13,5.14
2021-03-14,3.08
2021-03-15,4.18
2021-03-16,4.0499997
2021-03-17,3.04
2021-03-18,2.1299999
2021-03-19,1.23
2021-03-20,1.27
2021-03-21,4.0
2021-03-22,3.98
2021-03-23,4.87
2021-03-24,6.96
2021-03-25,8.08
2021-03-26,9.429999
2021-03-27,6.08
2021-03-28,8.79
2021-03-29,12.5199995
2021-03-30,13.549999
2021-03-31,15.57
2021-04-01,15.49
2021-04-02,7.1099997
2021-04-03,6.5
2021-04-04,6.1099997
2021-04-05,2.86
2021-04-06,0.94
2021-04-07,0.77
2021-04-08,3.02
2021-04-09,8.29
2021-04-10,8.98
